phase,method,start_s,end_s_exclusive,window_assignment,total_windows,valid_windows,invalid_windows,false_alarms,false_alarm_rate_among_valid_normal_windows,score_mean,score_sample_sd,score_min,score_max,frozen_threshold
normal_test_01,rms,180,210,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,1.080910997244626,0.033820862883945355,1.0157379926027887,1.1573583274598769,1.2747695377144315
normal_test_01,rms,210,240,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,1.1144026007990533,0.029042379231454057,1.0455551034569497,1.1775703353581979,1.2747695377144315
normal_test_01,rms,240,270,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,12,0.24489795918367346,1.2317518658891415,0.06381569432094464,1.0512865337521191,1.3674331581093997,1.2747695377144315
normal_test_01,rms,270,300,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,45,0.9375,1.3604105138993983,0.058291385395120875,1.2538715945765249,1.4842718064154092,1.2747695377144315
normal_test_01,isolation_forest,180,210,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,0.4608158697199436,0.010073613783757665,0.4396925676647689,0.4837720417640467,0.5045395247064507
normal_test_01,isolation_forest,210,240,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,0.4657946214715333,0.010917033294880996,0.4419806370767075,0.5002366282121304,0.5045395247064507
normal_test_01,isolation_forest,240,270,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,3,0.061224489795918366,0.4832611232395701,0.014322729818290492,0.447273100819856,0.5191051525693134,0.5045395247064507
normal_test_01,isolation_forest,270,300,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,31,0.6458333333333334,0.510983452728736,0.012772359171489828,0.4833044125232096,0.5370910068721021,0.5045395247064507
normal_test_01,tflite_autoencoder,180,210,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,0.41249519417224784,0.04611095189981341,0.31696398349002547,0.5205300911312195,0.544357966122261
normal_test_01,tflite_autoencoder,210,240,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,0.38764620375927683,0.03923313764828461,0.30584987602749375,0.5249335072668657,0.544357966122261
normal_test_01,tflite_autoencoder,240,270,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,0.3868762665423958,0.0392867119934912,0.316091216552368,0.47789867537189057,0.544357966122261
normal_test_01,tflite_autoencoder,270,300,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,0.41922106549842564,0.03690260636121859,0.33850249776514413,0.48685075433424174,0.544357966122261
normal_test_02,rms,180,210,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,1.0943372120121793,0.0380284530224158,0.9976466888996853,1.1747191860396098,1.2747695377144315
normal_test_02,rms,210,240,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,1.0930690298340113,0.030935341265590336,1.032523072562839,1.154792565559804,1.2747695377144315
normal_test_02,rms,240,270,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,1.0867029808783992,0.030475158787120146,1.006659789741209,1.1412337586640753,1.2747695377144315
normal_test_02,rms,270,300,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,1.1137773763912766,0.03532097511655541,1.039392654968144,1.2151845041240699,1.2747695377144315
normal_test_02,isolation_forest,180,210,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,0.4634769769469354,0.009127774995595958,0.43741841948645294,0.47932644182324474,0.5045395247064507
normal_test_02,isolation_forest,210,240,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,0.4601156658180615,0.009010545535407323,0.442096993122947,0.477323670527986,0.5045395247064507
normal_test_02,isolation_forest,240,270,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,0.4600799936467813,0.008156996030338431,0.4421482369075256,0.4811753994671224,0.5045395247064507
normal_test_02,isolation_forest,270,300,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,0.46373119653800515,0.009753254706633793,0.44727500977539714,0.4891649381112357,0.5045395247064507
normal_test_02,tflite_autoencoder,180,210,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,0.39370217901445664,0.038689636080789395,0.311276286747822,0.4842546820366785,0.544357966122261
normal_test_02,tflite_autoencoder,210,240,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,0.3961280838770453,0.03305901784696264,0.33624840157742947,0.4920674108250627,0.544357966122261
normal_test_02,tflite_autoencoder,240,270,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,0.3897194803801402,0.03524902886169737,0.3254663275122122,0.48205167071614613,0.544357966122261
normal_test_02,tflite_autoencoder,270,300,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,0.3885965470607582,0.03877863196352885,0.30598704033382046,0.49322770638207497,0.544357966122261
normal_test_03,rms,180,210,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,1.0731001546238519,0.04879422357881671,0.9823837106611137,1.1684640387744147,1.2747695377144315
normal_test_03,rms,210,240,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,1.0822995620397544,0.03618148962936611,1.0104472467760313,1.1852662176881705,1.2747695377144315
normal_test_03,rms,240,270,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,1.067137823977521,0.036509293696190326,0.9835497033005576,1.1446303277402894,1.2747695377144315
normal_test_03,rms,270,300,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,1.0859369039649516,0.045486714574974565,0.9736469853316658,1.2025432467412542,1.2747695377144315
normal_test_03,isolation_forest,180,210,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,0.45995113014372807,0.007828653542782948,0.4432793082391727,0.47834242492124196,0.5045395247064507
normal_test_03,isolation_forest,210,240,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,0.4588947658574407,0.009513602228095197,0.4422406178566341,0.4802666664620355,0.5045395247064507
normal_test_03,isolation_forest,240,270,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,0.462077963952862,0.00988549622644644,0.4423129668756485,0.4873981563957271,0.5045395247064507
normal_test_03,isolation_forest,270,300,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,0.46206826037122917,0.009141871402373342,0.44511530397881244,0.48296833032327524,0.5045395247064507
normal_test_03,tflite_autoencoder,180,210,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,0.3819462453604265,0.03647672714467304,0.3140929016767249,0.4519599125374558,0.544357966122261
normal_test_03,tflite_autoencoder,210,240,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,0.38314611493608813,0.03575201337919034,0.31468327679018887,0.4619711102420574,0.544357966122261
normal_test_03,tflite_autoencoder,240,270,midpoint_of_first_and_last_host_sample_since_pwm_command,49,49,0,0,0.0,0.3776316910415841,0.034698865236800935,0.3168617345696501,0.44632127645811437,0.544357966122261
normal_test_03,tflite_autoencoder,270,300,midpoint_of_first_and_last_host_sample_since_pwm_command,48,48,0,0,0.0,0.38418310522553123,0.03722581777478862,0.31779385720073233,0.45606257141161183,0.544357966122261
