axis,frequency_hz,mean_amplitude_g,mean_psd_g2_per_hz
x_g,0.0,0.0001137495481863739,3.860075277744283e-08
x_g,0.4033033354882852,0.0005012704096089524,2.6028932511467635e-07
x_g,0.8066066709765704,0.0005937931787775509,3.9531974550159724e-07
x_g,1.2099100064648556,0.0006281259513175159,4.237740507966088e-07
x_g,1.6132133419531407,0.0006621382111163945,4.311464043665667e-07
x_g,2.016516677441426,0.0007032811613754162,4.706341605726183e-07
x_g,2.419820012929711,0.0006051674417025835,3.9500385214751383e-07
x_g,2.823123348417996,0.000555238038353773,2.993050807303998e-07
x_g,3.2264266839062814,0.0004811141150938683,2.4899244392569444e-07
x_g,3.6297300193945667,0.0005778545387183829,3.462684393925292e-07
x_g,4.033033354882852,0.0005999474296045524,3.390322291421833e-07
x_g,4.436336690371137,0.0007943289045386306,5.832433361772217e-07
x_g,4.839640025859422,0.0006705131610099174,4.783497318844527e-07
x_g,5.242943361347708,0.0008471569293757069,6.777833249698489e-07
x_g,5.646246696835992,0.0006914637795995288,4.8531725901016e-07
x_g,6.0495500323242775,0.000736950546007475,5.322698146745828e-07
x_g,6.452853367812563,0.000590459166690093,3.3654763552082947e-07
x_g,6.856156703300848,0.0005414559834913859,3.041856268182449e-07
x_g,7.2594600387891335,0.0007020262373671658,4.5051924147343365e-07
x_g,7.662763374277418,0.0009035965366130439,7.853409171334606e-07
x_g,8.066066709765703,0.0006394894077109663,3.9201857104757333e-07
x_g,8.469370045253989,0.0006474466905950848,3.6431900833417776e-07
x_g,8.872673380742274,0.0006046596273242523,3.6964894238955273e-07
x_g,9.27597671623056,0.0005585366891243049,3.165217322146865e-07
x_g,9.679280051718845,0.0006401055078397392,3.789465369908267e-07
x_g,10.08258338720713,0.0006114528852394413,3.982767246834769e-07
x_g,10.485886722695415,0.0006865517153122725,5.112089684060215e-07
x_g,10.889190058183699,0.0007319704266788441,5.007780213047378e-07
x_g,11.292493393671984,0.0007327151640230847,5.645871580433745e-07
x_g,11.69579672916027,0.0006119590421356098,3.8035649563753654e-07
x_g,12.099100064648555,0.0006819599495232558,5.962856291104523e-07
x_g,12.50240340013684,0.0008399654010296902,7.657069416868022e-07
x_g,12.905706735625126,0.0007125871400372913,5.210656472736074e-07
x_g,13.309010071113411,0.0004354417541527269,1.8419186290804932e-07
x_g,13.712313406601696,0.000489748323811554,2.518729670740612e-07
x_g,14.115616742089982,0.0007794412843820678,5.924465050190296e-07
x_g,14.518920077578267,0.000862673964741656,6.80980743899832e-07
x_g,14.922223413066552,0.0006554994739035766,4.408841489217345e-07
x_g,15.325526748554836,0.0006528667694009294,3.8929649210019934e-07
x_g,15.728830084043121,0.0006172451165124297,3.4164639124049767e-07
x_g,16.132133419531407,0.000595425611074798,3.4329540803569416e-07
x_g,16.535436755019692,0.00048491820126741103,2.4020606079122476e-07
x_g,16.938740090507977,0.0006377845793834369,3.741523753978275e-07
x_g,17.342043425996263,0.0006679753988639733,4.3270403566909433e-07
x_g,17.745346761484548,0.0007464787284102062,5.356633335494276e-07
x_g,18.148650096972833,0.0007660414579025779,5.420697366190596e-07
x_g,18.55195343246112,0.0005514672329640153,2.9495071012948964e-07
x_g,18.955256767949404,0.0004931639819504207,2.3478243196793313e-07
x_g,19.35856010343769,0.000602531315084305,3.6243887367452314e-07
x_g,19.761863438925975,0.0007073789236016381,4.890895880789261e-07
x_g,20.16516677441426,0.0007096432456119287,4.80632930639406e-07
x_g,20.568470109902545,0.0006088464540387584,4.529543643479067e-07
