monotonic_ns,queue_pending_windows,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes
104598035818781,0,0.0,249315328,248791040
104598136132196,0,0.0,249331712,248791040
104598236329760,0,0.0,249348096,248791040
104598336489231,0,0.0,249364480,248791040
104598436644128,0,0.0,249364480,248791040
104598536783303,0,0.0,249364480,248791040
104598636914126,0,0.0,249364480,248791040
104598737050245,0,0.0,249364480,248791040
104598837176457,0,0.0,249364480,248791040
104598937303039,0,0.0,249364480,248791040
104599037435047,0,0.0,249364480,248791040
104599137589629,0,0.0,249364480,248791040
104599237733711,0,0.0,249364480,248791040
104599337880312,0,0.0,249364480,248791040
104599438023413,0,0.0,249364480,248791040
104599538156402,0,0.0,249364480,248791040
104599638287225,0,0.0,249364480,248791040
104599738456622,0,9.98319418966447,249364480,248791040
104599838587242,0,0.0,249364480,248791040
104599938717565,0,0.0,249364480,248791040
104600038852647,0,0.0,249364480,248791040
104600139033970,0,0.0,249364480,248791040
104600239252441,0,0.0,249364480,248791040
104600339438227,0,0.0,249364480,248791040
104600439641864,0,0.0,249364480,248791040
104600539818539,0,0.0,249364480,248791040
104600639987325,0,0.0,249364480,248791040
104600740170315,0,0.0,249364480,248791040
104600840337174,0,0.0,249364480,248791040
104600940504942,0,0.0,249364480,248791040
104601040688006,0,9.981647743320243,249364480,248791040
104601140902754,0,0.0,249364480,248791040
104601241090836,0,0.0,249364480,248791040
104601341272326,0,0.0,249364480,248791040
104601441515908,0,0.0,249364480,248791040
104601541706898,0,0.0,249364480,248791040
104601641879332,0,0.0,249364480,248791040
104601742049303,0,0.0,249364480,248791040
104601842220126,0,0.0,249364480,248791040
104601942433504,0,0.0,249364480,248791040
104602042639179,0,0.0,249364480,248791040
104602142864891,0,0.0,249364480,248791040
104602243068880,0,9.979714532901683,249364480,248791040
104602343255703,0,0.0,249364480,248791040
104602443460619,0,0.0,249364480,248791040
104602543640405,0,0.0,249364480,248791040
104602643808117,0,0.0,249364480,248791040
104602743972866,0,0.0,249364480,248791040
104602844152318,0,0.0,249364480,248791040
104602944323252,0,0.0,249364480,248791040
104603044504297,0,0.0,249364480,248791040
104603144745009,0,0.0,249364480,248791040
104603244938147,0,0.0,249364480,248791040
104603345120266,0,0.0,249364480,248791040
104603445316496,0,0.0,249364480,248791040
104603545495227,0,9.982171741251848,249364480,248791040
104603645667902,0,0.0,249364480,248791040
104603745836725,0,0.0,249364480,248791040
104603846005066,0,0.0,249364480,248791040
104603946173408,0,0.0,249364480,248791040
104604046344582,0,0.0,249364480,248791040
104604146539535,0,0.0,249364480,248791040
104604246715691,0,0.0,249364480,248791040
104604346896996,0,0.0,249364480,248791040
104604447102615,0,0.0,249364480,248791040
104604547284216,0,0.0,249364480,248791040
104604647456020,0,0.0,249364480,248791040
104604747652491,0,9.980439336719346,249364480,248791040
104604847833759,0,0.0,249364480,248791040
104604948008915,0,0.0,249364480,248791040
104605048183868,0,0.0,249364480,248791040
104605148391654,0,0.0,249364480,248791040
104605248573143,0,0.0,249364480,248791040
104605348753911,0,0.0,249364480,248791040
104605448956752,0,0.0,249364480,248791040
104605549133390,0,0.0,249364480,248791040
104605649303954,0,0.0,249364480,248791040
104605749472425,0,0.0,249364480,248791040
104605849634692,0,0.0,249364480,248791040
104605949801571,0,0.0,249364480,248791040
104606049973153,0,9.982756783940921,249364480,248791040
104606150179865,0,0.0,249364480,248791040
104606250401891,0,0.0,249364480,248791040
104606350584400,0,0.0,249364480,248791040
104606450788556,0,0.0,249364480,248791040
104606550967601,0,0.0,249364480,248791040
104606651136665,0,0.0,249364480,248791040
104606751302284,0,0.0,249364480,248791040
104606851469811,0,0.0,249364480,248791040
104606951636208,0,0.0,249364480,248791040
104607051809827,0,0.0,249364480,248791040
104607152015928,0,0.0,249364480,248791040
104607252224640,0,9.979268170418818,249364480,248791040
104607352412111,0,0.0,249364480,248791040
104607452604804,0,0.0,249364480,248791040
104607552799776,0,0.0,249364480,248791040
104607652974580,0,0.0,249364480,248791040
104607753145644,0,0.0,249364480,248791040
104607853309263,0,0.0,249364480,248791040
104607953485531,0,0.0,249364480,248791040
104608053659872,0,0.0,249364480,248791040
104608153866899,0,0.0,249364480,248791040
104608254051092,0,0.0,249364480,248791040
104608354235415,0,0.0,249364480,248791040
104608454507331,0,9.972931967250329,249364480,248791040
104608554784802,0,0.0,249364480,248791040
104608655036106,0,0.0,249364480,248791040
104608755278281,0,0.0,249364480,248791040
104608855533604,0,0.0,249364480,248791040
104608955777335,0,0.0,249364480,248791040
104609055992732,0,0.0,249364480,248791040
104609156299777,0,0.0,249364480,248791040
104609256567118,0,0.0,249364480,248791040
104609356824089,0,0.0,249364480,248791040
104609457123801,0,9.970276711184754,249364480,248791040
104609557428735,0,0.0,249364480,248791040
104609657682966,0,0.0,249364480,248791040
104609757923640,0,0.0,249364480,248791040
104609858184519,0,0.0,249364480,248791040
104609958444360,0,0.0,249364480,248791040
104610058655943,0,0.0,249364480,248791040
104610158924821,0,0.0,249364480,248791040
104610259191237,0,0.0,249364480,248791040
104610359438152,0,0.0,249364480,248791040
104610459696309,0,0.0,249364480,248791040
104610559957928,0,9.973967147514212,249364480,248791040
104610660206288,0,0.0,249364480,248791040
104610760444537,0,0.0,249364480,248791040
104610860692045,0,0.0,249364480,248791040
104610960936387,0,0.0,249364480,248791040
