window,window_start_ns,window_complete_ns,decision_ns,elapsed_s,score,threshold,prediction,error,processing_ms,window_to_decision_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
1,6307213099063,6307825812285,6307849573770,0.64875559,0.3776480601237047,0.4833547401595273,0,,23.404633,23.761485,10.808821637073756,174915584,173277184,58.4,2400000.0,0
2,6307832204949,6308443829666,6308466441464,1.265623284,0.37667568019224335,0.4833547401595273,0,,22.136871,22.611798,12.968645237900773,174948352,173277184,58.4,2400000.0,0
3,6308450356090,6309061460324,6309081096132,1.880277952,0.3737224495959928,0.4833547401595273,0,,18.995622,19.635808,13.015529039200052,174948352,173277184,57.85,2400000.0,0
4,6309065329704,6309678597349,6309697568323,2.496750143,0.37800302742510283,0.4833547401595273,0,,18.435472,18.970974,12.97710488318294,174948352,173277184,58.4,2400000.0,0
5,6309684541179,6310296972654,6310319389062,3.118570882,0.3780587709287749,0.4833547401595273,0,,20.686218,22.416408,11.257236147373948,174948352,173277184,58.95,2400000.0,0
6,6310302140538,6310913873751,6310946038146,3.745219966,0.3794036693509948,0.4833547401595273,0,,31.095429,32.164395,14.362145406094053,174964736,173277184,59.5,2400000.0,0
7,6310927920842,6311531028681,6311551358583,4.350540403,0.3780694581186293,0.4833547401595273,0,,19.830808,20.329902,11.564084792785302,174964736,173277184,57.3,2400000.0,0
8,6311536953492,6312149898447,6312169688348,4.968870168,0.3812261919220927,0.4833547401595273,0,,19.013177,19.789901,12.937994433646185,174964736,173277184,58.4,2400000.0,0
9,6312153969457,6312766785448,6312785583717,5.584765537,0.3735331119179239,0.4833547401595273,0,,18.250619,18.798269,12.98935792458036,174964736,173277184,57.85,2400000.0,0
10,6312770834106,6313383627929,6313404654111,6.203835931,0.38181566262391026,0.4833547401595273,0,,20.528736,21.026182,11.30730235537012,174964736,173277184,57.85,2400000.0,0
11,6313390799354,6314002384747,6314021624943,6.820806763,0.37195205310076357,0.4833547401595273,0,,18.586379,19.240196,11.345699641332898,174964736,173277184,57.3,2400000.0,0
12,6314008137428,6314618984356,6314645947960,7.44512978,0.3773264829301526,0.4833547401595273,0,,26.111713,26.963604,12.813906266149628,174964736,173277184,57.3,1600000.0,0
13,6314625875558,6315237120281,6315264313145,8.063494965,0.37321345725986865,0.4833547401595273,0,,26.456047,27.192864,14.554473638156413,174964736,173277184,57.85,1600000.0,0
14,6315241823886,6315853765369,6315882074513,8.681256333,0.37074769469879676,0.4833547401595273,0,,27.773291,28.309144,12.949965637016627,174964736,173277184,57.85,1700000.0,0
15,6315863343337,6316472233812,6316493523124,9.292704944,0.3736192859208639,0.4833547401595273,0,,20.644218,21.289312,13.083749900855757,174964736,173277184,56.2,2400000.0,0
16,6316478734198,6317089049768,6317108349908,9.907531728,0.37299048015168135,0.4833547401595273,0,,18.539694,19.30014,13.011634590515913,174964736,173277184,57.3,2400000.0,0
17,6317095176468,6317707244597,6317725968273,10.525150093,0.37350808120230106,0.4833547401595273,0,,18.066007,18.723676,11.334079751571757,174964736,173277184,57.3,2400000.0,0
18,6317713303575,6318325314406,6318352512696,11.151694516,0.37559852066192834,0.4833547401595273,0,,26.400084,27.19829,12.76832063204076,174964736,173277184,57.85,2400000.0,0
19,6318335403820,6318942368323,6318962051927,11.761233747,0.3718723590738275,0.4833547401595273,0,,18.943991,19.683604,9.843558361303675,174964736,173277184,57.85,2400000.0,0
20,6318948329708,6319559012034,6319579120639,12.378302459,0.37554020796110327,0.4833547401595273,0,,19.38877,20.108605,14.584920172651552,174964736,173277184,56.2,2400000.0,0
21,6319564586029,6320177116469,6320195419144,12.994600964,0.3738245122020379,0.4833547401595273,0,,17.715284,18.302675,9.735627162179417,174964736,173277184,56.75,2400000.0,0
22,6320183345392,6320795445182,6320814595378,13.613777198,0.3704889805623177,0.4833547401595273,0,,18.705898,19.150196,11.305329950305264,174964736,173277184,56.2,2400000.0,0
23,6320799718008,6321413273097,6321439340902,14.238522722,0.37406721211402366,0.4833547401595273,0,,25.360118,26.067805,16.006371585900116,174964736,173277184,57.3,1700000.0,0
24,6321419630797,6322029461080,6322056444072,14.855625892,0.37470950547491555,0.4833547401595273,0,,26.201305,26.982992,12.963942914009193,174964736,173277184,55.1,1600000.0,0
25,6322038943140,6322646687713,6322672023702,15.471205522,0.37321301320543937,0.4833547401595273,0,,24.858432,25.335989,14.620299538985554,174964736,173277184,56.2,1700000.0,0
26,6322653798305,6323265849312,6323292685434,16.091867254,0.37609850566615555,0.4833547401595273,0,,26.266139,26.836122,12.889389130380913,174964736,173277184,56.2,1600000.0,0
27,6323270714936,6323883586037,6323909713694,16.708895514,0.3827293902299458,0.4833547401595273,0,,25.253043,26.127657,14.58601072726401,174964736,173277184,55.65,1700000.0,0
28,6323890519832,6324500659130,6324527132158,17.326313978,0.38040765202788696,0.4833547401595273,0,,25.506156,26.473028,14.576865965949997,174964736,173277184,56.75,1800000.0,0
29,6324505458197,6325118944224,6325146228902,17.945410722,0.37156220933969086,0.4833547401595273,0,,26.480713,27.284678,14.537437938454001,174964736,173277184,56.2,1700000.0,0
30,6325123515254,6325735432165,6325761888822,18.561070642,0.380671345852002,0.4833547401595273,0,,25.853915,26.456657,14.618426280091432,174964736,173277184,55.65,1700000.0,0
31,6325740522048,6326353813628,6326381723029,19.180904849,0.3781511084268075,0.4833547401595273,0,,27.253548,27.909401,14.519835243622243,174964736,173277184,55.1,1600000.0,0
32,6326360594422,6326971495588,6326995957518,19.795139338,0.36982952131545876,0.4833547401595273,0,,23.567984,24.46193,13.024546495006367,174964736,173277184,56.2,1800000.0,0
33,6326976300803,6327588142211,6327615608964,20.414790784,0.37946659182662934,0.4833547401595273,0,,26.55488,27.466753,14.524269627695416,174964736,173277184,54.55,1700000.0,0
34,6327594758524,6328206236522,6328235061555,21.034243375,0.3742017456063953,0.4833547401595273,0,,28.366866,28.825033,12.91454611433504,174964736,173277184,55.65,1700000.0,0
35,6328210868959,6328823450292,6328852349956,21.651531776,0.37268154475152043,0.4833547401595273,0,,28.077532,28.899664,14.579883523661342,174964736,173277184,56.2,1700000.0,0
36,6328831539349,6329441822731,6329468291518,22.267473338,0.3731987013123771,0.4833547401595273,0,,25.599451,26.468787,12.98829197531385,174964736,173277184,55.1,1800000.0,0
37,6329446682706,6330059494353,6330085549991,22.884731811,0.37522668084081756,0.4833547401595273,0,,25.199488,26.055638,16.20068522353239,174964736,173277184,55.1,1600000.0,0
38,6330063991660,6330675914063,6330706262341,23.505444161,0.36928852992812056,0.4833547401595273,0,,29.520702,30.348278,12.888338798135846,174964736,173277184,55.1,1700000.0,0
39,6330682659339,6331293360015,6331320776453,24.119958273,0.3747002989724709,0.4833547401595273,0,,26.639177,27.416438,16.273006554936586,174964736,173277184,55.65,1700000.0,0
40,6331300119235,6331911019800,6331943880362,24.743062182,0.3757757812778006,0.4833547401595273,0,,32.211079,32.860562,14.443978563735607,174964736,173277184,55.65,1700000.0,0
41,6331916168054,6332529475253,6332553788109,25.352969929,0.370550824562641,0.4833547401595273,0,,23.730169,24.312856,13.116666916939064,174964736,173277184,54.0,1800000.0,0
42,6332534085968,6333147427333,6333174016194,25.973198014,0.37171807881791713,0.4833547401595273,0,,25.780637,26.588861,14.510809439741363,174964736,173277184,55.65,1700000.0,0
43,6333152699716,6333763430704,6333790576881,26.589758701,0.3764989290793922,0.4833547401595273,0,,26.525565,27.146177,14.59695065288259,174964736,173277184,56.2,1600000.0,0
44,6333771330945,6334381833394,6334411854337,27.211036157,0.37555045485494765,0.4833547401595273,0,,25.802007,30.020943,12.876743620146174,174964736,173277184,56.2,1700000.0,0
45,6334391130509,6334999803989,6335025363070,27.82454489,0.3690374340851332,0.4833547401595273,0,,24.710079,25.559081,13.039881450521174,174964736,173277184,56.2,1700000.0,0
46,6335004303741,6335616752711,6335644847242,28.444029062,0.36813376764095157,0.4833547401595273,0,,27.655919,28.094531,14.52814716080541,174964736,173277184,54.55,1600000.0,0
47,6335624562156,6336235097120,6336264911100,29.06409292,0.3780013654240799,0.4833547401595273,0,,29.165293,29.81398,14.514712115423242,174964736,173277184,55.1,1800000.0,0
48,6336245686831,6336851665005,6336878764978,29.677946798,0.3784830792990586,0.4833547401595273,0,,26.192822,27.099973,14.661039718359008,174964736,173277184,56.2,1700000.0,0
49,6336856227961,6337470445469,6337496412328,30.295594148,0.3772922485519342,0.4833547401595273,0,,25.143357,25.966859,14.571828035179687,174964736,173277184,55.1,1700000.0,0
