window_id,window_start_s,window_end_s,label,anomaly_type,mean,standard_deviation,rms,minimum,maximum,peak_to_peak,median,kurtosis,dominant_frequency_hz,spectral_energy,source_file
0,9.629993655835278e-07,0.998054396999578,1,tapping_shaking,1.2851440529740596,0.469056728728421,1.3680677803603154,0.5865708908563397,2.572785395247726,1.9862145043913864,1.1846631166707269,0.6338766888423586,3.0,109.56884221231888,anomaly_20260725_185423.csv
1,1.0000540499995625,1.998053891999916,1,tapping_shaking,1.0930941392081932,0.1992543596730057,1.1111062492039183,0.7643502534833098,2.0048352002097327,1.240484946726423,1.0486722176161625,7.702672442503308,5.0,19.772100030795983,anomaly_20260725_185423.csv
2,2.0000537489995622,2.9980537920000643,1,tapping_shaking,1.359168999928831,0.5155499134831286,1.4536616125013413,0.6412743328716658,2.820352621570572,2.179078288698906,1.253630112912098,0.8115841346238533,5.0,132.3673601804742,anomaly_20260725_185423.csv
3,3.000054111999816,3.9980546709994087,1,tapping_shaking,1.4369886374453371,0.6448397995572183,1.5750411776331437,0.5364024328803888,2.8356030787118285,2.29920064583144,1.397294403481242,-0.5628441992028286,4.0,207.08095370788993,anomaly_20260725_185423.csv
4,4.000054009999985,4.99805419599943,1,tapping_shaking,1.208770692874267,0.5413689514446355,1.3244647709697681,0.3397032086984166,2.70527063895648,2.3655674302580634,1.0753962711484544,0.19869857608374808,4.0,145.95662861215746,anomaly_20260725_185423.csv
5,5.000053850999393,5.998083402999328,1,tapping_shaking,1.0869660022543124,0.4637242412072914,1.1817509305856289,0.1261335007046105,2.3962159856740795,2.270082484969469,0.9825678297196586,0.7667130704825351,5.0,107.09281507687857,anomaly_20260725_185423.csv
6,6.000055131999943,6.998083477999899,1,tapping_shaking,1.0575535539710381,0.3773711960169006,1.1228662160293184,0.3771120523133675,3.0560948463684827,2.6789827940551154,1.0442463933382773,10.861024814870529,2.0,70.92167026577035,anomaly_20260725_185423.csv
7,7.000054448999435,7.998143473999335,0,normal,1.0439408425464134,0.0050235807432752804,1.0439529295423238,1.030692602088518,1.056396189883322,0.025703587794803973,1.0448070156732294,-0.21309616577175294,8.0,0.012572386773637572,anomaly_20260725_185423.csv
8,8.00005761400007,8.998086619999413,0,normal,1.0445039401851608,0.004537681971384509,1.044513796759047,1.034147344434051,1.0563817917779537,0.022234447343902675,1.0443265006692113,-0.2567734405178861,19.0,0.010254472543122638,anomaly_20260725_185423.csv
9,9.000054979999732,9.998131035999904,0,normal,1.0437790479750997,0.004516375559472928,1.0437888189859097,1.0321230449902763,1.0536209280381632,0.021497883047886912,1.0442463933382773,-0.16572644154625094,9.0,0.01015819977154145,anomaly_20260725_185423.csv
10,10.000054360999457,10.9981367649998,0,normal,1.0443422952997685,0.004629430635731663,1.0443525560748153,1.0324545655863022,1.0577559264783156,0.025301360892013403,1.0445849858965854,0.04825243308185856,17.0,0.0106740877088091,anomaly_20260725_185423.csv
11,11.000055534999774,11.99808323399975,0,normal,1.044908169754963,0.004204685402431853,1.044916629497301,1.031857751824349,1.0548761064693806,0.023018354645031547,1.0444320872515864,-0.020985943357178627,20.0,0.008812478184963987,anomaly_20260725_185423.csv
12,12.000053742999626,12.99814675000016,0,normal,1.0450286574053225,0.004635413857383744,1.0450389379635574,1.0341841132022866,1.0545876919441075,0.02040357874182086,1.0456728408063394,-0.7372328781170747,1.0,0.010704094068621219,anomaly_20260725_185423.csv
13,13.0000550019995,13.998086099999457,0,normal,1.043704045070723,0.004495629323037519,1.0437137272164239,1.0319167117553625,1.0531805400784804,0.021263828323117906,1.043984179288087,-0.743957944137227,24.0,0.010073031927482068,anomaly_20260725_185423.csv
14,14.000055108999732,14.998084314000153,0,normal,1.0442840134098843,0.004638009976765183,1.0442943128256517,1.0308475396488077,1.0536137100474727,0.02276617039866502,1.0444721346211203,0.275971248975762,13.0,0.010712719766622485,anomaly_20260725_185423.csv
15,15.000053859999753,15.998085596999772,0,normal,1.0432195878849269,0.004695991184316429,1.0432301571944707,1.0321009398309835,1.05555357040749,0.023452630576506595,1.0427013043053124,-0.2008411656012581,21.0,0.010984431511326333,anomaly_20260725_185423.csv
