window_id,window_start_s,window_end_s,label,anomaly_type,mean,standard_deviation,rms,minimum,maximum,peak_to_peak,median,kurtosis,dominant_frequency_hz,spectral_energy,source_file
7,7.000054448999435,7.998143473999335,0,normal,1.0439408425464134,0.0050235807432752804,1.0439529295423238,1.030692602088518,1.056396189883322,0.025703587794803973,1.0448070156732294,-0.21309616577175294,8.0,0.012572386773637572,anomaly_20260725_185423.csv
8,8.00005761400007,8.998086619999413,0,normal,1.0445039401851608,0.004537681971384509,1.044513796759047,1.034147344434051,1.0563817917779537,0.022234447343902675,1.0443265006692113,-0.2567734405178861,19.0,0.010254472543122638,anomaly_20260725_185423.csv
9,9.000054979999732,9.998131035999904,0,normal,1.0437790479750997,0.004516375559472928,1.0437888189859097,1.0321230449902763,1.0536209280381632,0.021497883047886912,1.0442463933382773,-0.16572644154625094,9.0,0.01015819977154145,anomaly_20260725_185423.csv
10,10.000054360999457,10.9981367649998,0,normal,1.0443422952997685,0.004629430635731663,1.0443525560748153,1.0324545655863022,1.0577559264783156,0.025301360892013403,1.0445849858965854,0.04825243308185856,17.0,0.0106740877088091,anomaly_20260725_185423.csv
11,11.000055534999774,11.99808323399975,0,normal,1.044908169754963,0.004204685402431853,1.044916629497301,1.031857751824349,1.0548761064693806,0.023018354645031547,1.0444320872515864,-0.020985943357178627,20.0,0.008812478184963987,anomaly_20260725_185423.csv
12,12.000053742999626,12.99814675000016,0,normal,1.0450286574053225,0.004635413857383744,1.0450389379635574,1.0341841132022866,1.0545876919441075,0.02040357874182086,1.0456728408063394,-0.7372328781170747,1.0,0.010704094068621219,anomaly_20260725_185423.csv
13,13.0000550019995,13.998086099999457,0,normal,1.043704045070723,0.004495629323037519,1.0437137272164239,1.0319167117553625,1.0531805400784804,0.021263828323117906,1.043984179288087,-0.743957944137227,24.0,0.010073031927482068,anomaly_20260725_185423.csv
14,14.000055108999732,14.998084314000153,0,normal,1.0442840134098843,0.004638009976765183,1.0442943128256517,1.0308475396488077,1.0536137100474727,0.02276617039866502,1.0444721346211203,0.275971248975762,13.0,0.010712719766622485,anomaly_20260725_185423.csv
15,15.000053859999753,15.998085596999772,0,normal,1.0432195878849269,0.004695991184316429,1.0432301571944707,1.0321009398309835,1.05555357040749,0.023452630576506595,1.0427013043053124,-0.2008411656012581,21.0,0.010984431511326333,anomaly_20260725_185423.csv
16,16.0000576249995,16.998057359000086,0,normal,1.0442624186408809,0.004801184676450933,1.0442734557384863,1.0340885116855327,1.0566481249687616,0.022559613283228863,1.0431388258520529,-0.3275659163065181,17.0,0.01148102579905233,anomaly_20260725_185423.csv
