monotonic_ns,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes
94682969056243,0.0,241008640,240386048
94683069282958,0.0,241025024,240386048
94683169423153,0.0,241041408,240386048
94683269538162,0.0,241041408,240386048
94683369651523,0.0,241041408,240386048
94683469807293,0.0,241041408,240386048
94683569939192,0.0,241041408,240386048
94683670054721,0.0,241041408,240386048
94683770199916,0.0,241041408,240386048
94683870316149,0.0,241041408,240386048
94683970460734,9.985626989421606,241041408,240386048
94684070581744,0.0,241041408,240386048
94684170770440,0.0,241041408,240386048
94684270936118,0.0,241041408,240386048
94684371124388,0.0,241041408,240386048
94684471258954,0.0,241041408,240386048
94684571409484,0.0,241041408,240386048
94684671534217,0.0,241041408,240386048
94684771699433,0.0,241041408,240386048
94684871879648,0.0,241041408,240386048
94684971995178,0.0,241041408,240386048
94685072124689,0.0,241041408,240386048
94685172295460,0.0,241041408,240386048
94685272432434,0.0,241041408,240386048
94685372555427,0.0,241041408,240386048
94685472699846,0.0,241041408,240386048
94685572815543,0.0,241041408,240386048
94685672938277,0.0,241041408,240386048
94685773105790,0.0,241041408,240386048
94685873230765,9.987560592732745,241041408,240386048
94685973349128,0.0,241041408,240386048
94686073524271,0.0,241041408,240386048
94686173708931,0.0,241041408,240386048
94686273890055,0.0,241041408,240386048
94686374046956,0.0,241041408,240386048
94686474242525,0.0,241041408,240386048
94686574426261,0.0,241041408,240386048
94686674581514,0.0,241041408,240386048
94686774772213,0.0,241041408,240386048
94686874953245,0.0,241041408,240386048
94686975102166,0.0,241041408,240386048
94687075252716,0.0,241041408,240386048
94687175432044,0.0,241041408,240386048
94687275575150,9.98570436665683,241041408,240386048
94687375725181,0.0,241041408,240386048
94687475920954,9.980577198068415,241041408,240386048
94687576071987,0.0,241041408,240386048
94687676222593,0.0,241041408,240386048
94687776420126,0.0,241041408,240386048
94687876574992,0.0,241041408,240386048
94687976724765,0.0,241041408,240386048
94688076950984,0.0,241041408,240386048
94688177128442,0.0,241041408,240386048
94688277307679,0.0,241041408,240386048
94688377452860,0.0,241041408,240386048
94688477601133,0.0,241041408,240386048
94688577781944,0.0,241041408,240386048
94688677933663,0.0,241041408,240386048
94688778125511,0.0,241041408,240386048
94688878304471,0.0,241041408,240386048
94688978450856,0.0,241041408,240386048
94689078598537,9.985188968598566,241041408,240386048
94689178777201,0.0,241041408,240386048
94689278922715,0.0,241041408,240386048
94689379124842,0.0,241041408,240386048
94689479318394,0.0,241057792,240386048
94689579583281,0.0,241057792,240386048
94689679780612,0.0,241074176,240386048
94689780036147,0.0,241074176,240386048
94689880207441,0.0,241074176,240386048
94689980389327,0.0,241074176,240386048
94690080618992,0.0,241074176,240386048
94690180834342,0.0,241074176,240386048
94690281049099,9.97862010867926,241074176,240386048
94690381213485,0.0,241074176,240386048
94690481385649,0.0,241074176,240386048
94690581595018,0.0,241074176,240386048
94690681768034,0.0,241074176,240386048
94690781971144,0.0,241074176,240386048
94690882187198,0.0,241074176,240386048
94690982361900,0.0,241074176,240386048
94691082622195,0.0,241074176,240386048
94691182869083,0.0,241074176,240386048
94691283086619,9.978286251190589,241074176,240386048
94691383312932,0.0,241074176,240386048
94691483538005,0.0,241074176,240386048
94691583706282,0.0,241074176,240386048
94691683906466,0.0,241074176,240386048
94691784169522,0.0,241074176,240386048
94691884350669,0.0,241074176,240386048
94691984550668,0.0,241074176,240386048
94692084731519,0.0,241074176,240386048
94692184912796,0.0,241074176,240386048
94692285103869,0.0,241074176,240386048
94692385256998,0.0,241074176,240386048
94692485448979,0.0,241074176,240386048
94692585639997,0.0,241074176,240386048
94692685824145,0.0,241074176,240386048
94692785977848,0.0,241074176,240386048
94692886154348,0.0,241074176,240386048
94692986299922,9.985461967167588,241074176,240386048
94693086450588,0.0,241074176,240386048
94693186630310,0.0,241074176,240386048
94693286780402,0.0,241074176,240386048
94693386942457,0.0,241074176,240386048
94693487122846,0.0,241074176,240386048
94693587304940,0.0,241074176,240386048
94693687497644,0.0,241074176,240386048
94693787640941,0.0,241074176,240386048
94693887784367,0.0,241074176,240386048
94693987966071,0.0,241074176,240386048
94694088141683,0.0,241074176,240386048
94694188321850,9.981997167758507,241074176,240386048
94694288548722,0.0,241074176,240386048
94694388774686,0.0,241074176,240386048
94694488960872,0.0,241074176,240386048
94694589160578,0.0,241074176,240386048
94694689357542,9.980347797020938,241074176,240386048
94694789549025,0.0,241074176,240386048
94694889704564,0.0,241074176,240386048
94694989885936,0.0,241074176,240386048
94695090081771,0.0,241074176,240386048
94695190267328,0.0,241074176,240386048
94695290456477,0.0,241074176,240386048
94695390651183,0.0,241074176,240386048
94695490843888,0.0,241074176,240386048
94695591082965,0.0,241074176,240386048
94695691300487,0.0,241074176,240386048
94695791484952,0.0,241074176,240386048
94695891680843,0.0,241074176,240386048
94695991831104,0.0,241074176,240386048
94696092025977,0.0,241074176,240386048
