epoch,loss,val_loss
1,0.9906231164932251,0.899922251701355
2,0.6355236768722534,0.4102898836135864
3,0.2961852550506592,0.23436091840267181
4,0.23208419978618622,0.2117527425289154
5,0.21278250217437744,0.19474798440933228
6,0.19532199203968048,0.1792907565832138
7,0.18024827539920807,0.1666099578142166
8,0.165708988904953,0.1504417508840561
9,0.1483343243598938,0.1355077028274536
10,0.1351369023323059,0.12459177523851395
11,0.12568260729312897,0.11672800779342651
12,0.11860957741737366,0.11025839298963547
13,0.11208760738372803,0.10415302962064743
14,0.10693693906068802,0.09992653131484985
15,0.10308186709880829,0.09654661267995834
16,0.09984252601861954,0.09357430040836334
17,0.09692563116550446,0.09078904241323471
18,0.0941532626748085,0.0881023108959198
19,0.09143227338790894,0.08546657115221024
20,0.08876540511846542,0.08296361565589905
21,0.08615421503782272,0.08064396679401398
22,0.08376313745975494,0.07859557121992111
23,0.08171972632408142,0.0768156424164772
24,0.07994450628757477,0.07522208243608475
25,0.07837565243244171,0.0738118514418602
26,0.07699471712112427,0.0725429579615593
27,0.07577449828386307,0.07143355906009674
28,0.07468816637992859,0.07043526321649551
29,0.07368884980678558,0.06950840353965759
30,0.07278168201446533,0.06866217404603958
31,0.07195460051298141,0.06790453940629959
32,0.0712064579129219,0.06721235066652298
33,0.07050705701112747,0.0665741115808487
34,0.06984848529100418,0.06597410142421722
35,0.06922365725040436,0.06541784852743149
36,0.06862612068653107,0.06488493084907532
37,0.06806051731109619,0.06438665837049484
38,0.06751677393913269,0.06392202526330948
39,0.06700140982866287,0.06347569078207016
40,0.0665094405412674,0.06305338442325592
41,0.06603731215000153,0.06264369189739227
42,0.06558022648096085,0.06224822998046875
43,0.06513430923223495,0.06186471879482269
44,0.06469900161027908,0.06150936335325241
45,0.06427767872810364,0.061155132949352264
46,0.06386829912662506,0.060806769877672195
47,0.06347321718931198,0.06046948954463005
48,0.06309489905834198,0.06013117730617523
49,0.06271859258413315,0.05977732688188553
50,0.062347661703825,0.05944253131747246
51,0.061987459659576416,0.05911435931921005
52,0.06162666901946068,0.05877036601305008
53,0.06126851215958595,0.058433111757040024
54,0.060908786952495575,0.058082059025764465
55,0.06055126711726189,0.057741280645132065
56,0.06018660217523575,0.05738874524831772
57,0.0598229356110096,0.05703848600387573
58,0.05947040393948555,0.05669310688972473
59,0.05912071093916893,0.05635576695203781
60,0.058771949261426926,0.05603231489658356
61,0.058433759957551956,0.05571988224983215
62,0.058105163276195526,0.05539943650364876
63,0.05778554081916809,0.05508394166827202
64,0.057472772896289825,0.054780054837465286
65,0.057171303778886795,0.05448882654309273
66,0.05688030272722244,0.05420619249343872
67,0.0565980039536953,0.053931571543216705
68,0.0563284233212471,0.053672049194574356
69,0.05607420206069946,0.0534246563911438
70,0.05583226680755615,0.05318213626742363
71,0.05560022220015526,0.05293824523687363
72,0.05537949874997139,0.0526978075504303
73,0.05516175553202629,0.052447907626628876
74,0.05494986101984978,0.052211035043001175
75,0.05474025756120682,0.05198458582162857
76,0.05453689023852348,0.05177442356944084
77,0.05433887988328934,0.05157513543963432
78,0.05414563789963722,0.05138706415891647
79,0.053959429264068604,0.05120502784848213
80,0.05378001555800438,0.05103049799799919
81,0.053602468222379684,0.05086054652929306
82,0.05343145504593849,0.05069490522146225
83,0.05326426029205322,0.05053619667887688
84,0.053102195262908936,0.05038274824619293
85,0.05294976383447647,0.05023566260933876
86,0.052800796926021576,0.050094231963157654
87,0.052655402570962906,0.04995777830481529
88,0.052513718605041504,0.04982592165470123
89,0.05237564817070961,0.04969664290547371
90,0.05224376171827316,0.049572963267564774
91,0.05211436003446579,0.04945383220911026
92,0.0519869402050972,0.04933622106909752
93,0.051862701773643494,0.049221593886613846
94,0.05174519494175911,0.04911162331700325
95,0.05162966623902321,0.049004558473825455
96,0.05151510238647461,0.04890107735991478
97,0.05140252411365509,0.04880181699991226
98,0.051292262971401215,0.04870256781578064
99,0.05118532478809357,0.04860397428274155
100,0.05108082294464111,0.048508696258068085
