timestamp,window_index,reconstruction_error,threshold,predicted_label,inference_time_ms,measured_sampling_rate_hz
2026-08-23T16:50:53.336+02:00,1,0.05977202941020909,0.07985480720896662,0,0.132907,500.0661327617031
2026-08-23T16:50:53.593+02:00,2,0.07806477072784646,0.07985480720896662,0,0.155426,499.9703600198557
2026-08-23T16:50:53.850+02:00,3,0.1011780484717099,0.07985480720896662,1,0.139667,499.9524277543621
2026-08-23T16:50:54.107+02:00,4,0.04681396635561785,0.07985480720896662,0,0.136408,499.93788566840016
2026-08-23T16:50:54.364+02:00,5,0.051909195718649194,0.07985480720896662,0,0.251241,499.95126065349757
2026-08-23T16:50:54.621+02:00,6,0.061332586466694185,0.07985480720896662,0,0.136445,500.00389570249547
2026-08-23T16:50:54.878+02:00,7,0.055743173151025095,0.07985480720896662,0,0.13737,499.93959784879
2026-08-23T16:50:55.135+02:00,8,0.04734692154139064,0.07985480720896662,0,0.118314,499.943679574512
2026-08-23T16:50:55.391+02:00,9,0.03740090530896075,0.07985480720896662,0,0.136871,499.98249667663816
2026-08-23T16:50:55.648+02:00,10,0.044643138240730774,0.07985480720896662,0,0.135648,499.957822459881
2026-08-23T16:50:55.905+02:00,11,0.034809843699757405,0.07985480720896662,0,0.129277,499.9562538296362
2026-08-23T16:50:56.162+02:00,12,0.05485866417550456,0.07985480720896662,0,0.135463,499.9437543582411
2026-08-23T16:50:56.419+02:00,13,0.03929648384807357,0.07985480720896662,0,0.136518,499.93088751144865
2026-08-23T16:50:56.676+02:00,14,0.041320131898661606,0.07985480720896662,0,0.134129,499.94623018843055
2026-08-23T16:50:56.932+02:00,15,0.049876064531668006,0.07985480720896662,0,0.132686,499.9397434831807
2026-08-23T16:50:57.189+02:00,16,0.04207408131265491,0.07985480720896662,0,0.136426,499.9524631821086
2026-08-23T16:50:57.446+02:00,17,0.044024715251550585,0.07985480720896662,0,0.136759,499.94714141518597
2026-08-23T16:50:57.703+02:00,18,0.04857193531841941,0.07985480720896662,0,0.128778,499.9409459492283
2026-08-23T16:50:57.960+02:00,19,0.04467923766968785,0.07985480720896662,0,0.135278,499.94692296074646
2026-08-23T16:50:58.217+02:00,20,0.03327216692554913,0.07985480720896662,0,0.13563,499.9168209255688
2026-08-23T16:50:58.473+02:00,21,0.046718692810559515,0.07985480720896662,0,0.127704,499.9775403839644
2026-08-23T16:50:58.730+02:00,22,0.061910416929326084,0.07985480720896662,0,0.126371,499.9359530931691
2026-08-23T16:50:58.987+02:00,23,0.0614176415141261,0.07985480720896662,0,0.163259,499.92181340664695
2026-08-23T16:50:59.244+02:00,24,0.043742636747562624,0.07985480720896662,0,0.122333,499.975318146516
2026-08-23T16:50:59.501+02:00,25,0.055947355064962956,0.07985480720896662,0,0.138259,499.93241858876485
2026-08-23T16:50:59.758+02:00,26,0.042822500610755654,0.07985480720896662,0,0.128889,499.94597630795516
2026-08-23T16:51:00.014+02:00,27,0.05378133304121898,0.07985480720896662,0,0.118519,499.94663168368425
2026-08-23T16:51:00.271+02:00,28,0.04194605843114788,0.07985480720896662,0,0.132222,499.93602590571237
2026-08-23T16:51:00.529+02:00,29,0.04679655866794874,0.07985480720896662,0,0.275092,499.17978276020347
2026-08-23T16:51:00.787+02:00,30,0.03498660870701128,0.07985480720896662,0,0.134037,500.1799939030697
2026-08-23T16:51:01.043+02:00,31,0.05304825692766565,0.07985480720896662,0,0.126222,499.9522821125813
2026-08-23T16:51:01.300+02:00,32,0.0345639616170923,0.07985480720896662,0,0.132278,499.93055885243285
2026-08-23T16:51:01.557+02:00,33,0.04733779068027596,0.07985480720896662,0,0.125981,499.94065468629026
2026-08-23T16:51:01.814+02:00,34,0.042175757888537814,0.07985480720896662,0,0.13563,499.93216274631334
2026-08-23T16:51:02.071+02:00,35,0.05037658075158832,0.07985480720896662,0,0.125426,499.943388301229
2026-08-23T16:51:02.327+02:00,36,0.046742398347379775,0.07985480720896662,0,0.126556,499.9284826747479
2026-08-23T16:51:02.584+02:00,37,0.051386929733371924,0.07985480720896662,0,0.125518,499.9486352030386
2026-08-23T16:51:02.841+02:00,38,0.04350551774214676,0.07985480720896662,0,0.124037,499.91321191706953
2026-08-23T16:51:03.098+02:00,39,0.04038865198286753,0.07985480720896662,0,0.131723,499.9495110040679
2026-08-23T16:51:03.355+02:00,40,0.04467091739244289,0.07985480720896662,0,0.117796,499.9474700888453
2026-08-23T16:51:03.612+02:00,41,0.04648259525851702,0.07985480720896662,0,0.132944,499.93872207533195
2026-08-23T16:51:03.868+02:00,42,0.05742467163093915,0.07985480720896662,0,0.134852,499.9461573729149
2026-08-23T16:51:04.125+02:00,43,0.06835366517176227,0.07985480720896662,0,0.163815,499.9235628693769
2026-08-23T16:51:04.382+02:00,44,0.06363379096341178,0.07985480720896662,0,0.133482,499.9700667535012
2026-08-23T16:51:04.639+02:00,45,0.05119952252357921,0.07985480720896662,0,0.124982,499.95348267709426
2026-08-23T16:51:04.896+02:00,46,0.04472935849467078,0.07985480720896662,0,0.12726,500.47963879273607
2026-08-23T16:51:05.153+02:00,47,0.04307422879428291,0.07985480720896662,0,0.134148,499.94469902651537
2026-08-23T16:51:05.409+02:00,48,0.058198597432134326,0.07985480720896662,0,0.133814,499.9633963830217
2026-08-23T16:51:05.666+02:00,49,0.041283814259058776,0.07985480720896662,0,0.134833,499.94036144762345
2026-08-23T16:51:05.923+02:00,50,0.04248488378246821,0.07985480720896662,0,0.135704,499.9403634093723
2026-08-23T16:51:06.180+02:00,51,0.03618186708122314,0.07985480720896662,0,0.133129,499.9440436630131
2026-08-23T16:51:06.437+02:00,52,0.04458745808819257,0.07985480720896662,0,0.122686,499.9498751082226
2026-08-23T16:51:06.694+02:00,53,0.052811557981105005,0.07985480720896662,0,0.125537,499.93427635575364
