event_id,method,method_label,result,detection_timestamp,detection_window,first_alarm_timestamp,first_alarm_window,delay_windows_from_first,delay_ms_from_first,detection_rank,is_fastest,first_methods
1,autoencoder,Autoencoder,DETECTED,2026-09-19T11:26:37.513+02:00,43,2026-09-19T11:26:37.513+02:00,43,0,0.0,1,1,autoencoder+isolation_forest+rms
1,isolation_forest,Isolation Forest,DETECTED,2026-09-19T11:26:37.513+02:00,43,2026-09-19T11:26:37.513+02:00,43,0,0.0,1,1,autoencoder+isolation_forest+rms
1,rms,RMS,DETECTED,2026-09-19T11:26:37.513+02:00,43,2026-09-19T11:26:37.513+02:00,43,0,0.0,1,1,autoencoder+isolation_forest+rms
2,autoencoder,Autoencoder,DETECTED,2026-09-19T11:26:40.592+02:00,48,2026-09-19T11:26:40.592+02:00,48,0,0.0,1,1,autoencoder+rms
2,rms,RMS,DETECTED,2026-09-19T11:26:40.592+02:00,48,2026-09-19T11:26:40.592+02:00,48,0,0.0,1,1,autoencoder+rms
2,isolation_forest,Isolation Forest,NOT_DETECTED,,,2026-09-19T11:26:40.592+02:00,48,,,,0,autoencoder+rms
3,autoencoder,Autoencoder,DETECTED,2026-09-19T11:26:44.911+02:00,55,2026-09-19T11:26:44.911+02:00,55,0,0.0,1,1,autoencoder
3,rms,RMS,DETECTED,2026-09-19T11:26:45.530+02:00,56,2026-09-19T11:26:44.911+02:00,55,1,618.597795,2,0,autoencoder
3,isolation_forest,Isolation Forest,NOT_DETECTED,,,2026-09-19T11:26:44.911+02:00,55,,,,0,autoencoder
4,autoencoder,Autoencoder,DETECTED,2026-09-19T11:26:47.380+02:00,59,2026-09-19T11:26:47.380+02:00,59,0,0.0,1,1,autoencoder
4,rms,RMS,DETECTED,2026-09-19T11:26:48.622+02:00,61,2026-09-19T11:26:47.380+02:00,59,2,1242.733754,2,0,autoencoder
4,isolation_forest,Isolation Forest,NOT_DETECTED,,,2026-09-19T11:26:47.380+02:00,59,,,,0,autoencoder
5,autoencoder,Autoencoder,DETECTED,2026-09-19T11:26:50.467+02:00,64,2026-09-19T11:26:50.467+02:00,64,0,0.0,1,1,autoencoder
5,isolation_forest,Isolation Forest,NOT_DETECTED,,,2026-09-19T11:26:50.467+02:00,64,,,,0,autoencoder
5,rms,RMS,NOT_DETECTED,,,2026-09-19T11:26:50.467+02:00,64,,,,0,autoencoder
6,autoencoder,Autoencoder,DETECTED,2026-09-19T11:26:54.788+02:00,71,2026-09-19T11:26:54.788+02:00,71,0,0.0,1,1,autoencoder+rms
6,rms,RMS,DETECTED,2026-09-19T11:26:54.788+02:00,71,2026-09-19T11:26:54.788+02:00,71,0,0.0,1,1,autoencoder+rms
6,isolation_forest,Isolation Forest,NOT_DETECTED,,,2026-09-19T11:26:54.788+02:00,71,,,,0,autoencoder+rms
7,autoencoder,Autoencoder,DETECTED,2026-09-19T11:26:57.257+02:00,75,2026-09-19T11:26:57.257+02:00,75,0,0.0,1,1,autoencoder+rms
7,rms,RMS,DETECTED,2026-09-19T11:26:57.257+02:00,75,2026-09-19T11:26:57.257+02:00,75,0,0.0,1,1,autoencoder+rms
