window_index,window_complete_monotonic_ns,decision_monotonic_ns,draw_completed_monotonic_ns,decision_to_gui_draw_ms,window_to_gui_draw_ms,gui_messages_dropped
467,15507068435036,15507084632782,15507252638703,168.005921,184.203667,0
468,15507686733260,15507703549969,15507844575030,141.025061,157.84177,0
469,15508304939762,15508320594915,15508440936933,120.342018,135.997171,0
470,15508921475690,15508937003176,15509095556409,158.553233,174.080719,0
471,15509539686229,15509555180401,15509688173737,132.993336,148.487508,0
472,15510157082102,15510172828866,15510338524694,165.695828,181.442592,0
473,15510775518068,15510791383129,15510923136039,131.75291,147.617971,0
474,15511393200442,15511408722002,15511610567619,201.845617,217.367177,0
475,15512011891149,15512027296635,15512205042893,177.746258,193.151744,0
476,15512629600282,15512645278806,15512800588279,155.309473,170.987997,0
477,15513246239841,15513265365125,15513390747645,125.38252,144.507804,0
478,15513864124901,15513881486925,15514021835802,140.348877,157.710901,0
479,15514483726555,15514502274079,15514654203459,151.92938,170.476904,0
480,15515101400763,15515117122694,15515238287027,121.164333,136.886264,0
481,15515718864805,15515734966069,15515871009667,136.043598,152.144862,0
482,15516336830310,15516352705315,15516518253200,165.547885,181.42289,0
483,15516953772093,15516977989601,15517119767293,141.777692,165.9952,0
484,15517572485248,15517588039789,15517706131159,118.09137,133.645911,0
485,15518190053309,15518205618036,15518342591986,136.97395,152.538677,0
486,15518808295464,15518825221876,15518982555277,157.333401,174.259813,0
487,15519425381637,15519440795845,15519566518236,125.722391,141.136599,0
488,15520043237699,15520058935630,15520197768747,138.833117,154.531048,0
489,15520661699355,15520677459415,15520837706021,160.246606,176.006666,0
490,15521278662139,15521294672163,15521416551312,121.879149,137.889173,0
491,15521896718129,15521912244948,15522047759324,135.514376,151.041195,0
492,15522514665489,15522538100737,15522725755314,187.654577,211.089825,0
493,15523132929015,15523148456687,15523261266889,112.810202,128.337874,0
494,15523750957691,15523766355825,15523904154590,137.798765,153.196899,0
495,15524369127847,15524385022297,15524541435198,156.412901,172.307351,0
496,15524986417338,15525002041472,15525129445901,127.404429,143.028563,0
497,15525604164384,15525619604037,15525757937506,138.333469,153.773122,0
498,15526222228745,15526237930361,15526400963283,163.032922,178.734538,0
499,15526840905070,15526856675483,15526995808545,139.133062,154.903475,0
500,15527457337302,15527473675566,15527632921357,159.245791,175.584055,0
501,15528077057942,15528101135561,15528248955626,147.820065,171.897684,0
502,15528694863453,15528710564773,15528860886950,150.322177,166.023497,0
503,15529312081278,15529327951746,15529448097710,120.145964,136.016432,0
504,15529930433826,15529947385869,15530106174605,158.788736,175.740779,0
505,15530547421134,15530562995842,15530694481162,131.48532,147.060028,0
506,15531164827904,15531180998132,15531345032999,164.034867,180.205095,0
507,15531783106435,15531799401922,15531947825580,148.423658,164.719145,0
508,15532400657113,15532427638826,15532583278098,155.639272,182.620985,0
509,15533020157108,15533036266391,15533190646329,154.379938,170.489221,0
510,15533637745657,15533662453091,15533824613199,162.160108,186.867542,0
511,15534254754374,15534272917083,15534415867166,142.950083,161.112792,0
512,15534874421535,15534894802801,15535055722482,160.919681,181.300947,0
513,15535489978418,15535505719757,15535638433411,132.713654,148.454993,0
514,15536109313618,15536124889678,15536266232279,141.342601,156.918661,0
515,15536726912539,15536742742840,15536898735502,155.992662,171.822963,0
516,15537343851404,15537359650576,15537481248504,121.597928,137.3971,0
517,15537962611715,15537978180035,15538111729597,133.549562,149.117882,0
518,15538579922711,15538595865068,15538744187357,148.322289,164.264646,0
519,15539197225318,15539220323900,15539363750132,143.426232,166.524814,0
520,15539816546982,15539832106932,15539996570874,164.463942,180.023892,0
521,15540432971608,15540448563891,15540575217432,126.653541,142.245824,0
522,15541050507068,15541066793592,15541223298791,156.505199,172.791723,0
523,15541669759177,15541685141793,15541805585980,120.444187,135.826803,0
524,15542287373286,15542303084457,15542451194339,148.109882,163.821053,0
525,15542905717672,15542922138122,15543077450340,155.312218,171.732668,0
526,15543522445300,15543538027509,15543662357383,124.329874,139.912083,0
527,15544140172965,15544156480137,15544297804979,141.324842,157.632014,0
528,15544759269075,15544781953193,15544934392095,152.438902,175.12302,0
529,15545376343222,15545397410006,15545520496343,123.086337,144.153121,0
530,15545994971684,15546010715078,15546148064401,137.349323,153.092717,0
531,15546611409275,15546627074132,15546783995165,156.921033,172.58589,0
532,15547230895090,15547246583577,15547365149357,118.56578,134.254267,0
533,15547847750719,15547863427576,15548013453755,150.026179,165.703036,0
534,15548465613571,15548481297169,15548602856246,121.559077,137.242675,0
535,15549083279905,15549099430725,15549239944920,140.514195,156.665015,0
536,15549701380424,15549716905466,15549830102152,113.196686,128.721728,0
537,15550319057888,15550341846173,15550524866308,183.020135,205.80842,0
538,15550937314111,15550955078950,15551117858412,162.779462,180.544301,0
539,15551555287298,15551570880877,15551723967002,153.086125,168.679704,0
540,15552173403688,15552189227508,15552358258268,169.03076,184.85458,0
541,15552790800449,15552806394214,15552973887399,167.493185,183.08695,0
