window_index,window_complete_monotonic_ns,decision_monotonic_ns,draw_completed_monotonic_ns,decision_to_gui_draw_ms,window_to_gui_draw_ms,gui_messages_dropped
1,10007564715563,10007618528202,10007766323445,147.795243,201.607882,0
2,10008183459423,10008185487886,10008311312675,125.824789,127.853252,0
3,10008800376673,10008802002243,10008906468864,104.466621,106.092191,0
4,10009420407616,10009422342855,10009578202593,155.859738,157.794977,0
5,10010037518013,10010039376103,10010120759169,81.383066,83.241156,0
6,10010655518916,10010657299987,10010771741509,114.441522,116.222593,0
7,10011273015795,10011274998868,10011375817659,100.818791,102.801864,0
8,10011891254068,10011893006231,10011989396595,96.390364,98.142527,0
9,10012510423847,10012512422254,10012670140821,157.718567,159.716974,0
10,10013128041316,10013129772794,10013232719030,102.946236,104.677714,0
11,10013745789839,10013747736394,10013872053279,124.316885,126.26344,0
12,10014363905736,10014365938605,10014452124656,86.186051,88.21892,0
13,10014980976473,10014983071880,10015127517793,144.445913,146.54132,0
14,10015599808705,10015601598406,10015731202763,129.604357,131.394058,0
15,10016217851263,10016219542371,10016401554685,182.012314,183.703422,0
16,10016835799781,10016837837781,10016954044205,116.206424,118.244424,0
17,10017454426915,10017456792918,10017648467816,191.674898,194.040901,0
18,10018075520588,10018080277519,10018364064593,283.787074,288.544005,0
19,10018690369353,10018693202952,10018924744846,231.541894,234.375493,0
20,10019308464460,10019311418041,10019529433631,218.01559,220.969171,0
21,10019926213062,10019928940678,10020215813241,286.872563,289.600179,0
22,10020546069996,10020578442630,10020829186876,250.744246,283.11688,0
23,10021162502417,10021165688093,10021320167683,154.47959,157.665266,0
24,10021779539342,10021781510915,10021957923270,176.412355,178.383928,0
25,10022398061353,10022400224668,10022534681638,134.45697,136.620285,0
26,10023015169350,10023017536908,10023171754532,154.217624,156.585182,0
27,10023634173103,10023636195713,10023758348779,122.153066,124.175676,0
28,10024252105846,10024253863417,10024354202255,100.338838,102.096409,0
29,10024869285913,10024871081688,10025007272876,136.191188,137.986963,0
30,10025486993206,10025488884278,10025599494705,110.610427,112.501499,0
31,10026105027501,10026107296150,10026211279835,103.983685,106.252334,0
32,10026722711569,10026724529918,10026839296510,114.766592,116.584941,0
33,10027341496293,10027343266568,10027433177666,89.911098,91.681373,0
34,10027958946301,10027961900586,10028077707909,115.807323,118.761608,0
35,10028576562641,10028578314305,10028716962234,138.647929,140.399593,0
36,10029195522030,10029197589604,10029318742214,121.15261,123.220184,0
37,10029814079747,10029816382693,10029932630075,116.247382,118.550328,0
38,10030431914345,10030433598174,10030547946373,114.348199,116.032028,0
39,10031049974240,10031052442983,10031134580735,82.137752,84.606495,0
40,10031667916225,10031669768315,10031793741467,123.973152,125.825242,0
41,10032286038895,10032289235886,10032411746951,122.511065,125.708056,0
42,10032903030295,10032904910330,10033016118241,111.207911,113.087946,0
43,10033521299798,10033523335352,10033645891010,122.555658,124.591212,0
44,10034139039183,10034140793347,10034226795075,86.001728,87.755892,0
45,10034756577380,10034758563323,10034872283940,113.720617,115.70656,0
46,10035374879823,10035376998471,10035485022650,108.024179,110.142827,0
47,10035994076217,10035996950057,10036119706567,122.75651,125.63035,0
48,10036611809967,10036613615946,10036758295257,144.679311,146.48529,0
49,10037229037434,10037230748930,10037346353026,115.604096,117.315592,0
50,10037846506105,10037848274083,10037939414651,91.140568,92.908546,0
51,10038464050275,10038466125830,10038594303442,128.177612,130.253167,0
52,10039083463813,10039085299032,10039209971261,124.672229,126.507448,0
53,10039701962266,10039704455658,10039856650811,152.195153,154.688545,0
54,10040320642554,10040323234484,10040501004987,177.770503,180.362433,0
55,10040936295795,10040939025078,10041113310977,174.285899,177.015182,0
56,10041554613558,10041559881048,10041752348474,192.467426,197.734916,0
57,10042172427834,10042173411806,10042256720971,83.309165,84.293137,0
58,10042790345720,10042791428174,10042879940051,88.511877,89.594331,0
59,10043409404319,10043411416151,10043502575774,91.159623,93.171455,0
60,10044027356815,10044028791049,10044138741927,109.950878,111.385112,0
61,10044645117788,10044646254872,10044716467016,70.212144,71.349228,0
62,10045262090791,10045263121207,10045327352837,64.23163,65.262046,0
63,10045881104791,10045883176939,10045996833199,113.65626,115.728408,0
64,10046498847557,10046499843362,10046558181848,58.338486,59.334291,0
65,10047116409321,10047118252874,10047242694060,124.441186,126.284739,0
66,10047734373715,10047735390705,10047807774849,72.384144,73.401134,0
67,10048352505499,10048353510897,10048414655814,61.144917,62.150315,0
68,10048971381788,10048972514964,10049048052839,75.537875,76.671051,0
