window_index,window_complete_monotonic_ns,decision_monotonic_ns,draw_completed_monotonic_ns,decision_to_gui_draw_ms,window_to_gui_draw_ms,gui_messages_dropped
1,11195045804021,11195052633498,11195135645801,83.012303,89.84178,0
2,11195663852389,11195665603290,11195799113548,133.510258,135.261159,0
3,11196281744907,11196283598567,11196413419376,129.820809,131.674469,0
4,11196899826874,11196902042551,11197066594388,164.551837,166.767514,0
5,11197518281454,11197520609742,11197654602760,133.993018,136.321306,0
6,11198137182979,11198139286268,11198242063376,102.777108,104.880397,0
7,11198755183290,11198756887136,11198885582192,128.695056,130.398902,0
8,11199373077586,11199374724561,11199474792291,100.06773,101.714705,0
9,11199989985462,11199991593290,11200129300520,137.70723,139.315058,0
10,11200609028706,11200611653327,11200706779315,95.125988,97.750609,0
11,11201226358254,11201227843897,11201308771583,80.927686,82.413329,0
12,11201843861010,11201845914337,11201963028677,117.11434,119.167667,0
13,11202463015282,11202464597036,11202541809161,77.212125,78.793879,0
14,11203080567951,11203082429982,11203215411380,132.981398,134.843429,0
15,11203699881730,11203701819187,11203811399406,109.580219,111.517676,0
16,11204316207114,11204318546587,11204395338512,76.791925,79.131398,0
17,11204934140552,11204935807787,11205088700102,152.892315,154.55955,0
18,11205552882473,11205554756707,11205693127238,138.370531,140.244765,0
19,11206171994468,11206173927480,11206300253553,126.326073,128.259085,0
20,11206788538348,11206790695582,11206932360177,141.664595,143.821829,0
21,11207407584407,11207409463437,11207506472111,97.008674,98.887704,0
22,11208025189178,11208026730728,11208177521646,150.790918,152.332468,0
23,11208644298170,11208649532041,11208841748525,192.216484,197.450355,0
24,11209261996169,11209263813015,11209390559997,126.746982,128.563828,0
25,11209878637176,11209880460707,11209973661562,93.200855,95.024386,0
26,11210498277473,11210501096834,11210602176440,101.079606,103.898967,0
27,11211115761631,11211118842751,11211210042872,91.200121,94.281241,0
28,11211732842536,11211734549272,11211844693867,110.144595,111.851331,0
29,11212352098177,11212354052152,11212439466961,85.414809,87.368784,0
30,11212969759142,11212971700636,11213075972771,104.272135,106.213629,0
31,11213588135479,11213589911010,11213726256799,136.345789,138.12132,0
32,11214205286636,11214206919872,11214342058332,135.13846,136.771696,0
33,11214823455129,11214825701974,11214931581864,105.87989,108.126735,0
34,11215442457029,11215443491507,11215559998197,116.50669,117.541168,0
35,11216060275417,11216061361636,11216124541835,63.180199,64.266418,0
36,11216678245235,11216679277713,11216745255385,65.977672,67.01015,0
37,11217295445225,11217296383277,11217356831523,60.448246,61.386298,0
38,11217913195439,11217914406805,11218016083435,101.67663,102.887996,0
39,11218532459207,11218534528589,11218657049077,122.520488,124.58987,0
40,11219149761243,11219151024461,11219256568042,105.543581,106.806799,0
41,11219768777538,11219769854349,11219868591249,98.7369,99.813711,0
42,11220385593286,11220386661671,11220484991111,98.32944,99.397825,0
43,11221004049496,11221005203492,11221097331840,92.128348,93.282344,0
44,11221622035674,11221622988874,11221732942036,109.953162,110.906362,0
45,11222240891666,11222241854607,11222357383955,115.529348,116.492289,0
46,11222859045776,11222861292176,11222980174569,118.882393,121.128793,0
47,11223476699891,11223477784702,11223577998934,100.214232,101.299043,0
48,11224094424008,11224095395634,11224231333696,135.938062,136.909688,0
49,11224712282777,11224713675125,11224834392329,120.717204,122.109552,0
50,11225330200697,11225331250823,11225411742342,80.491519,81.541645,0
51,11225948957932,11225950706297,11226015056387,64.35009,66.098455,0
52,11226567043710,11226568045892,11226631592300,63.546408,64.54859,0
53,11227184967565,11227188640405,11227241141904,52.501499,56.174339,0
54,11227802342390,11227803375072,11227878285537,74.910465,75.943147,0
55,11228420396919,11228421425841,11228494901237,73.475396,74.504318,0
56,11229038458265,11229039472706,11229100110124,60.637418,61.651859,0
57,11229656066228,11229657052133,11229721360169,64.308036,65.293941,0
58,11230274219599,11230275443891,11230353499996,78.056105,79.280397,0
59,11230892602548,11230893578397,11231022444377,128.86598,129.841829,0
60,11231510408297,11231511425961,11231605241979,93.816018,94.833682,0
61,11232128050624,11232129045047,11232222451123,93.406076,94.400499,0
62,11232746214732,11232748322003,11232834825064,86.503061,88.610332,0
63,11233365073636,11233366024188,11233436995058,70.97087,71.921422,0
64,11233982255752,11233983243360,11234059372695,76.129335,77.116943,0
65,11234599577742,11234600574591,11234686275526,85.700935,86.697784,0
66,11235218916209,11235220130131,11235317725326,97.595195,98.809117,0
67,11235837002630,11235838945494,11235980866440,141.920946,143.86381,0
68,11236454881146,11236456092975,11236573633276,117.540301,118.75213,0
69,11237072613110,11237074573085,11237339255854,264.682769,266.642744,0
70,11237690968206,11237692645441,11237830964345,138.318904,139.996139,0
71,11238308256436,11238313515902,11238430812205,117.296303,122.555769,0
72,11238925897819,11238926918297,11239031438954,104.520657,105.541135,0
73,11239544914570,11239545882863,11239602387559,56.504696,57.472989,0
74,11240163385140,11240164355803,11240289232307,124.876504,125.847167,0
75,11240779809017,11240782274361,11240879872394,97.598033,100.063377,0
76,11241399414942,11241400361773,11241500929112,100.567339,101.51417,0
77,11242016291972,11242017545376,11242105774086,88.22871,89.482114,0
78,11242634801482,11242635730738,11242727207273,91.476535,92.405791,0
79,11243252098849,11243253176494,11243383207337,130.030843,131.108488,0
80,11243871516233,11243872505730,11243954509591,82.003861,82.993358,0
81,11244488876626,11244489831068,11244589197802,99.366734,100.321176,0
82,11245107107667,11245108081331,11245214211970,106.130639,107.104303,0
83,11245724418197,11245725397213,11245821125607,95.728394,96.70741,0
84,11246342651837,11246343649501,11246442434220,98.784719,99.782383,0
85,11246960372723,11246962027422,11247032809152,70.78173,72.436429,0
86,11247578501389,11247579732052,11247708749958,129.017906,130.248569,0
87,11248196759242,11248198063701,11248324043340,125.979639,127.284098,0
88,11248815725894,11248816721502,11248911516031,94.794529,95.790137,0
89,11249433328348,11249434288642,11249506132389,71.843747,72.804041,0
90,11250050825714,11250051827618,11250127877167,76.049549,77.051453,0
91,11250669499246,11250670471706,11250770285259,99.813553,100.786013,0
92,11251286245545,11251287698948,11251398638413,110.939465,112.392868,0
93,11251906010766,11251906965893,11252005162895,98.197002,99.152129,0
94,11252523396570,11252524340993,11252633737037,109.396044,110.340467,0
95,11253140891895,11253141839429,11253238941973,97.102544,98.050078,0
96,11253758604002,11253759819461,11253884852497,125.033036,126.248495,0
97,11254377246367,11254378213142,11254460583213,82.370071,83.336846,0
98,11254995636181,11254996610882,11255064382662,67.77178,68.746481,0
99,11255613985313,11255614965348,11255690081940,75.116592,76.096627,0
100,11256232251429,11256233239278,11256290482128,57.24285,58.230699,0
101,11256849249609,11256851128382,11257019518181,168.389799,170.268572,0
102,11257467294270,11257468321471,11257581416082,113.094611,114.121812,0
103,11258085251323,11258086308375,11258175624520,89.316145,90.373197,0
104,11258704446876,11258705472650,11258790429290,84.95664,85.982414,0
105,11259322398508,11259324885075,11259423542546,98.657471,101.144038,0
106,11259940245423,11259941303309,11260029261607,87.958298,89.016184,0
107,11260558440747,11260559361337,11260641975744,82.614407,83.534997,0
108,11261175232707,11261176193390,11261237179934,60.986544,61.947227,0
109,11261793207539,11261794174777,11261906174044,111.999267,112.966505,0
110,11262412409332,11262413533903,11262513989259,100.455356,101.579927,0
111,11263029912078,11263030894630,11263121430405,90.535775,91.518327,0
112,11263648996026,11263649960782,11263732861246,82.900464,83.86522,0
113,11264266406388,11264267386608,11264325777995,58.391387,59.371607,0
114,11264884815919,11264886131471,11265021894394,135.762923,137.078475,0
115,11265535068472,11265536031765,11265640718261,104.686496,105.649789,0
116,11266124905849,11266125898717,11266199845245,73.946528,74.939396,0
117,11266737388017,11266738331163,11266818359507,80.028344,80.97149,0
118,11267355496245,11267356509372,11267415953998,59.444626,60.457753,0
119,11267973644680,11267974611659,11268076196794,101.585135,102.552114,0
120,11268591393990,11268592348580,11268690843632,98.495052,99.449642,0
121,11269210294262,11269211257500,11269288299132,77.041632,78.00487,0
122,11269827647098,11269828590743,11269900807186,72.216443,73.160088,0
123,11270445669823,11270446943634,11270563852877,116.909243,118.183054,0
124,11271064758844,11271066053600,11271159162188,93.108588,94.403344,0
125,11271683278593,11271686048623,11271786654005,100.605382,103.375412,0
126,11272300636292,11272301588252,11272393857770,92.269518,93.221478,0
127,11272919044955,11272919984749,11273012128970,92.144221,93.084015,0
128,11273535997032,11273537046121,11273607992163,70.946042,71.995131,0
129,11274154612125,11274155711159,11274224544132,68.832973,69.932007,0
130,11274772768187,11274773724202,11274879698627,105.974425,106.93044,0
131,11275390647732,11275391626637,11275507675961,116.049324,117.028229,0
132,11276008335208,11276009329372,11276096348851,87.019479,88.013643,0
133,11276627116406,11276628422717,11276719035039,90.612322,91.918633,0
134,11277245256627,11277246278439,11277345054164,98.775725,99.797537,0
135,11277863633258,11277864606293,11277954541302,89.935009,90.908044,0
136,11278481032358,11278481972429,11278557080128,75.107699,76.04777,0
137,11279099950919,11279100962212,11279173178771,72.216559,73.227852,0
138,11279716486212,11279718302152,11279819048855,100.746703,102.562643,0
139,11280335034965,11280336065055,11280436171149,100.106094,101.136184,0
140,11280954128517,11280955489921,11281043422567,87.932646,89.29405,0
141,11281571825797,11281572823498,11281647607126,74.783628,75.781329,0
142,11282188905285,11282190785317,11282285079855,94.294538,96.17457,0
143,11282807179682,11282808155290,11282885105061,76.949771,77.925379,0
144,11283425879690,11283426846595,11283498676584,71.829989,72.796894,0
145,11284044183147,11284045162830,11284152515129,107.352299,108.331982,0
146,11284661492259,11284662449126,11284758544235,96.095109,97.051976,0
147,11285279944054,11285280940199,11285371568601,90.628402,91.624547,0
148,11285898801093,11285899728331,11285970394621,70.66629,71.593528,0
149,11286515525640,11286516540934,11286626192637,109.651703,110.666997,0
