timestamp,window_index,reconstruction_error,threshold,predicted_label,inference_time_ms,measured_sampling_rate_hz,status,error,threshold_source,runtime_backend,window_start_timestamp,window_complete_monotonic_ns,decision_monotonic_ns,queue_wait_ms,preprocessing_time_ms,decision_latency_ms,window_formation_time_ms,total_window_pipeline_time_ms,queue_pending_windows,windows_dropped,gap_count,overrun_count,saturated_count,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes
2026-09-18T17:46:04.016+02:00,15,255.5752815976739,0.07985480720896662,1,0.252335,207.12210831870772,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:03.401+02:00,10016217851263,10016219542371,0.529357,0.88273,1.691108,613.164867,614.855975,0,0,0,0,0,22.65562794492771,673021952,671219712
2026-09-18T17:46:04.634+02:00,16,256.3862665829559,0.07985480720896662,1,0.284891,207.1231537898289,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:04.019+02:00,10016835799781,10016837837781,0.811563,0.915471,2.038,613.161772,615.199772,0,0,0,0,0,33.964325867994525,673054720,671219712
2026-09-18T17:46:05.253+02:00,17,255.9884440973401,0.07985480720896662,1,0.314318,206.98894117902196,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:04.637+02:00,10017454426915,10017456792918,0.959194,1.056324,2.366003,613.559349,615.925352,0,0,0,0,0,25.849515279321878,673071104,671219712
2026-09-18T17:46:05.876+02:00,18,256.0409103495379,0.07985480720896662,1,0.346207,205.66098741784862,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:05.254+02:00,10018075520588,10018080277519,2.367558,2.002277,4.756931,617.521104,622.278035,0,0,0,0,0,41.70192517659848,673103872,671219712
2026-09-18T17:46:06.489+02:00,19,256.55630486334366,0.07985480720896662,1,0.348225,208.57510424661723,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:05.878+02:00,10018690369353,10018693202952,0.931675,1.517457,2.833599,608.893379,611.726978,0,0,0,0,0,45.67989572591837,673103872,671219712
2026-09-18T17:46:07.108+02:00,20,255.77527728304267,0.07985480720896662,1,0.545356,207.76608556771964,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:06.493+02:00,10019308464460,10019311418041,0.83197,1.535328,2.953581,611.264344,614.217925,0,0,0,0,0,45.27503786729337,673120256,671219712
2026-09-18T17:46:07.725+02:00,21,256.52716337889433,0.07985480720896662,1,0.342837,206.8143750457892,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:07.108+02:00,10019926213062,10019928940678,1.010435,1.326937,2.727616,614.077237,616.804853,0,0,0,0,0,40.498267485710954,673136640,671219712
2026-09-18T17:46:08.375+02:00,22,256.456704362606,0.07985480720896662,1,0.311595,206.59188977240592,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:07.728+02:00,10020546069996,10020578442630,31.004345,1.02036,32.372634,614.738556,647.11119,0,0,0,0,0,43.11178538899012,673169408,671219712
2026-09-18T17:46:08.962+02:00,23,256.90396798898774,0.07985480720896662,1,0.893137,206.96172775404972,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:08.345+02:00,10021162502417,10021165688093,1.129103,1.118436,3.185676,613.640026,616.825702,0,0,0,0,0,39.16456499824732,673169408,671219712
2026-09-18T17:46:09.578+02:00,24,255.87187837685147,0.07985480720896662,1,0.27091,207.31286094128117,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:08.963+02:00,10021779539342,10021781510915,0.767359,0.9051,1.971573,612.600682,614.572255,0,0,0,0,0,29.231556221704736,673169408,671219712
2026-09-18T17:46:10.196+02:00,25,255.8611423013111,0.07985480720896662,1,0.320966,207.04148649866247,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:09.581+02:00,10022398061353,10022400224668,0.903416,0.908693,2.163315,613.403633,615.566948,0,0,0,0,0,32.32491306199937,673169408,671219712
2026-09-18T17:46:10.814+02:00,26,256.6121933075289,0.07985480720896662,1,0.289836,206.92492308067003,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:10.198+02:00,10023015169350,10023017536908,1.005472,1.040342,2.367558,613.749171,616.116729,0,0,0,0,0,32.39739074916636,673169408,671219712
2026-09-18T17:46:11.432+02:00,27,256.302404275164,0.07985480720896662,1,0.274372,207.02881846206452,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:10.817+02:00,10023634173103,10023636195713,0.843322,0.878675,2.02261,613.441167,615.463777,0,0,0,0,0,32.329347964701284,673169408,671219712
2026-09-18T17:46:12.050+02:00,28,255.89673187335333,0.07985480720896662,1,0.262039,206.61555681086708,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:11.434+02:00,10024252105846,10024253863417,0.588172,0.879655,1.757571,614.66814,616.425711,0,0,0,0,0,21.046939532127933,673185792,671219712
2026-09-18T17:46:12.667+02:00,29,256.14672735954326,0.07985480720896662,1,0.251206,207.39863741479488,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:12.053+02:00,10024869285913,10024871081688,0.67021,0.847674,1.795775,612.347321,614.143096,0,0,0,0,0,21.06227960380498,673202176,671219712
2026-09-18T17:46:13.285+02:00,30,256.10444469253224,0.07985480720896662,1,0.227873,207.23118670885222,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:12.670+02:00,10025486993206,10025488884278,0.811841,0.82347,1.891072,612.842121,614.733193,0,0,0,0,0,24.279777940114553,673202176,671219712
2026-09-18T17:46:13.903+02:00,31,255.59257434184352,0.07985480720896662,1,0.306781,207.16150774892267,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:13.288+02:00,10026105027501,10026107296150,0.943379,0.985953,2.268649,613.048251,615.3169,0,0,0,0,0,22.637424605281787,673202176,671219712
2026-09-18T17:46:14.521+02:00,32,255.94098663330078,0.07985480720896662,1,0.248762,207.435299439674,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:13.907+02:00,10026722711569,10026724529918,0.651135,0.890823,1.818349,612.239095,614.057444,0,0,0,0,0,22.68299000733496,673202176,671219712
2026-09-18T17:46:15.139+02:00,33,256.1439927940567,0.07985480720896662,1,0.260891,206.89139735893127,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:14.524+02:00,10027341496293,10027343266568,0.667784,0.818081,1.770275,613.848626,615.618901,0,0,0,0,0,21.01000094311075,673202176,671219712
2026-09-18T17:46:15.758+02:00,34,256.3709367699921,0.07985480720896662,1,0.27141,207.30982574742364,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:15.143+02:00,10027958946301,10027961900586,1.780663,0.871674,2.954285,612.609651,615.563936,0,0,0,0,0,24.247267582628623,673202176,671219712
2026-09-18T17:46:16.375+02:00,35,256.54676448057097,0.07985480720896662,1,0.257762,207.6658022405956,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:15.761+02:00,10028576562641,10028578314305,0.604895,0.860507,1.751664,611.559528,613.311192,0,0,0,0,0,24.334389948799643,673202176,671219712
2026-09-18T17:46:16.994+02:00,36,256.08005992074806,0.07985480720896662,1,0.250373,206.7858832657184,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:16.378+02:00,10029195522030,10029197589604,0.910749,0.877841,2.067574,614.161847,616.229421,0,0,0,0,0,25.836802020910834,673202176,671219712
2026-09-18T17:46:17.613+02:00,37,256.5803963082532,0.07985480720896662,1,0.315077,207.0358603814192,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:16.997+02:00,10029814079747,10029816382693,0.932137,0.983601,2.302946,613.420302,615.723248,0,0,0,0,0,21.007500086358725,673202176,671219712
2026-09-18T17:46:18.230+02:00,38,256.30319410189986,0.07985480720896662,1,0.268391,206.71206140577428,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:17.614+02:00,10030431914345,10030433598174,0.55306,0.830618,1.683829,614.381179,616.065008,0,0,0,0,0,29.164496571576137,673202176,671219712
2026-09-18T17:46:18.849+02:00,39,256.13575278346735,0.07985480720896662,1,0.44593,207.11346222109546,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:18.233+02:00,10031049974240,10031052442983,0.955564,1.030194,2.468743,613.190464,615.659207,0,0,0,0,0,22.61868632595153,673202176,671219712
2026-09-18T17:46:19.466+02:00,40,256.46844515701133,0.07985480720896662,1,0.226632,206.8799790818603,ANOMALY,,PROFILE/P99,tensorflow.lite.Interpreter 2.21.0 num_threads=1,2026-09-18T17:46:18.850+02:00,10031667916225,10031669768315,0.807821,0.786655,1.85209,613.882506,615.734596,0,0,0,0,0,22.683163290938886,673202176,671219712
