group,windows,physical_vector_ac_rms_mg,x_rms_mg,y_rms_mg,z_rms_mg,rms,isolation_forest,tflite_autoencoder,x_ae_mse,y_ae_mse,z_ae_mse,standard_high_fraction,x_residual_energy_ratio,x_input_reconstruction_corr,x_power_fraction_0_20,x_power_fraction_20_60,x_power_fraction_60_100,x_residual_power_fraction_0_20,x_residual_power_fraction_20_60,x_residual_power_fraction_60_100,y_residual_energy_ratio,y_input_reconstruction_corr,y_power_fraction_0_20,y_power_fraction_20_60,y_power_fraction_60_100,y_residual_power_fraction_0_20,y_residual_power_fraction_20_60,y_residual_power_fraction_60_100,z_residual_energy_ratio,z_input_reconstruction_corr,z_power_fraction_0_20,z_power_fraction_20_60,z_power_fraction_60_100,z_residual_power_fraction_0_20,z_residual_power_fraction_20_60,z_residual_power_fraction_60_100
normal_before_false_alarm,51,28.801525030317567,11.868010322577561,11.099612829981938,23.748158739016105,1.061990539040846,0.4576049698675091,0.5936432711150701,0.9724519285608759,0.6175350465489167,0.19094283823541777,0.20536819795835332,0.610288359306661,0.6473257303471472,0.08559810793114365,0.656613318507115,0.2577885735617413,0.049420024611415994,0.5214615390025378,0.42911843638604624,0.6204705895824779,0.6193383050018915,0.09126556835928155,0.6811571387655997,0.22757729287511863,0.1469701537860605,0.4806604696777558,0.3723693765361836,0.24671578313453738,0.8735658863090827,0.03210353660195321,0.8939588187068181,0.07393764469122854,0.1407177925123555,0.4876048741114674,0.37167733337617703
normal_before_no_alarm,143,28.26736554658304,10.844626052375274,10.92663955324028,23.68001624630841,1.013935323509852,0.45191234400698616,0.48394514620181,0.7720657689630263,0.5102863593843849,0.16948331025801935,0.18940674556478426,0.5801604314388611,0.6647457589186727,0.08868450370273565,0.6541537485959916,0.2571617477012726,0.04844035505561306,0.49693630897757296,0.45462333596681404,0.5315995420302613,0.6861903700668458,0.08007391221564522,0.7212985381022998,0.19862754968205493,0.14874225502813854,0.4677298402970768,0.3835279046747846,0.2211062899731079,0.8873529731781868,0.03403804707994822,0.8981032579487614,0.06785869497129032,0.1677958007994813,0.44946266057146106,0.3827415386290576
plate,194,38.02525952086033,10.789820292047718,12.650118097245997,34.18582400523204,1.1889774038741059,0.47960785087356256,0.42676548247262686,0.6219139283459428,0.4736631332910287,0.18471938578090916,0.13316708214246908,0.4724246008190529,0.728411810656785,0.08008255122358823,0.6657797962631854,0.25413765251322645,0.05146376798642165,0.39746742038872407,0.5510688116248542,0.36603731651591814,0.7983902629264497,0.058283367724770024,0.8021537574240224,0.1395628748512074,0.15329960574999413,0.44685716605348574,0.39984322819652013,0.11426983703378142,0.9417053655792929,0.015750343401085658,0.9542828663497824,0.029966790249131705,0.17738267442900607,0.4542138977769722,0.36840342779402163
training,388,30.405990518824375,9.382998633167194,11.085949393600284,26.682331788089137,0.9980611892441109,0.4475475684146426,0.3787989316363513,0.5577851857404477,0.41658014568646573,0.1620314634821406,0.1992704882387179,0.5608925174757324,0.6637987417384278,0.11236764226066076,0.5459589044352078,0.3416734533041313,0.04710637265253249,0.34004766247761853,0.6128459648698489,0.4191665998536937,0.7638501480258328,0.07159512481264568,0.7299669359899582,0.19843793919739605,0.1700231698834941,0.3481237777207708,0.4818530523957351,0.16825750661809805,0.9126490357976226,0.02632174628351699,0.9176941100758813,0.055984143640601565,0.18139285423357743,0.41988720832429705,0.3987199374421255
validation,194,39.100067862724075,11.316991702151338,12.093149810396895,35.40858430915089,1.2081257739654783,0.48144288479802805,0.42963103258488855,0.6538040605600041,0.45112365343161565,0.183965383763046,0.14235536058715598,0.44971492606159513,0.7457692517747667,0.07466559294658634,0.6752207244554674,0.25011368259794614,0.04349737050087907,0.3952367156409168,0.5612659138582041,0.380389099846867,0.7976427364502788,0.06395784133933193,0.7637125354479842,0.17232962321268389,0.16577212148900936,0.38382394819177434,0.4504039303192162,0.10575705106915496,0.9467144227118418,0.013242099151256967,0.9545856614282892,0.03217223942045366,0.1649680236683412,0.42649862499117375,0.4085333513404849
