name,group,recording_id,state,window_index_in_recording,source_start_index,source_end_index_exclusive,start_host_monotonic_ns,last_host_monotonic_ns,start_since_command_s,last_since_command_s,quality_valid,quality_reasons,rms,isolation_forest,tflite_autoencoder,ae_alarm,physical_vector_ac_rms_mg,host_window_rate_xyz_s,x_rms_mg,x_physical_energy_share,x_standard_energy,x_standard_energy_share,x_ae_mse,x_ae_error_share,x_residual_energy_ratio,x_reconstruction_gain,x_input_reconstruction_corr,x_peak_hz_nominal,x_peak_hz_host_estimate,x_power_fraction_0_20,x_residual_power_fraction_0_20,x_power_fraction_20_60,x_residual_power_fraction_20_60,x_power_fraction_60_100,x_residual_power_fraction_60_100,y_rms_mg,y_physical_energy_share,y_standard_energy,y_standard_energy_share,y_ae_mse,y_ae_error_share,y_residual_energy_ratio,y_reconstruction_gain,y_input_reconstruction_corr,y_peak_hz_nominal,y_peak_hz_host_estimate,y_power_fraction_0_20,y_residual_power_fraction_0_20,y_power_fraction_20_60,y_residual_power_fraction_20_60,y_power_fraction_60_100,y_residual_power_fraction_60_100,z_rms_mg,z_physical_energy_share,z_standard_energy,z_standard_energy_share,z_ae_mse,z_ae_error_share,z_residual_energy_ratio,z_reconstruction_gain,z_input_reconstruction_corr,z_peak_hz_nominal,z_peak_hz_host_estimate,z_power_fraction_0_20,z_residual_power_fraction_0_20,z_power_fraction_20_60,z_residual_power_fraction_20_60,z_power_fraction_60_100,z_residual_power_fraction_60_100,vector_high_fraction,standard_high_fraction
train_normal_before,train,normal_before_75pwm_300s_20260911_104430_339886,normal,0,37270,37398,14327884009346,14328495901117,180.000250514,180.612142285,True,[],0.905807374736265,0.43612295521357697,0.3442741633280413,False,26.41886612681849,207.55304453996325,8.601420404991156,0.10600149768098838,0.8368956660333424,0.33999956363485184,0.5004367888431815,0.4845332026521557,0.5979679536579698,0.6282018218788663,0.6369773315189734,37.5,38.91619585124311,0.1340341225699769,0.026110927916135406,0.4870952644041972,0.2874765805952815,0.37887061302582586,0.6864124914885833,10.626170403137879,0.1617801388347617,0.9157002810097765,0.37201494594815043,0.4001423090880181,0.3874260223498512,0.4369795634951279,0.6826613199203055,0.7538186229869237,37.5,38.91619585124311,0.09013027386090762,0.2902936258985624,0.7973778872718981,0.43152702685020505,0.11249183886719448,0.2781793472512325,22.60656004364299,0.73221836348425,0.7088650533366945,0.2879854904169978,0.13224339205292424,0.12804077499799316,0.18655651231562645,0.9757752319166058,0.9047088489855811,37.5,38.91619585124311,0.031838492463046,0.2186409587997645,0.9225899554825504,0.4572374797786094,0.04557155205440354,0.32412156142162607,0.0897296471637598,0.1859255867151305
train_normal_before,train,normal_before_75pwm_300s_20260911_104430_339886,normal,1,37398,37526,14328501513242,14329114050901,180.61775441,181.230292069,True,[],0.9976207884775647,0.4434311999809326,0.35745327877748423,False,29.008458260217235,207.3341910231841,9.98812842080967,0.11855474481544313,1.1284938520984724,0.3779609760809604,0.5639815378143851,0.5259256442718353,0.4997648297025654,0.6025380938345145,0.7170180048103539,37.5,38.87516081684702,0.13312213025291125,0.021312310003500593,0.5019188458301345,0.24529963391546242,0.3649590239169543,0.7333880560810371,11.100957798230116,0.14644400855211925,0.9993571113591315,0.33470983343007765,0.36983220452839305,0.34487696386806654,0.37007011840383974,0.7235983091734474,0.7971877506609006,37.5,38.87516081684702,0.0420099579855001,0.12044713342279187,0.8183288670474704,0.4997090059640838,0.13966117496702923,0.3798438606131243,24.869593427438527,0.7350012466324376,0.8578907493501902,0.28732919048896194,0.13854609398967455,0.1291973918600981,0.16149619761562456,0.9652579512076855,0.9169851327427632,37.5,38.87516081684702,0.02068365396898758,0.13130464921898488,0.9133385893647217,0.4246343673053293,0.06597775666629076,0.44406098347568584,0.11013235862412044,0.19719475817639814
train_normal_before,train,normal_before_75pwm_300s_20260911_104430_339886,normal,2,37526,37654,14329117756343,14329731836075,181.233997511,181.848077243,True,[],0.9596574651847899,0.43809841937157323,0.3526264031096164,False,27.63779316595274,206.8135347609877,9.627353608339098,0.1213408750057728,1.048442988703755,0.37948190579180663,0.5612729339875102,0.5305642922537431,0.535339489161391,0.6044589096467438,0.687037454920982,37.5,38.777537767685196,0.1079851953695212,0.043447832763056526,0.4820707537862664,0.20414510885597417,0.40994405084421237,0.7524070583809693,10.795358041724386,0.15256937844400742,0.9450916314417555,0.342074082531485,0.35761117659363606,0.33804537743067614,0.3783878353129562,0.712503657967718,0.7924959857681605,37.5,38.777537767685196,0.071917530233361,0.17024400266290068,0.7416319613780884,0.32919122579270504,0.18645050838855043,0.5005647715443942,23.550412275265177,0.7260897465502197,0.7692927313091786,0.27844401167670835,0.13899509874770288,0.13139033031558076,0.18067907454573462,0.9782274022169485,0.9079077657709198,37.5,38.777537767685196,0.012065749220755467,0.0828330315924141,0.8943338209416806,0.2996625486263799,0.09360042983756424,0.6175044197812057,0.1480336280735555,0.2451246896668799
train_normal_before,train,normal_before_75pwm_300s_20260911_104430_339886,normal,3,37654,37782,14329735588739,14330349652508,181.851829907,182.465893676,True,[],0.9472981793711153,0.4504920974624938,0.3710593355793866,False,27.45114323471024,206.8189110176927,9.047064137433523,0.10861616547374109,0.9258621470562503,0.34391543602983726,0.538123526846249,0.48341192836091096,0.5812134436613441,0.6094599066550452,0.6483032785432504,37.5,38.77854581581738,0.08909117938497965,0.05152198292188132,0.5804316864961014,0.37003095997185176,0.33047713411891894,0.5784470571062669,11.141901552914733,0.16473950697892167,1.0067426020177663,0.37395882534305375,0.43236561053177525,0.388406533289941,0.4294698661457312,0.6822003173828548,0.7592624410067589,37.5,38.77854581581738,0.11340820678363273,0.21226982260221522,0.6905122796681273,0.38976771844043306,0.19607951354823985,0.39796245895735183,23.40029754449499,0.7266443275473373,0.7595167728454726,0.28212573862710894,0.14268886936013558,0.12818153834914803,0.18786796350205992,0.9609638603152147,0.9030470721474971,37.5,38.77854581581738,0.04518670313468822,0.28968742268207126,0.8880313143093265,0.24713181586387897,0.06678198255598533,0.46318076145404957,0.11599380793879355,0.20504103722199266
train_normal_before,train,normal_before_75pwm_300s_20260911_104430_339886,normal,4,37782,37910,14330353326894,14330967499830,182.469568062,183.083740998,True,[],0.9566572759240037,0.4318124665575442,0.4162016660385988,False,28.442688282292035,206.78214971035453,8.983632272288908,0.09976142634683931,0.9129246835655067,0.3325071106469908,0.6023007622237024,0.48237894540915865,0.659748578460344,0.5997195708192478,0.58363818529308,37.5,38.77165307069147,0.11393391966864048,0.046293283756289334,0.5344542499596932,0.3759315485664149,0.3516118303716664,0.5777751676772955,11.061079506919679,0.15123549939237743,0.992190008808393,0.36137727348240606,0.4779815466335009,0.38281245658538726,0.48174396273910314,0.6785601245766651,0.7213111622931744,37.5,38.77165307069147,0.039220754950620045,0.12419224283222235,0.7756457265458342,0.4763151102595945,0.18513351850354573,0.3994926469081831,24.61571425048486,0.7490030742607832,0.8404647383611064,0.30611561587060315,0.16832268925859317,0.13480859800545408,0.2002733506545675,0.8898089102119835,0.8943450545700463,37.5,38.77165307069147,0.02334657213759697,0.1275204039808259,0.9076430420940629,0.4337405489765839,0.06901038576834043,0.4387390470425902,0.11569969007031217,0.21003577153815303
train_normal_before,train,normal_before_75pwm_300s_20260911_104430_339886,normal,5,37910,38038,14330971199253,14331584082505,183.087440421,183.700323673,True,[],0.935979471212525,0.44443483875714784,0.4157229706413072,False,27.900891689694753,207.21727928698564,9.072476425497657,0.10573421136109389,0.9310707458935212,0.3542654338454344,0.605507146995663,0.48550532426404763,0.6503341981973406,0.604725648360669,0.5930403669374301,37.5,38.853239866309806,0.11868123687140093,0.06982661490236161,0.48739564591834583,0.3040166030091889,0.39392311721025314,0.6261567820884494,10.431353799476065,0.13978004784472176,0.8824318204651718,0.33575868761304817,0.48781161576275167,0.39113516308728247,0.5528037457960242,0.6681181682664654,0.6688512758622345,37.5,38.853239866309806,0.11790768372600594,0.2204785707276841,0.6097194921507793,0.27670132372362183,0.27237282412321484,0.5028201055486939,24.235032215762025,0.7544857407941844,0.8146701452351408,0.3099758785415175,0.15385014916550688,0.1233595126486699,0.18884962222483387,0.893341142436236,0.9007063871124142,37.5,38.853239866309806,0.048418654798125765,0.3143989572409854,0.9038284356591072,0.4160172134674175,0.04775290954276688,0.26958382929159713,0.1180191314288344,0.2496606909629793
train_normal_before,train,normal_before_75pwm_300s_20260911_104430_339886,normal,6,38038,38166,14331589681408,14332201947271,183.705922576,184.318188439,True,[],0.9448756249774791,0.4359033156633258,0.3898345253150224,False,27.19839009401208,207.4262304576664,9.382346828317301,0.11899715254169202,0.995758361997332,0.37177776837058224,0.5693386373800162,0.48682077514806904,0.5717638526660364,0.5868410068622684,0.6583211643973764,37.5,38.89241821081245,0.1915138467569678,0.042871970936109685,0.5513425339583196,0.47577970386865825,0.2571436192847125,0.481348325195232,10.762155985900032,0.1565713037945616,0.939287142464309,0.35069359295573516,0.4207124921506775,0.3597359604571563,0.447906154711006,0.6820487591466061,0.745759038129483,37.5,38.89241821081245,0.08774705971589333,0.15189649042923098,0.7178853558800973,0.3730000528128645,0.1943675844040093,0.4751034567579045,23.149513822851112,0.7244315436637464,0.7433243355681043,0.2775286386736826,0.1794524464143734,0.1534432643947747,0.24141876947594132,0.9145802075784706,0.8720076099138672,37.5,38.89241821081245,0.0394507760542227,0.20961747226181235,0.884420919489114,0.3777578714089775,0.0761283044566633,0.4126246563292101,0.11733281486085738,0.1871167842637368
train_normal_before,train,normal_before_75pwm_300s_20260911_104430_339886,normal,7,38166,38294,14332207543915,14332820403185,184.323785083,184.936644353,True,[],0.9892839034657752,0.4486145252283953,0.46008711512233047,False,28.254932095903904,207.2253879752851,10.361122325065022,0.13446989518141483,1.2143519737001043,0.41360086917271366,0.7937371901282404,0.5750629710761024,0.6536302549167358,0.5177002607157483,0.5942402482401805,37.5,38.85476024536595,0.11615062896343044,0.04642471498491108,0.5292035418251484,0.36678011107843644,0.35464582921142096,0.5867951739366525,10.655353586746603,0.142215586270091,0.9207368882489391,0.3135973634553399,0.453998207336781,0.32892191675198257,0.4930813711615231,0.6918021123353802,0.7122771900567507,37.5,38.85476024536595,0.050408136964948745,0.11757511369094717,0.6745131769313626,0.37470031368316753,0.27507868610368885,0.5077245726258851,24.0302262130548,0.7233145185484942,0.8009590630204002,0.27280176737194645,0.13252594790197003,0.09601511217191502,0.16545907777385951,0.9201469236258266,0.9135590417979518,37.5,38.85476024536595,0.024089430386046815,0.17743464726578573,0.9217085106772652,0.43205837287476234,0.054202058936688106,0.39050697985945193,0.128110653581896,0.24939006092201127
train_normal_before,train,normal_before_75pwm_300s_20260911_104430_339886,normal,8,38294,38422,14332825999995,14333437460507,184.942241163,185.553701675,True,[],0.9253518024909041,0.4449592738766229,0.373961938122991,False,26.660974541013356,207.69943031088164,9.508593461147385,0.12719806914710194,1.0227360332937678,0.39813334447182164,0.5488130655569421,0.48918798912314704,0.5366126230924559,0.581098161682092,0.6907924401618079,37.5,38.943643183290305,0.09878533938387588,0.05775402990251356,0.6449688782445087,0.4768757744976414,0.2562457823716154,0.4653701955998448,10.098540731330633,0.14347135588084733,0.8270220083504682,0.32194527954193786,0.4019313531755486,0.3582640479339895,0.48599837624299547,0.7179656421599587,0.7169524156691439,37.5,38.943643183290305,0.07627470754514544,0.1503079260452463,0.7305177376582535,0.3427727802397652,0.19320755479660107,0.5069192937149887,22.768699764475873,0.7293305749720507,0.7190698334752597,0.2799213759862405,0.17114139563648223,0.1525479629428634,0.23800385952690717,0.939387138448141,0.8752995423235527,37.5,38.943643183290305,0.05029841821559099,0.3086568161889216,0.8823221229236025,0.33023469942160677,0.06737945886080673,0.36110848438947185,0.11151921535421072,0.18560340714292461
train_normal_before,train,normal_before_75pwm_300s_20260911_104430_339886,normal,9,38422,38550,14333443077725,14334056816402,185.559318893,186.17305757,True,[],0.9114804740293945,0.44366201104633446,0.3635043626927654,False,27.726361606415058,206.92846118283663,8.779865187737428,0.10027436697549036,0.8719803237327142,0.34985709959670114,0.5832820629124171,0.534869383310454,0.6689165420792328,0.6569522504108259,0.5814138713506652,37.5,38.79908647178186,0.19059557517615988,0.04015471250390278,0.3866240587414825,0.3509728251549285,0.42278036608235775,0.6088724623411685,9.916162233318897,0.12790911110896436,0.7974198540032376,0.31994184924740743,0.3564541601569502,0.32686830085193586,0.44700938704681786,0.7319447531075999,0.7437269533730838,37.5,38.79908647178186,0.09582680823551501,0.23990290334468298,0.727483186000864,0.3159660869799679,0.17669000576362096,0.4441310096753491,24.35846509485652,0.7718165219155453,0.8229897858745971,0.3302010511558914,0.15077686500892895,0.13826231583761012,0.18320624094829718,0.8895934341788829,0.9038805726258923,37.5,38.79908647178186,0.02328944737671991,0.1945079546057069,0.9335570640994051,0.4817601853367955,0.043153488523875246,0.32373186005749777,0.09558063616404512,0.21047509119830587
