name,start_s,end_s,xyz_points,observed_span_s,observed_rate_xyz_per_s,host_interval_max_ms,host_intervals_over_10ms,quality_flags_clear,gap_flagged_points,overrun_flagged_points,saturated_flagged_points,vector_ac_rms_g,mean_x_g,std_x_g,ac_rms_x_g,mean_y_g,std_y_g,ac_rms_y_g,mean_z_g,std_z_g,ac_rms_z_g
Lauf_1,0,5,1036,4.998840902,207.0479977840271,6.257481,0,True,0,0,0,0.020175683813946816,-0.2218520270270268,0.01317177886389776,0.01317177886389776,-0.024363706563706573,0.00957353653073934,0.00957353653073934,-1.0700794401544376,0.011912592380146766,0.011912592380146766
Lauf_1,5,10,1035,4.992086147,207.12783584902346,6.015983,0,True,0,0,0,0.1878302885032844,-0.21908956521739104,0.15969794007759885,0.15969794007759885,-0.02655014492753617,0.02629471223047221,0.02629471223047221,-1.0713657971014485,0.09531722469163352,0.09531722469163352
Lauf_1,10,15,1036,4.997695836,207.09543636980953,5.982686,0,True,0,0,0,0.19717886767983517,-0.21938629343629323,0.16725677028435218,0.16725677028435218,-0.026731563706563686,0.030418250749112783,0.030418250749112783,-1.0706516409266391,0.09989699031959647,0.09989699031959647
Lauf_1,15,20,1035,4.992130741,207.12598560527164,5.85928,0,True,0,0,0,0.2025657584409409,-0.21950405797101405,0.1724424206722375,0.1724424206722375,-0.026772463768115914,0.030524569738130027,0.030524569738130027,-1.071158550724638,0.10180740978806344,0.10180740978806344
Lauf_1,20,25,1036,4.996413543,207.14858589918765,5.855502,0,True,0,0,0,0.20150968152793408,-0.2189194980694976,0.17131930039935164,0.17131930039935164,-0.026562162162162166,0.030447660908262158,0.030447660908262158,-1.0711598455598441,0.10163064993092176,0.10163064993092176
Lauf_1,25,30,1035,4.993116662,207.0850873301706,5.849113,0,True,0,0,0,0.20045377463921138,-0.21946637681159414,0.17002280145441892,0.17002280145441892,-0.026602898550724608,0.03109855102181408,0.03109855102181408,-1.0707779710144936,0.10152262248899326,0.10152262248899326
Lauf_1,30,35,1035,4.99136248,207.1578660422194,6.006965,0,True,0,0,0,0.20098032981672836,-0.2190857971014492,0.17059353047187148,0.17059353047187148,-0.02668579710144925,0.030705120207765436,0.030705120207765436,-1.071561739130434,0.10172578791737229,0.10172578791737229
Lauf_1,35,40,1036,4.998055124,207.08054919804042,5.935428,0,True,0,0,0,0.20056614208690676,-0.21936370656370624,0.1703648586790945,0.1703648586790945,-0.02646428571428568,0.030883217546657855,0.030883217546657855,-1.0709753861003877,0.10123645170018156,0.10123645170018156
Lauf_1,40,45,1035,4.993097171,207.08589570527306,6.649334,0,True,0,0,0,0.2003109954585002,-0.21885594202898537,0.1705261031513846,0.1705261031513846,-0.02681768115942025,0.03050316410980895,0.03050316410980895,-1.0711020289855067,0.10057285928553847,0.10057285928553847
Lauf_1,45,50,1036,4.996980971,207.1250633145547,5.877021,0,True,0,0,0,0.2000522783521601,-0.21901361003861014,0.17007724329087434,0.17007724329087434,-0.026859555984555958,0.03081834426191799,0.03081834426191799,-1.071171138996139,0.10072177046408981,0.10072177046408981
