recording,method,window,source_window_start_ns,source_window_complete_ns,source_complete_elapsed_s,phase,score,threshold,prediction
autoencoder_awaiting_call_03,rms,44,5897306079893,5897917893513,27.181606506,pre_cue,0.4291390464948394,1.296361072562011,0
autoencoder_awaiting_call_03,rms,45,5897922482368,5898534907878,27.798620871,pre_cue,0.42335594946992944,1.296361072562011,0
autoencoder_awaiting_call_03,rms,46,5898539615122,5899153862929,28.417575922,pre_cue,0.42928253637872243,1.296361072562011,0
autoencoder_awaiting_call_03,rms,47,5899158362506,5899770501016,29.034214009,pre_cue,0.43082499198868374,1.296361072562011,0
autoencoder_awaiting_call_03,rms,48,5899775040500,5900388976086,29.652689079,pre_cue,0.4407612263582077,1.296361072562011,0
autoencoder_awaiting_call_03,rms,49,5900393696052,5901006229729,30.269942722,pre_cue,0.4249841504674012,1.296361072562011,0
autoencoder_awaiting_call_03,rms,50,5901010878861,5901623704872,30.887417865,pre_cue,0.45070577795787875,1.296361072562011,0
autoencoder_awaiting_call_03,rms,51,5901628117301,5902241252812,31.504965805,pre_cue,0.41344652191419895,1.296361072562011,0
autoencoder_awaiting_call_03,rms,52,5902245948111,5902858389252,32.122102245,pre_cue,0.4092591609485779,1.296361072562011,0
autoencoder_awaiting_call_03,rms,53,5902863113625,5903476438192,32.740151185,pre_cue,0.43558911490488067,1.296361072562011,0
autoencoder_awaiting_call_03,rms,54,5903480960028,5904093045150,33.356758143,pre_cue,0.42375345097010836,1.296361072562011,0
autoencoder_awaiting_call_03,rms,55,5904097982987,5904712229721,33.975942714,pre_cue,0.449207137403414,1.296361072562011,0
autoencoder_awaiting_call_03,rms,56,5904716875057,5905328044938,34.591757931,pre_cue,0.44340967840537293,1.296361072562011,0
autoencoder_awaiting_call_03,rms,57,5905334419405,5905947179065,35.210892058,pre_cue,0.422643267250519,1.296361072562011,0
autoencoder_awaiting_call_03,rms,58,5905951900624,5906563797986,35.827510979,pre_cue,0.4297076016632362,1.296361072562011,0
autoencoder_awaiting_call_03,rms,59,5906568531027,5907181378464,36.445091457,pre_cue,0.42868772313805203,1.296361072562011,0
autoencoder_awaiting_call_03,rms,60,5907185831152,5907799280720,37.062993713,pre_cue,0.41731893789595487,1.296361072562011,0
autoencoder_awaiting_call_03,rms,61,5907803794279,5908415878883,37.679591876,pre_cue,0.43031785441732834,1.296361072562011,0
autoencoder_awaiting_call_03,rms,62,5908422285720,5909034045824,38.297758817,pre_cue,0.4262736218094596,1.296361072562011,0
autoencoder_awaiting_call_03,rms,63,5909038300679,5909651793858,38.915506851,pre_cue,0.42851567144698,1.296361072562011,0
autoencoder_awaiting_call_03,rms,64,5909656247935,5910270097041,39.533810034,pre_cue,0.4254147053877964,1.296361072562011,0
autoencoder_awaiting_call_03,rms,65,5910274696007,5910887479130,40.151192123,pre_cue,0.4308758323287749,1.296361072562011,0
autoencoder_awaiting_call_03,rms,66,5910892215448,5911503499423,40.767212416,pre_cue,0.42050944845847044,1.296361072562011,0
autoencoder_awaiting_call_03,rms,67,5911509974705,5912122476699,41.386189692,pre_cue,0.40586795370264456,1.296361072562011,0
autoencoder_awaiting_call_03,rms,68,5912126962146,5912739692973,42.003405966,pre_cue,0.45635185564037567,1.296361072562011,0
autoencoder_awaiting_call_03,rms,69,5912743972124,5913357920064,42.621633057,pre_cue,0.4414310976716829,1.296361072562011,0
autoencoder_awaiting_call_03,rms,70,5913362184363,5913975830784,43.239543777,pre_cue,0.4381759541819294,1.296361072562011,0
autoencoder_awaiting_call_03,rms,71,5913980391491,5914593273189,43.856986182,pre_cue,0.4255342856668281,1.296361072562011,0
autoencoder_awaiting_call_03,rms,72,5914597677766,5915210259223,44.473972216,pre_cue,0.43381424891238096,1.296361072562011,0
autoencoder_awaiting_call_03,rms,73,5915215500042,5915835233856,45.098946849,pre_cue,0.42434589745961987,1.296361072562011,0
autoencoder_awaiting_call_03,rms,74,5915837830209,5916445854701,45.709567694,pre_cue,0.4467503423404298,1.296361072562011,0
autoencoder_awaiting_call_03,rms,75,5916450349334,5917062785754,46.326498747,pre_cue,0.4284305779489608,1.296361072562011,0
autoencoder_awaiting_call_03,rms,76,5917067183257,5917680339216,46.944052209,pre_cue,0.41840915777102416,1.296361072562011,0
autoencoder_awaiting_call_03,rms,77,5917684890941,5918297675362,47.561388355,pre_cue,0.43598501838799514,1.296361072562011,0
autoencoder_awaiting_call_03,rms,78,5918302326106,5918914741342,48.178454335,pre_cue,0.44450504823065906,1.296361072562011,0
autoencoder_awaiting_call_03,rms,79,5918921045624,5919533119304,48.796832297,pre_cue,0.4174818114719962,1.296361072562011,0
autoencoder_awaiting_call_03,rms,80,5919537811492,5920153482156,49.417195149,pre_cue,0.4184289586434059,1.296361072562011,0
autoencoder_awaiting_call_03,rms,81,5920155922417,5920797711635,50.061424628,pre_cue,0.45017314876092573,1.296361072562011,0
autoencoder_awaiting_call_03,rms,82,5920800283304,5921386509986,50.650222979,pre_cue,0.4442539152110502,1.296361072562011,0
autoencoder_awaiting_call_03,rms,83,5921391087470,5922003188077,51.26690107,pre_cue,0.44237222074249455,1.296361072562011,0
autoencoder_awaiting_call_03,rms,84,5922007733950,5922621570206,51.885283199,straddling,0.4569798755072265,1.296361072562011,0
autoencoder_awaiting_call_03,rms,85,5922625679894,5923238781298,52.502494291,between_cues,0.4146088290705918,1.296361072562011,0
autoencoder_awaiting_call_03,rms,86,5923243016838,5923856282427,53.11999542,between_cues,0.44022066067904403,1.296361072562011,0
autoencoder_awaiting_call_03,rms,87,5923860742485,5924473374389,53.737087382,between_cues,0.44338099042285906,1.296361072562011,0
autoencoder_awaiting_call_03,rms,88,5924479490560,5925091408833,54.355121826,between_cues,0.41880948369299964,1.296361072562011,0
autoencoder_awaiting_call_03,rms,89,5925096707652,5925708559611,54.972272604,between_cues,0.42002392197710947,1.296361072562011,0
autoencoder_awaiting_call_03,rms,90,5925713844503,5926327310722,55.591023715,between_cues,0.44000914158938387,1.296361072562011,0
autoencoder_awaiting_call_03,rms,91,5926332723948,5926944152759,56.207865752,between_cues,0.44228540606648964,1.296361072562011,0
autoencoder_awaiting_call_03,rms,92,5926948709095,5927561058740,56.824771733,between_cues,0.4317449989560472,1.296361072562011,0
autoencoder_awaiting_call_03,rms,93,5927567652503,5928179983815,57.443696808,between_cues,0.43747504668537857,1.296361072562011,0
autoencoder_awaiting_call_03,rms,94,5928184577281,5928796141462,58.059854455,between_cues,0.44485128816839337,1.296361072562011,0
autoencoder_awaiting_call_03,rms,95,5928802712819,5929414184445,58.677897438,between_cues,0.45055357758303716,1.296361072562011,0
autoencoder_awaiting_call_03,rms,96,5929418447577,5930032044353,59.295757346,between_cues,0.4375505007234427,1.296361072562011,0
autoencoder_awaiting_call_03,rms,97,5930036365522,5930650398872,59.914111865,between_cues,2.01557493864069,1.296361072562011,1
autoencoder_awaiting_call_03,rms,98,5930654434560,5931267339632,60.531052625,between_cues,1.3121004254868682,1.296361072562011,1
autoencoder_awaiting_call_03,rms,99,5931272634376,5931884997114,61.148710107,between_cues,0.44659079886280817,1.296361072562011,0
autoencoder_awaiting_call_03,rms,100,5931889495043,5932520528442,61.784241435,between_cues,0.424244811245483,1.296361072562011,0
autoencoder_awaiting_call_03,rms,101,5932524717371,5933120856691,62.384569684,between_cues,1.7821344546148428,1.296361072562011,1
autoencoder_awaiting_call_03,rms,102,5933125181657,5933738056877,63.00176987,between_cues,1.7579475591815261,1.296361072562011,1
autoencoder_awaiting_call_03,rms,103,5933742025083,5934355138174,63.618851167,between_cues,0.42919184259416754,1.296361072562011,0
autoencoder_awaiting_call_03,rms,104,5934361149826,5934973746602,64.237459595,between_cues,0.42185185923473584,1.296361072562011,0
autoencoder_awaiting_call_03,rms,105,5934977777586,5935589949936,64.853662929,between_cues,1.3920788005916447,1.296361072562011,1
autoencoder_awaiting_call_03,rms,106,5935595936588,5936215469128,65.479182121,between_cues,2.1556602393555764,1.296361072562011,1
autoencoder_awaiting_call_03,rms,107,5936217732926,5936825741958,66.089454951,between_cues,0.4433956105510167,1.296361072562011,0
autoencoder_awaiting_call_03,rms,108,5936829781128,5937443096478,66.706809471,between_cues,0.43345790693932973,1.296361072562011,0
autoencoder_awaiting_call_03,rms,109,5937449084964,5938060358313,67.324071306,between_cues,0.7592793908584438,1.296361072562011,0
autoencoder_awaiting_call_03,rms,110,5938066367151,5938677789964,67.941502957,between_cues,2.3339718667053106,1.296361072562011,1
autoencoder_awaiting_call_03,rms,111,5938682878022,5939295664484,68.559377477,between_cues,0.9733006361479449,1.296361072562011,0
autoencoder_awaiting_call_03,rms,112,5939301633581,5939912915561,69.176628554,between_cues,0.43356939636631303,1.296361072562011,0
autoencoder_awaiting_call_03,rms,113,5939918873083,5940530718693,69.794431686,between_cues,0.4597725775612687,1.296361072562011,0
autoencoder_awaiting_call_03,rms,114,5940536690085,5941148680806,70.412393799,between_cues,1.5698267986972898,1.296361072562011,1
autoencoder_awaiting_call_03,rms,115,5941152810457,5941765620901,71.029333894,between_cues,0.5446407236116207,1.296361072562011,0
autoencoder_awaiting_call_03,rms,116,5941771992350,5942384582923,71.648295916,between_cues,0.7850594731665211,1.296361072562011,0
autoencoder_awaiting_call_03,rms,117,5942388541889,5943002152722,72.265865715,between_cues,0.42752765161746276,1.296361072562011,0
autoencoder_awaiting_call_03,rms,118,5943006111225,5943619692855,72.883405848,between_cues,0.4168449063809469,1.296361072562011,0
autoencoder_awaiting_call_03,rms,119,5943623726691,5944237569562,73.501282555,between_cues,0.43982823359188367,1.296361072562011,0
autoencoder_awaiting_call_03,rms,120,5944241540601,5944853618527,74.11733152,between_cues,0.4299125630333016,1.296361072562011,0
autoencoder_awaiting_call_03,rms,121,5944858375086,5945474317995,74.738030988,between_cues,0.45591790289602135,1.296361072562011,0
autoencoder_awaiting_call_03,rms,122,5945481584944,5946090283016,75.353996009,between_cues,0.40909324637963357,1.296361072562011,0
autoencoder_awaiting_call_03,rms,123,5946094732093,5946706691352,75.970404345,between_cues,0.42791109474563643,1.296361072562011,0
autoencoder_awaiting_call_03,rms,124,5946711241892,5947324162726,76.587875719,between_cues,0.4209098486015087,1.296361072562011,0
autoencoder_awaiting_call_03,rms,125,5947328603988,5947942786656,77.206499649,between_cues,0.45112663283673093,1.296361072562011,0
autoencoder_awaiting_call_03,rms,126,5947947344270,5948559499807,77.8232128,between_cues,0.4140287180854212,1.296361072562011,0
autoencoder_awaiting_call_03,rms,127,5948564046921,5949178560664,78.442273657,between_cues,0.41889513140183515,1.296361072562011,0
autoencoder_awaiting_call_03,rms,128,5949182993982,5949794479556,79.058192549,between_cues,0.42542804600246104,1.296361072562011,0
autoencoder_awaiting_call_03,rms,129,5949800694226,5950413084431,79.676797424,between_cues,0.4363108290682102,1.296361072562011,0
autoencoder_awaiting_call_03,rms,130,5950417713971,5951031312121,80.295025114,between_cues,0.432745015383483,1.296361072562011,0
autoencoder_awaiting_call_03,rms,131,5951034907975,5951649469533,80.913182526,between_cues,0.4288553421737959,1.296361072562011,0
autoencoder_awaiting_call_03,rms,132,5951653833813,5952265356610,81.529069603,between_cues,0.4392834868273284,1.296361072562011,0
autoencoder_awaiting_call_03,rms,133,5952270141280,5952884164763,82.147877756,between_cues,0.43587606660960393,1.296361072562011,0
autoencoder_awaiting_call_03,rms,134,5952888533063,5953501291360,82.765004353,between_cues,0.42407338500570024,1.296361072562011,0
autoencoder_awaiting_call_03,rms,135,5953505707697,5954118681976,83.382394969,between_cues,0.4222567729731341,1.296361072562011,0
autoencoder_awaiting_call_03,rms,136,5954123259405,5954735654017,83.99936701,between_cues,0.43487466875704567,1.296361072562011,0
autoencoder_awaiting_call_03,rms,137,5954740757484,5955353610782,84.617323775,straddling,0.43283089269359387,1.296361072562011,0
autoencoder_awaiting_call_03,rms,138,5955358846359,5955971097602,85.234810595,post_cue,0.4282046339283194,1.296361072562011,0
autoencoder_awaiting_call_03,rms,139,5955975473475,5956589169551,85.852882544,post_cue,0.42838166187982624,1.296361072562011,0
autoencoder_awaiting_call_03,rms,140,5956593548258,5957207221501,86.470934494,post_cue,0.41617366907013836,1.296361072562011,0
autoencoder_awaiting_call_03,rms,141,5957211761597,5957823952377,87.08766537,post_cue,0.44189223180420695,1.296361072562011,0
autoencoder_awaiting_call_03,rms,142,5957828713917,5958441766123,87.705479116,post_cue,0.42845640434314575,1.296361072562011,0
autoencoder_awaiting_call_03,rms,143,5958446079126,5959058720795,88.322433788,post_cue,0.40883372053274103,1.296361072562011,0
autoencoder_awaiting_call_03,rms,144,5959065089910,5959676839560,88.940552553,post_cue,0.42171382036597854,1.296361072562011,0
autoencoder_awaiting_call_03,rms,145,5959681363674,5960295101455,89.558814448,post_cue,0.4214021960998016,1.296361072562011,0
autoencoder_awaiting_call_03,rms,146,5960300080329,5960911482423,90.175195416,post_cue,0.4232507961122501,1.296361072562011,0
autoencoder_awaiting_call_03,rms,147,5960917918816,5961528928577,90.79264157,post_cue,0.43739262224844555,1.296361072562011,0
