window,window_start_ns,window_complete_ns,decision_ns,elapsed_s,score,threshold,prediction,error,processing_ms,window_to_decision_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
144,6501574739372,6502185704308,6502204459754,88.964040636,0.37162576187501856,0.4833547401595273,0,,18.016851,18.755446,12.977024996407144,175226880,173932544,57.85,2400000.0,0
145,6502191674376,6502804605779,6502830581184,89.590162066,0.3797125267630266,0.4833547401595273,0,,25.130996,25.975405,14.37428761929352,175226880,173932544,57.85,1700000.0,0
146,6502809732327,6503422137598,6503450473989,90.210054871,0.37525935152535034,0.4833547401595273,0,,27.671445,28.336391,12.905509144882192,175226880,173932544,57.3,1700000.0,0
147,6503426746163,6504039165082,6504066281211,90.825862093,0.3692424040250193,0.4833547401595273,0,,26.494128,27.116129,14.61492820990654,175226880,173932544,56.75,1700000.0,0
148,6504047598544,6504656324584,6504686466886,91.446047768,0.37052588334575043,0.4833547401595273,0,,29.330115,30.142302,14.511567765642466,175226880,173932544,56.75,1700000.0,0
149,6504666780272,6505274208142,6505299895768,92.05947665,0.37109611558274,0.4833547401595273,0,,24.906476,25.687626,14.671865249781762,175226880,173932544,56.75,1700000.0,0
150,6505281697305,6505892954053,6505920249886,92.679830768,0.3730143909590373,0.4833547401595273,0,,26.55022,27.295833,14.5077375228801,175226880,173932544,57.3,1700000.0,0
151,6505897286525,6506509421255,6506535710031,93.295290913,0.37729936218516813,0.4833547401595273,0,,25.655127,26.288776,14.623183661674341,175226880,173932544,57.3,1700000.0,0
152,6506515756990,6507127989701,6507154239440,93.913820322,0.3711223848617743,0.4833547401595273,0,,25.549163,26.249739,14.550554447183812,175226880,173932544,56.75,1700000.0,0
153,6507134458011,6507745942775,6507772076162,94.531657044,0.3726391366059403,0.4833547401595273,0,,25.253607,26.133387,12.948577929135995,175226880,173932544,57.85,1700000.0,0
154,6507750504099,6508362423864,6508390270680,95.149851562,0.3777926670092248,0.4833547401595273,0,,26.881925,27.846816,14.558578536371495,175226880,173932544,56.75,1700000.0,0
155,6508368669173,6508981053382,6509007872381,95.767453263,0.37749284087008106,0.4833547401595273,0,,26.139127,26.818999,14.572388157641866,175226880,173932544,57.3,1700000.0,0
156,6508986034022,6509598398064,6509623994431,96.383575313,0.37137564054555794,0.4833547401595273,0,,25.007125,25.596367,12.983663370480544,175226880,173932544,56.75,1700000.0,0
157,6509607129230,6510216405153,6510243660912,97.003241794,0.36973567359204446,0.4833547401595273,0,,26.457739,27.255759,16.13867545503975,175226880,173932544,56.75,1600000.0,0
158,6510220905681,6510835032725,6510860928537,97.620509419,0.3724413317740538,0.4833547401595273,0,,25.071014,25.895812,12.96038476142109,175226880,173932544,57.85,1700000.0,0
159,6510839719679,6511451638384,6511478039012,98.237619894,0.3726967434325434,0.4833547401595273,0,,25.695682,26.400628,14.584121784029529,175226880,173932544,57.3,1700000.0,0
160,6511456419209,6512069775676,6512096864175,98.856445057,0.37561600663737,0.4833547401595273,0,,26.470406,27.088499,12.927718265309535,175226880,173932544,57.85,1700000.0,0
