timestamp,window_index,reconstruction_error,threshold,predicted_label,inference_time_ms,measured_sampling_rate_hz
2026-08-26T14:51:33.709+02:00,1,0.44100358152490077,0.3,1,0.143296,500.1432043889889
2026-08-26T14:51:33.966+02:00,2,0.4537222807969279,0.3,1,0.12787,499.96851379409327
2026-08-26T14:51:34.223+02:00,3,0.43821945597554307,0.3,1,0.131185,499.87766576613916
2026-08-26T14:51:34.479+02:00,4,0.47904012974229104,0.3,1,0.130555,499.9648351510709
2026-08-26T14:51:34.736+02:00,5,0.5728936744454165,0.3,1,0.1285,499.93888739281095
2026-08-26T14:51:34.993+02:00,6,0.5186143773081632,0.3,1,0.121759,499.9312319001107
2026-08-26T14:51:35.250+02:00,7,0.44011997250481966,0.3,1,0.127333,499.93939907921197
2026-08-26T14:51:35.507+02:00,8,0.37515992870222686,0.3,1,0.125314,499.94253416551226
2026-08-26T14:51:35.763+02:00,9,0.6309456510256647,0.3,1,0.128685,499.9354256628644
2026-08-26T14:51:36.020+02:00,10,0.4691165399147447,0.3,1,0.127722,499.9342606138188
2026-08-26T14:51:36.277+02:00,11,0.4365963472959932,0.3,1,0.119388,499.9393282292168
2026-08-26T14:51:36.534+02:00,12,0.5291737172756393,0.3,1,0.129296,499.93328055637915
2026-08-26T14:51:36.791+02:00,13,0.5655356267804096,0.3,1,0.126666,499.93936562221757
2026-08-26T14:51:37.047+02:00,14,0.4543353534042042,0.3,1,0.109759,499.9557676935898
2026-08-26T14:51:37.304+02:00,15,0.4921510011492624,0.3,1,0.125185,499.93412088562076
2026-08-26T14:51:37.561+02:00,16,0.671361431522314,0.3,1,0.140444,499.93127716366837
2026-08-26T14:51:37.818+02:00,17,0.423104585799057,0.3,1,0.127759,499.93051359616464
2026-08-26T14:51:38.074+02:00,18,0.4062907963430942,0.3,1,0.124741,499.9439236133415
2026-08-26T14:51:38.331+02:00,19,0.3776570128447272,0.3,1,0.127148,499.9331034384491
2026-08-26T14:51:38.588+02:00,20,0.45135569629064554,0.3,1,0.12187,499.93878899094284
2026-08-26T14:51:38.845+02:00,21,0.37478935045707207,0.3,1,0.140499,499.95001287087274
2026-08-26T14:51:39.102+02:00,22,0.552852871056654,0.3,1,0.12787,499.9360199990893
2026-08-26T14:51:39.358+02:00,23,0.5333070711759881,0.3,1,0.126073,499.94115850064964
2026-08-26T14:51:39.615+02:00,24,0.4989140166603221,0.3,1,0.162315,499.919294525631
2026-08-26T14:51:39.872+02:00,25,0.5211289624307079,0.3,1,0.153129,499.9509280458207
2026-08-26T14:51:40.129+02:00,26,0.3756514338138757,0.3,1,0.131444,499.97458396782304
2026-08-26T14:51:40.386+02:00,27,0.4953071463128598,0.3,1,0.126019,499.9528981390146
2026-08-26T14:51:40.643+02:00,28,0.4717707653661735,0.3,1,0.121185,499.9305588578024
2026-08-26T14:51:40.900+02:00,29,0.46974294038286385,0.3,1,0.12824,499.93365644107814
2026-08-26T14:51:41.156+02:00,30,0.4456768886554319,0.3,1,0.135203,499.9301219727276
2026-08-26T14:51:41.413+02:00,31,0.47275986462414465,0.3,1,0.128129,499.9365730063808
2026-08-26T14:51:41.670+02:00,32,0.47431347519094186,0.3,1,0.129037,499.93555358393735
2026-08-26T14:51:41.927+02:00,33,0.41676144280852645,0.3,1,0.127888,499.93905073613143
2026-08-26T14:51:42.184+02:00,34,0.4147825690270679,0.3,1,0.12574,499.93420747786035
2026-08-26T14:51:42.440+02:00,35,0.44100549024412433,0.3,1,0.129166,499.94474035999554
2026-08-26T14:51:42.697+02:00,36,0.5578444615798608,0.3,1,0.12561,499.9363584935613
2026-08-26T14:51:42.954+02:00,37,0.5108260728093962,0.3,1,0.126444,499.9318400010943
2026-08-26T14:51:43.211+02:00,38,0.3884821491168489,0.3,1,0.130666,499.94226454098197
2026-08-26T14:51:43.468+02:00,39,0.5467526191987956,0.3,1,0.112296,499.94182763544796
2026-08-26T14:51:43.724+02:00,40,0.49704846860806623,0.3,1,0.125815,499.93450267459065
2026-08-26T14:51:43.981+02:00,41,0.4562584197899297,0.3,1,0.12574,499.9445238730157
2026-08-26T14:51:44.238+02:00,42,0.4234842987530829,0.3,1,0.125444,499.9459861491392
2026-08-26T14:51:44.495+02:00,43,0.598443157991511,0.3,1,0.127851,499.9356362389306
2026-08-26T14:51:44.751+02:00,44,0.5615138485956596,0.3,1,0.127574,499.9245940520462
