window,window_start_ns,window_complete_ns,decision_ns,elapsed_s,score,threshold,prediction,error,processing_ms,window_to_decision_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
32,5772669562357,5773282822470,5773284059564,19.774061771,0.191139331434569,0.47720259914362284,0,,0.499038,1.237094,11.328965169203151,51118080,143179776,56.75,1700000.0,0
33,5773287447362,5773900844290,5773901845550,20.391847757,0.1800300295801224,0.47720259914362284,0,,0.343796,1.00126,11.330792846555378,51118080,143179776,56.75,1700000.0,0
34,5773906016145,5774518669796,5774519594685,21.009596892,0.16095999034070493,0.47720259914362284,0,,0.363611,0.924889,9.712718962999231,51118080,143179776,55.1,1600000.0,0
35,5774523290761,5775135032374,5775136975375,21.626977582,0.1877791578617766,0.47720259914362284,0,,0.71887,1.943001,11.337941165484088,51118080,143179776,57.3,1800000.0,0
36,5775141807434,5775754058306,5775755046307,22.245048514,0.17988508933408673,0.47720259914362284,0,,0.311556,0.988001,14.561730877477837,51118080,143179776,57.85,2400000.0,0
37,5775758645457,5776370355978,5776371195645,22.861197852,0.1793412663803415,0.47720259914362284,0,,0.337334,0.839667,12.983740789252645,51118080,143179776,57.3,2400000.0,0
38,5776376604093,5776987989317,5776988931910,23.478934117,0.15889302344376904,0.47720259914362284,0,,0.428259,0.942593,8.094154009732051,51118080,143179776,56.2,2400000.0,0
39,5776994384487,5777606546175,5777607569213,24.09757142,0.1712137017713972,0.47720259914362284,0,,0.429167,1.023038,8.08225693067902,51118080,143179776,55.65,2400000.0,0
40,5777610999863,5778224216477,5778225504997,24.715507204,0.1610909619001621,0.47720259914362284,0,,0.446889,1.28852,9.709717414301918,51118080,143179776,56.75,2400000.0,0
41,5778228955351,5778840685372,5778841854539,25.331856746,3.7032952849932417,0.47720259914362284,1,,0.525685,1.169167,9.734752240971927,51118080,143179776,55.65,2400000.0,0
42,5778847194728,5779459242305,5779460118601,25.950120808,1.6495582970404021,0.47720259914362284,1,,0.316648,0.876296,9.704674086760601,51118080,143179776,55.65,2400000.0,0
43,5779463713696,5780077147237,5780078446590,26.568448797,0.16475223399462102,0.47720259914362284,0,,0.481778,1.299353,8.08627338225637,51118080,143179776,56.75,2400000.0,0
