model,source_file,window_count,normal_windows,anomaly_windows,reconstruction_error_mean,reconstruction_error_median,reconstruction_error_standard_deviation,reconstruction_error_maximum,anomaly_window_detection_rate,accuracy,precision,recall,sensitivity,f1,specificity,false_positive_rate,false_negative_rate,tn,fp,fn,tp
TensorFlow Autoencoder,normal_20260823_112843.csv,234,234,0,0.15152969446845574,0.146092268697145,0.028953318550197758,0.26444291994437874,,0.9871794871794872,0.0,,,,0.9871794871794872,0.01282051282051282,,231,3,0,0
TensorFlow Autoencoder,anomaly_20260823_113819.csv,234,0,234,5.686633226836506,2.990281262775402,7.224150604123752,43.2655816268707,0.9829059829059829,0.9829059829059829,1.0,0.9829059829059829,0.9829059829059829,0.9913793103448275,,,0.017094017094017096,0,0,4,230
TensorFlow Autoencoder,anomaly_20260823_114124.csv,234,0,234,5.822650171666829,4.161374006568703,6.397981618902476,46.07248993232497,0.9871794871794872,0.9871794871794872,1.0,0.9871794871794872,0.9871794871794872,0.9935483870967742,,,0.01282051282051282,0,0,3,231
