model,previous_accuracy,clean_accuracy,delta_accuracy,previous_precision,clean_precision,delta_precision,previous_recall,clean_recall,delta_recall,previous_f1,clean_f1,delta_f1,previous_specificity,clean_specificity,delta_specificity,previous_false_positive_rate,clean_false_positive_rate,delta_false_positive_rate,previous_false_negative_rate,clean_false_negative_rate,delta_false_negative_rate
TensorFlow Autoencoder,0.7637362637362637,0.9857549857549858,0.22201872201872208,0.1677419354838709,0.9935344827586207,0.8257925472747498,1.0,0.9850427350427351,-0.014957264957264904,0.287292817679558,0.9892703862660944,0.7019775685865364,0.7519230769230769,0.9871794871794872,0.2352564102564103,0.248076923076923,0.01282051282051282,-0.23525641025641017,0.0,0.014957264957264958,0.014957264957264958
Isolation Forest,0.8241758241758241,0.9843304843304843,0.16015466015466018,0.2131147540983606,0.9956616052060737,0.7825468511077132,1.0,0.9807692307692307,-0.019230769230769273,0.3513513513513513,0.9881593110871905,0.6368079597358391,0.8153846153846154,0.9914529914529915,0.1760683760683761,0.1846153846153846,0.008547008547008548,-0.17606837606837605,0.0,0.019230769230769232,0.019230769230769232
