model,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tn,fp,fn,tp,model_size_bytes,model_size_kb,load_time_ms,mean_inference_ms,median_inference_ms,std_inference_ms,p95_inference_ms,p99_inference_ms,max_inference_ms,windows_per_second,realtime_factor,peak_rss_mb,mean_cpu_percent,max_cpu_percent
Keras TensorFlow Autoencoder,0.9857549857549858,0.9935344827586207,0.9850427350427351,0.9892703862660944,0.9871794871794872,0.01282051282051282,0.014957264957264958,231,3,7,461,55472,54.171875,198.324551,30.701544703418804,29.8788425,4.749815656629623,37.66398499999998,48.892660259999964,97.084468,32.57165102473309,8.338342662331673,605.390625,103.16739534851133,274.0
TensorFlow Lite Float32 Autoencoder,0.9857549857549858,0.9935344827586207,0.9850427350427351,0.9892703862660944,0.9871794871794872,0.01282051282051282,0.014957264957264958,231,3,7,461,14084,13.75390625,2.221203,0.03716591054131054,0.030685,0.023302758188506294,0.0682319,0.13963106999999952,0.684537,26906.376984588685,6888.032508054704,599.40625,94.73259862179073,183.9
Isolation Forest,0.9843304843304843,0.9956616052060737,0.9807692307692307,0.9881593110871905,0.9914529914529915,0.008547008547008548,0.019230769230769232,232,2,9,459,3068013,2996.1064453125,77.346902,18.06846186267806,17.577841,2.47951001348664,21.271292399999993,28.554216359999984,51.246327,55.34505413908999,14.168333859607039,165.984375,102.07965484567832,245.8
