model,source_file,window_count,normal_windows,anomaly_windows,anomaly_score_mean,anomaly_score_median,anomaly_score_standard_deviation,anomaly_score_maximum,anomaly_window_detection_rate,accuracy,precision,recall,sensitivity,f1,specificity,false_positive_rate,false_negative_rate,tn,fp,fn,tp
Isolation Forest,normal_20260823_112843.csv,234,234,0,0.44365479594365476,0.4427434749100392,0.013689371815534018,0.48161705222026324,,0.9914529914529915,0.0,,,,0.9914529914529915,0.008547008547008548,,232,2,0,0
Isolation Forest,anomaly_20260823_113819.csv,234,0,234,0.6223085794185785,0.6403486563071357,0.05219860549811048,0.7170948523137751,0.9871794871794872,0.9871794871794872,1.0,0.9871794871794872,0.9871794871794872,0.9935483870967742,,,0.01282051282051282,0,0,3,231
Isolation Forest,anomaly_20260823_114124.csv,234,0,234,0.6108691048976613,0.622316449735767,0.05121230306912077,0.685100879151697,0.9743589743589743,0.9743589743589743,1.0,0.9743589743589743,0.9743589743589743,0.9870129870129869,,,0.02564102564102564,0,0,6,228
