model,model_size_kb,load_time_ms,mean_inference_ms,median_inference_ms,std_inference_ms,min_inference_ms,max_inference_ms,p95_inference_ms,p99_inference_ms,windows_per_second,realtime_factor,rss_before_load_mb,rss_after_load_mb,model_load_ram_delta_mb,peak_rss_mb,mean_cpu_percent,max_cpu_percent
TensorFlow Autoencoder,54.171875,198.324551,30.701544703418804,29.8788425,4.749815656629623,21.080924,97.084468,37.66398499999998,48.892660259999964,32.57165102473309,8.338342662331673,593.625,601.1875,7.5625,605.390625,103.16739534851133,274.0
Isolation Forest,2996.1064453125,77.346902,18.06846186267806,17.577841,2.47951001348664,14.817906,51.246327,21.271292399999993,28.554216359999984,55.34505413908999,14.168333859607039,158.59375,164.5625,5.96875,165.984375,102.07965484567832,245.8
