model,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tn,fp,fn,tp,model_size_kb
TensorFlow Autoencoder,0.7637362637362637,0.16774193548387098,1.0,0.28729281767955805,0.7519230769230769,0.24807692307692308,0.0,391,129,0,26,54.171875
Isolation Forest,0.8241758241758241,0.21311475409836064,1.0,0.3513513513513513,0.8153846153846154,0.18461538461538463,0.0,424,96,0,26,3635.1376953125
