model,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tn,fp,fn,tp,model_size_kb
TensorFlow Autoencoder,0.9857549857549858,0.9935344827586207,0.9850427350427351,0.9892703862660944,0.9871794871794872,0.01282051282051282,0.014957264957264958,231,3,7,461,54.171875
Isolation Forest,0.9843304843304843,0.9956616052060737,0.9807692307692307,0.9881593110871905,0.9914529914529915,0.008547008547008548,0.019230769230769232,232,2,9,459,2996.1064453125
