monotonic_ns,queue_pending_windows,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes
104276712817871,0,0.0,159744000,159449088
104276813112762,0,0.0,159760384,159449088
104276913304430,0,0.0,159776768,159449088
104277013464599,0,9.983864777189686,159793152,159449088
104277113643842,0,0.0,159793152,159449088
104277213808288,0,0.0,159793152,159449088
104277313969197,0,0.0,159793152,159449088
104277414129458,0,0.0,159793152,159449088
104277514309330,0,0.0,159793152,159449088
104277614467610,0,0.0,159793152,159449088
104277714628519,0,0.0,159793152,159449088
104277814785466,0,0.0,159793152,159449088
104277914946245,0,0.0,159793152,159449088
104278015104062,0,0.0,159793152,159449088
104278115279342,0,0.0,159793152,159449088
104278215446029,0,0.0,159793152,159449088
104278315612808,0,0.0,159809536,159449088
104278415779014,0,0.0,159809536,159449088
104278515934923,0,0.0,159809536,159449088
104278616101721,0,0.0,159809536,159449088
104278716261094,0,0.0,159809536,159449088
104278816416966,0,0.0,159809536,159449088
104278916593005,0,9.982434409761309,159809536,159449088
104279016765896,0,0.0,159809536,159449088
104279116950472,0,0.0,159809536,159449088
104279217116659,0,0.0,159809536,159449088
104279317284957,0,0.0,159809536,159449088
104279417447625,0,0.0,159809536,159449088
104279517607535,0,0.0,159809536,159449088
104279617766037,0,0.0,159809536,159449088
104279717925687,0,0.0,159809536,159449088
104279818083559,0,0.0,159809536,159449088
104279918250357,0,0.0,159809536,159449088
104280018485655,0,0.0,159809536,159449088
104280118719305,0,0.0,159809536,159449088
104280218938511,0,0.0,159809536,159449088
104280319156031,0,0.0,159809536,159449088
104280419364552,0,0.0,159809536,159449088
104280519577702,0,9.97878749282506,159809536,159449088
104280619789426,0,0.0,159809536,159449088
104280719997687,0,0.0,159809536,159449088
104280820179763,0,0.0,159809536,159449088
104280920387691,0,0.0,159809536,159449088
104281020590137,0,0.0,159809536,159449088
104281120802010,0,0.0,159809536,159449088
104281221010067,0,0.0,159809536,159449088
104281321223273,0,0.0,159809536,159449088
104281421443219,0,0.0,159809536,159449088
104281521655165,0,0.0,159809536,159449088
104281621869890,0,0.0,159809536,159449088
104281722081299,0,0.0,159809536,159449088
104281822292097,0,0.0,159809536,159449088
104281922502081,0,0.0,159809536,159449088
104282022717175,0,0.0,159809536,159449088
104282122986492,0,9.973345039149546,159809536,159449088
104282223220197,0,0.0,159809536,159449088
104282323440199,0,0.0,159809536,159449088
104282423650738,0,0.0,159809536,159449088
104282523860851,0,0.0,159809536,159449088
104282624084094,0,9.977655439078227,159809536,159449088
104282724315892,0,0.0,159809536,159449088
104282824498302,0,0.0,159809536,159449088
104282924709767,0,0.0,159809536,159449088
104283024918269,0,0.0,159809536,159449088
104283125142104,0,0.0,159809536,159449088
104283225357384,0,0.0,159809536,159449088
104283325573071,0,0.0,159809536,159449088
104283425787276,0,0.0,159809536,159449088
104283525998186,0,0.0,159809536,159449088
104283626211762,0,0.0,159809536,159449088
104283726430708,0,0.0,159809536,159449088
104283826646710,0,9.978481405948914,159809536,159449088
104283926865416,0,0.0,159809536,159449088
104284027083066,0,0.0,159809536,159449088
104284127317272,0,0.0,159809536,159449088
104284227539551,0,0.0,159809536,159449088
104284327768164,0,0.0,159809536,159449088
104284427985833,0,0.0,159809536,159449088
104284528195965,0,0.0,159809536,159449088
104284628408041,0,0.0,159809536,159449088
104284728616691,0,0.0,159809536,159449088
104284828800230,0,0.0,159809536,159449088
104284929014195,0,0.0,159809536,159449088
104285029235641,0,9.97783234968618,159809536,159449088
104285129482773,0,0.0,159809536,159449088
104285229703238,0,0.0,159809536,159449088
104285329929796,0,0.0,159809536,159449088
104285430152724,0,0.0,159809536,159449088
104285530374318,0,0.0,159809536,159449088
104285630594431,0,0.0,159809536,159449088
104285730811193,0,0.0,159809536,159449088
104285831030658,0,0.0,159809536,159449088
104285931295048,0,0.0,159809536,159449088
104286031515976,0,0.0,159809536,159449088
104286131757367,0,0.0,159809536,159449088
104286231981277,0,9.97770880061985,159809536,159449088
104286332217556,0,0.0,159809536,159449088
104286432436688,0,0.0,159809536,159449088
104286532654875,0,0.0,159809536,159449088
104286632869637,0,0.0,159809536,159449088
104286733087046,0,0.0,159809536,159449088
104286833304678,0,0.0,159809536,159449088
104286933526921,0,0.0,159809536,159449088
104287033748626,0,0.0,159809536,159449088
104287134028425,0,0.0,159809536,159449088
104287234247964,0,0.0,159809536,159449088
104287334469114,0,0.0,159809536,159449088
104287434693283,0,9.977627664762359,159809536,159449088
104287534911877,0,0.0,159809536,159449088
104287635119602,0,0.0,159809536,159449088
104287735342733,0,0.0,159809536,159449088
104287835559587,0,0.0,159809536,159449088
104287935784071,0,0.0,159809536,159449088
104288036038332,0,0.0,159809536,159449088
104288136279908,0,0.0,159809536,159449088
104288236523521,0,0.0,159809536,159449088
104288336823357,0,0.0,159809536,159449088
104288437081118,0,0.0,159809536,159449088
104288537314676,0,9.976685782238006,159809536,159449088
104288637566493,0,0.0,159809536,159449088
104288737816847,0,0.0,159809536,159449088
104288838071460,0,0.0,159809536,159449088
104288938316054,0,0.0,159809536,159449088
104289038577260,0,0.0,159809536,159449088
104289138820133,0,0.0,159809536,159449088
104289239036487,0,0.0,159809536,159449088
104289339275007,0,0.0,159809536,159449088
104289439503046,0,0.0,159809536,159449088
104289539763937,0,0.0,159809536,159449088
104289640010365,0,0.0,159809536,159449088
104289740235293,0,0.0,159809536,159449088
104289840448370,0,0.0,159809536,159449088
104289940694261,0,0.0,159809536,159449088
104290040942726,0,9.975226126217423,159809536,159449088
104290141189394,0,0.0,159809536,159449088
104290241438211,0,0.0,159809536,159449088
104290341698417,0,0.0,159809536,159449088
104290441933604,0,0.0,159809536,159449088
104290542191977,0,0.0,159809536,159449088
104290642453683,0,0.0,159809536,159449088
104290742718648,0,0.0,159809536,159449088
