phase,start_s,end_s,xyz_points,vector_ac_rms_mg,hann_psd_rms_mg,largest_psd_bin_hz,band_0_power_g2,band_0_fraction,band_1_power_g2,band_1_fraction,band_2_power_g2,band_2_fraction,band_3_power_g2,band_3_fraction,band_4_power_g2,band_4_fraction
normal_before,0,5,1021,17.74847496332265,15.22911230323985,38.348851055929295,2.1953325514567146e-05,0.09467321838132978,4.199073438448964e-05,0.18108408968551587,6.538455047857625e-05,0.28196939102077456,7.385363468579752e-05,0.31849212458604226,2.870303241960991e-05,0.12378117632633741
normal_before,5,10,1036,34.82951658130408,37.854432173468155,45.19235554815765,2.2353390705307287e-05,0.015600084924812069,7.660789067199721e-05,0.05346345957752749,0.00123956529566025,0.8650734081947795,6.691358314193704e-05,0.04669795260143024,2.7461699845259368e-05,0.019165094701450815
normal_before,10,15,1035,31.819692591710567,29.172041004445166,39.431397668054345,1.7959996117795713e-05,0.02110490856865284,3.895130173829921e-05,0.045771928703384805,0.0007015333932264324,0.8243764656068198,5.4654316445980946e-05,0.06422464369754088,3.788767452098101e-05,0.04452205342360182
normal_before,15,20,1036,27.446012817347444,27.617570560049227,39.39333647339406,2.302562344487498e-05,0.030191220751640834,3.872371350239316e-05,0.050774572313883104,0.0006120168621105209,0.8024771286624154,5.530523509691389e-05,0.07251628020104571,3.358813613192029e-05,0.04404079807101506
normal_before,20,25,1035,26.884277497443442,27.34868195138201,39.431397668054345,2.1851057424451524e-05,0.02921602202155975,3.716913552466863e-05,0.04969710439714866,0.0005979422444513692,0.7994804755747679,5.1604245882928644e-05,0.06899761209883283,3.934682144787972e-05,0.052608785907691066
normal_before,25,30,1036,27.53518438889753,27.55544154311026,39.39333647339406,1.8965994118917234e-05,0.024979817572231687,3.746320910674038e-05,0.049342213399893725,0.0006065214438658479,0.7988400147347721,5.6820769767012307e-05,0.07483775720873084,3.948129041506942e-05,0.05200019708437185
normal_before,30,35,1036,27.794294444915987,27.672579630253527,39.39333647339406,1.5437656327928178e-05,0.02016654260860353,3.967647772820626e-05,0.05183023651185035,0.0006206987609311915,0.8108321459897527,5.232394803026369e-05,0.06835189908287605,3.7371485680364976e-05,0.04881917580691743
normal_before,35,40,1035,28.727103218307107,29.021652851946897,39.431397668054345,2.16236125379603e-05,0.025674062473672522,3.687610368129544e-05,0.04378359018582885,0.0006932450900600088,0.8231010299746278,5.263957769692866e-05,0.062499816069409,3.7851337781290386e-05,0.044941501296461794
normal_before,40,45,1036,28.576532961290436,28.798158642849803,39.39333647339406,1.955460033977984e-05,0.023578851342410372,4.417085849746849e-05,0.053261027486188925,0.0006602039363890115,0.7960710114909931,6.22995227638537e-05,0.07512049136405699,4.3099027455970726e-05,0.05196861831635052
normal_before,45,50,1036,29.32511319032404,28.7190643590705,39.39333647339406,1.9071059808707904e-05,0.023124374651505707,3.597897334367599e-05,0.04362585338837913,0.0006689727112443374,0.8111544802237025,5.762663676942367e-05,0.0698744564764003,4.306739911946234e-05,0.052220835260012144
normal_before,50,55,1035,29.238515428404497,29.40831428425926,39.431397668054345,1.682919469604571e-05,0.019460518760910976,3.4794561497562095e-05,0.0402348555014387,0.000716519896833412,0.828551166394726,5.4284593702327505e-05,0.06277224628108877,4.235829379440146e-05,0.0489812130618356
normal_before,55,60,1036,29.611040359562963,29.61013051303257,39.39333647339406,1.7481158092445955e-05,0.019939863275076995,3.200833529568392e-05,0.0365102715783206,0.0007368708535441538,0.8405109085655469,5.3873935747238116e-05,0.06145124408859483,3.6459697178193795e-05,0.04158771249246068
normal_before,60,65,1035,29.450785223191424,29.20500294050815,39.431397668054345,1.6490205569369293e-05,0.01933589592983317,3.673883144126504e-05,0.04307879718925503,0.0007091609490349263,0.8315398040587021,5.796674949190817e-05,0.06796998562881562,3.2471891034042354e-05,0.03807551719339423
normal_before,65,70,1036,30.02393426903677,30.20032159430123,39.39333647339406,1.452593410731993e-05,0.0159279752832271,4.46609722690593e-05,0.04897164321212213,0.0007599151592942157,0.8332620666707026,5.591262977934295e-05,0.06130930916840811,3.6961487901904446e-05,0.04052900566554009
normal_before,70,75,1035,30.1043444575611,30.01750097452279,39.431397668054345,1.616235089562952e-05,0.017939530196436015,3.858454575869299e-05,0.042827224097765106,0.0007495601757681459,0.8319802913618646,5.5149093354205195e-05,0.06121317572689031,4.1478848610739796e-05,0.04603977861704392
normal_before,75,80,1036,30.803933396237195,30.556507887838684,39.39333647339406,1.7044728724483346e-05,0.018256179834564238,3.3321557406803e-05,0.03568988126590386,0.0007928436598284477,0.8491948841480289,5.3559655070281446e-05,0.05736639817774084,3.687198658256567e-05,0.03949265657376208
normal_before,80,85,1036,30.558370795634733,30.328486685161085,39.39333647339406,1.4368410198594644e-05,0.015621835100348381,3.623352757650841e-05,0.039394350876724216,0.0007855498575336777,0.8540771155526697,4.883067566793926e-05,0.053090408234430286,3.478208333445801e-05,0.03781629023582748
normal_before,85,90,1035,31.10224720129377,31.10211595776143,39.431397668054345,1.840642309069977e-05,0.01902815313922693,3.9367076393933996e-05,0.04069681298621845,0.0008187476706514227,0.8464032355864053,5.5032879054709196e-05,0.05689177333290071,3.5771731510175865e-05,0.03698002495524829
normal_before,90,95,1036,30.14653049688989,31.129054981417358,39.39333647339406,2.0926075093375687e-05,0.021596764492223874,7.010485215753916e-05,0.07235174178878039,0.0007851531184158605,0.8103176019917037,5.2167184089360824e-05,0.05383916400821201,4.059368330759257e-05,0.04189472771908001
normal_before,95,100,1035,25.159537173307513,25.010878044671376,39.431397668054345,1.8301790821872055e-05,0.029258593808435145,3.268441460424553e-05,0.05225171788267042,0.0004878185425680328,0.7798627319116608,4.9965741882178174e-05,0.07987892334124215,3.6747979729538815e-05,0.05874803305599168
normal_before,100,105,1036,25.89270641843527,26.147226711515025,39.39333647339406,1.583172250201454e-05,0.023160066469929606,3.7552077886014155e-05,0.054934554329978534,0.0005312796671901346,0.7772036431714798,5.577317167798376e-05,0.08159000785521177,4.3141817764691466e-05,0.06311172817340015
normal_before,105,110,1036,25.885782039026065,25.75520697628298,39.39333647339406,1.94846621104945e-05,0.029374415509122932,3.48406663423961e-05,0.052524606480347326,0.0005082888809205907,0.7662790713104962,5.7283129659301335e-05,0.08635810273399588,4.342350574940777e-05,0.0654638039660376
