phase,start_s,end_s,xyz_points,vector_ac_rms_mg,hann_psd_rms_mg,largest_psd_bin_hz,band_0_power_g2,band_0_fraction,band_1_power_g2,band_1_fraction,band_2_power_g2,band_2_fraction,band_3_power_g2,band_3_fraction,band_4_power_g2,band_4_fraction
normal_after,0,5,1020,16.564867416491786,14.90174581156267,97.09432795962158,2.119393716350415e-05,0.09548363598232347,4.023282810427015e-05,0.18125828549981263,5.749644699233135e-05,0.2590349198706894,6.751669555205312e-05,0.30417847949095794,3.552416954480013e-05,0.1600446791562166
normal_after,5,10,1036,31.77927800690449,34.01855148435799,44.99755308220618,2.020372974474255e-05,0.017458601117457857,6.769772872989751e-05,0.05849947793727075,0.000983388138311172,0.8497728621064072,6.03882699266114e-05,0.052183172619225664,2.5558592773421547e-05,0.02208588621963839
normal_after,10,15,1036,31.132499071015463,29.976850943938977,39.39785758753163,1.8045878590610544e-05,0.02008236305581208,3.666905204457808e-05,0.040807168926363185,0.0007517422028772395,0.8365766048327326,5.643257252763143e-05,0.06280101043475979,3.570367863574664e-05,0.039732852750332434
normal_after,15,20,1035,28.292658102403102,28.291624954459678,39.435923150418134,1.8562608515261153e-05,0.023195411970564652,3.536236493860138e-05,0.04418800419832969,0.0006504580051298265,0.8127974786589802,5.658701549922817e-05,0.07070984315648368,3.930070336437974e-05,0.049109262015641836
normal_after,20,25,1037,30.458750390614494,30.33960766212954,39.35986543942407,1.8736162500604974e-05,0.020355444776056098,3.3736304588218264e-05,0.036651981694304336,0.0007774387984629641,0.8446293379642333,4.8282840297224214e-05,0.05245570907433949,4.225556777561637e-05,0.045907526491066775
normal_after,25,30,1035,30.795828401309727,30.892895170505355,39.435923150418134,2.5264238851606358e-05,0.02647288706308659,3.8522212098259815e-05,0.040365125436290714,0.0007940689062197832,0.83205738348727,5.392841588083626e-05,0.0565083662915802,4.256014838883677e-05,0.04459623772177268
normal_after,30,35,1036,31.24598785979433,31.51187724953882,39.39785758753163,1.6511079869208654e-05,0.016627646736857186,4.006595696235597e-05,0.04034881932747313,0.0008335311310788106,0.8394157923975769,5.749250507916773e-05,0.057898397442564496,4.538890217444314e-05,0.04570934409552835
normal_after,35,40,1036,31.796972224327376,32.09204102299172,39.39785758753163,1.695900159001272e-05,0.01646742657313809,3.367015871457341e-05,0.03269419272091285,0.0008802245843375219,0.8547103220383782,6.035404672661727e-05,0.05860461935728669,3.864356486422116e-05,0.037523439310284526
normal_after,40,45,1036,31.768649296467917,31.919638159322478,39.39785758753163,1.957634418906357e-05,0.019217197160833265,3.3415263196482517e-05,0.03280222777175523,0.0008788295886593389,0.8627066071649601,4.831807882731521e-05,0.04743163679028143,3.854956019695775e-05,0.03784233111216994
normal_after,45,50,1036,32.439055223469616,32.37175744765964,39.39785758753163,1.4675064745585525e-05,0.014003961340856906,3.805836488933269e-05,0.03631792294250459,0.0009005268567309083,0.8593449846179781,5.3316218860971165e-05,0.050878022053995074,4.1345892471534654e-05,0.039455109044665135
