frequency_hz_observed,frequency_hz_nominal,psd_x_g2_per_hz,psd_y_g2_per_hz,psd_z_g2_per_hz,summed_xyz_psd_g2_per_hz
0.0,0.0,8.931610027791783e-08,1.0546357094207204e-07,1.4694279679913334e-07,3.417224680191232e-07
0.20230952860503376,0.19531250000000003,4.507780290223135e-07,4.3484792158800607e-07,6.319324108541008e-07,1.5175583614644203e-06
0.4046190572100675,0.39062500000000006,5.722315067147513e-07,4.864552087428644e-07,1.1235333452249036e-06,2.1822200606825192e-06
0.6069285858151012,0.5859375,4.811500489414639e-07,4.13078879089301e-07,1.266225758282631e-06,2.160454686313396e-06
0.809238114420135,0.7812500000000001,5.168032553007574e-07,2.879112848232849e-07,8.950842629464829e-07,1.699798803070525e-06
1.0115476430251689,0.9765625000000001,4.960101979300139e-07,4.2753101889467183e-07,9.230245567006038e-07,1.8465657735252897e-06
1.2138571716302025,1.171875,4.2802569025273005e-07,4.6524946081985993e-07,9.625182006210588e-07,1.8557933516936488e-06
1.4161667002352363,1.3671875,3.2702783703619237e-07,4.4023861753668594e-07,1.138773577903215e-06,1.9060400324760933e-06
1.61847622884027,1.5625000000000002,3.5653117687380364e-07,5.11681105767383e-07,1.1217013804293455e-06,1.989913663070532e-06
1.820785757445304,1.7578125000000002,4.3220296697365805e-07,4.3400505415696453e-07,1.0650615154446335e-06,1.931269536575256e-06
2.0230952860503377,1.9531250000000002,4.899191045685943e-07,4.29861790738414e-07,1.000967796598097e-06,1.9207486919051053e-06
2.2254048146553713,2.1484375000000004,5.051716540858553e-07,4.3362268126142007e-07,8.947065461126984e-07,1.8335008814599736e-06
2.427714343260405,2.34375,4.668030983791306e-07,4.000227906683384e-07,8.024097950952649e-07,1.6692356841427338e-06
2.630023871865439,2.5390625000000004,3.9433447773314847e-07,3.141850930951879e-07,8.14511678366526e-07,1.5230312491948623e-06
2.8323334004704726,2.734375,4.569155858945738e-07,3.3985719376350217e-07,1.0445391515541075e-06,1.8413119312121835e-06
3.0346429290755066,2.9296875000000004,4.5783901168783315e-07,3.8780057204307965e-07,9.449670878519487e-07,1.7906066715828616e-06
3.23695245768054,3.1250000000000004,4.221853889117909e-07,3.280160782970741e-07,8.371993313148517e-07,1.5874007985237166e-06
3.439261986285574,3.3203125,5.340055072766022e-07,3.409344110661255e-07,8.237492040507186e-07,1.6986891223934462e-06
3.641571514890608,3.5156250000000004,4.974125051361537e-07,3.542829118504192e-07,7.326874554412539e-07,1.5843828724278268e-06
3.8438810434956414,3.7109375,4.3724617484626873e-07,2.874539122265683e-07,7.994694125309107e-07,1.5241694996037477e-06
4.0461905721006755,3.9062500000000004,5.546231926830026e-07,3.595214853510124e-07,8.942539644696704e-07,1.8083986425036855e-06
4.248500100705709,4.1015625,5.382602315888192e-07,4.254875100239462e-07,9.863551889935312e-07,1.9501029306062965e-06
4.450809629310743,4.296875000000001,4.000490845431155e-07,3.243833122729389e-07,9.780051614782744e-07,1.7024375582943288e-06
4.653119157915777,4.492187500000001,5.687068397257564e-07,4.251870171997943e-07,8.551328489941028e-07,1.8490267059196535e-06
4.85542868652081,4.6875,6.522200881618351e-07,4.69740538744606e-07,7.758006904798374e-07,1.8977613173862784e-06
5.057738215125844,4.882812500000001,5.871027607982322e-07,4.8928922932381e-07,7.061392065219378e-07,1.78253119664398e-06
5.260047743730878,5.078125000000001,5.576585639880487e-07,5.367053151122909e-07,7.381421991055703e-07,1.83250607820591e-06
5.462357272335912,5.273437500000001,4.3361776208523504e-07,5.243226860541339e-07,7.628375522216321e-07,1.7207780003610011e-06
5.664666800940945,5.46875,4.1235902747764525e-07,3.822741635643922e-07,8.65770054349705e-07,1.6604032453917424e-06
5.866976329545979,5.664062500000001,3.7907193835657335e-07,4.6176978906176465e-07,9.147925685969697e-07,1.7556342960153077e-06
6.069285858151013,5.859375000000001,4.87846395410434e-07,5.026636752697875e-07,8.899902834976624e-07,1.880500354177884e-06
6.271595386756046,6.0546875,4.677369291758327e-07,4.840387376838459e-07,9.20830239913949e-07,1.8726059067736275e-06
6.47390491536108,6.250000000000001,5.003213345060785e-07,5.240729729818038e-07,8.702147770186331e-07,1.8946090845065153e-06
6.676214443966114,6.445312500000001,5.450128018068519e-07,4.823282489029317e-07,7.999971869428708e-07,1.8273382376526543e-06
6.878523972571148,6.640625,6.295125171053758e-07,4.4308124160126615e-07,7.801490028666225e-07,1.8527427615732646e-06
7.080833501176182,6.835937500000001,5.885484894811328e-07,4.727166922472902e-07,9.248071776860943e-07,1.9860723594145173e-06
7.283143029781216,7.031250000000001,5.526643654593566e-07,4.912970725793275e-07,9.786148755337876e-07,2.0225763135724717e-06
7.485452558386249,7.2265625,5.241608268849021e-07,5.484646772243697e-07,1.0843729673176725e-06,2.1569984714269443e-06
7.687762086991283,7.421875,5.436972706490887e-07,4.817615698024239e-07,9.886557470065777e-07,2.0141145874580902e-06
7.890071615596317,7.617187500000001,5.351465675397404e-07,4.666689488366321e-07,1.0255766628689025e-06,2.0273921792452753e-06
8.092381144201351,7.812500000000001,5.136871588499269e-07,5.279086518281273e-07,7.735325498159377e-07,1.815128360493992e-06
8.294690672806384,8.007812500000002,5.154526587398251e-07,5.70087099524281e-07,7.376589043869884e-07,1.8231986626510945e-06
8.497000201411417,8.203125,5.823600876338491e-07,5.730896417764722e-07,8.574459358399179e-07,2.012895665250239e-06
8.699309730016452,8.398437500000002,5.483758974724548e-07,4.7428112023523685e-07,9.409041281630146e-07,1.963561145870706e-06
8.901619258621485,8.593750000000002,5.221290063119032e-07,4.436650986727304e-07,1.005327148265248e-06,1.971121253249882e-06
9.103928787226518,8.7890625,4.986662847223628e-07,4.850189795136254e-07,1.0337612389567434e-06,2.0174465031927315e-06
9.306238315831553,8.984375000000002,4.586714720781137e-07,4.6237610002273116e-07,9.492583284673898e-07,1.8703059005682347e-06
9.508547844436587,9.179687500000002,5.012974556455318e-07,5.079376777211402e-07,8.069869549469217e-07,1.8162220883135938e-06
9.71085737304162,9.375,4.888433208323096e-07,4.520251522372997e-07,8.785339169383936e-07,1.819402390008003e-06
9.913166901646655,9.570312500000002,4.760967655389177e-07,3.8721592651227535e-07,9.859704275896016e-07,1.8492831196407947e-06
10.115476430251688,9.765625000000002,1.0773971236730953e-06,4.5957004481864414e-07,1.0109279690036815e-06,2.547895137495421e-06
10.317785958856723,9.960937500000002,1.826781221073552e-06,7.67450076823238e-07,8.936775034624445e-07,3.4879088013592344e-06
10.520095487461756,10.156250000000002,7.485948172057846e-07,4.807757910639515e-07,8.026942012392739e-07,2.03206480950901e-06
10.722405016066789,10.351562500000002,4.719982177024437e-07,5.253266365098885e-07,8.397261783136625e-07,1.8370510325259947e-06
10.924714544671824,10.546875000000002,4.103847307970727e-07,5.979492786447903e-07,8.944518843905893e-07,1.9027858938324523e-06
11.127024073276857,10.742187500000002,4.765905961540623e-07,4.5472986484796705e-07,8.07791097765183e-07,1.7391115587672124e-06
11.32933360188189,10.9375,3.270799969099769e-07,4.744138417394539e-07,9.065370771791755e-07,1.7080309158286062e-06
