frequency_hz_observed,frequency_hz_nominal,psd_x_g2_per_hz,psd_y_g2_per_hz,psd_z_g2_per_hz,summed_xyz_psd_g2_per_hz
0.0,0.0,8.643003217625155e-08,4.034435382603665e-08,1.8061289104064295e-07,3.0738727704293115e-07
0.20231544092397505,0.1953125,3.0789551352135135e-07,2.459325523293542e-07,8.48280689730596e-07,1.4021087555813015e-06
0.4046308818479501,0.390625,5.091070605110479e-07,3.932614501406215e-07,9.212292047547387e-07,1.8235977154064082e-06
0.6069463227719252,0.5859375,5.732476279327642e-07,4.712865822766768e-07,8.624238825558551e-07,1.906958092765296e-06
0.8092617636959002,0.78125,5.292207892308177e-07,4.527101772995428e-07,1.0236969787519513e-06,2.005627945282312e-06
1.0115772046198752,0.9765625,6.07952955339742e-07,4.3317836319993335e-07,9.244799685801635e-07,1.965611287119839e-06
1.2138926455438503,1.171875,4.5991380750498944e-07,5.599292157068168e-07,7.171391692811069e-07,1.7369821924929133e-06
1.4162080864678253,1.3671875,5.375116484237446e-07,3.9205646554497197e-07,6.53482839927837e-07,1.5830509538965535e-06
1.6185235273918004,1.5625,5.946747359089996e-07,4.91846730210171e-07,7.874940712798782e-07,1.8740155373990488e-06
1.8208389683157755,1.7578125000000002,7.151563201435838e-07,5.806476092230707e-07,8.525848598900164e-07,2.148388789256671e-06
2.0231544092397504,1.953125,5.422285519413055e-07,4.379543554331643e-07,8.94753827651906e-07,1.8749367350263758e-06
2.2254698501637256,2.1484375,4.559156254827521e-07,3.965803837100626e-07,8.86697049118501e-07,1.7391930583113158e-06
2.4277852910877007,2.34375,4.055824303397927e-07,5.13589139636492e-07,9.038697754567961e-07,1.8230413454330809e-06
2.630100732011676,2.5390625,4.6210208211596344e-07,5.752131403740316e-07,6.426556178961682e-07,1.6799708403861633e-06
2.8324161729356505,2.734375,4.84546203739432e-07,4.4136842096106764e-07,7.277661929078421e-07,1.6536808176083417e-06
3.0347316138596256,2.9296875,3.5402638034802154e-07,4.4934008849308395e-07,1.0445330940624254e-06,1.847899562903531e-06
3.2370470547836008,3.125,3.8759585791315335e-07,4.900648115016566e-07,1.0467645793218484e-06,1.9244252487366585e-06
3.439362495707576,3.3203125,3.6203504580892886e-07,3.8368140904971e-07,8.929123452661012e-07,1.6386288001247402e-06
3.641677936631551,3.5156250000000004,4.83254151540142e-07,3.939090466193449e-07,8.340608337839986e-07,1.7112240319434855e-06
3.8439933775555257,3.7109374999999996,5.329162558014985e-07,4.3226896039268276e-07,7.114904562379133e-07,1.6766756724320946e-06
4.046308818479501,3.90625,4.559462787789164e-07,3.807874042435194e-07,7.859036906605646e-07,1.6226373736830004e-06
4.248624259403476,4.1015625,4.94463533716458e-07,3.878003918899956e-07,8.19340068790775e-07,1.7016039943972286e-06
4.450939700327451,4.296875,5.322196487454178e-07,5.070491112023132e-07,8.534733966987782e-07,1.892742156646509e-06
4.653255141251426,4.4921875,5.80962432803552e-07,5.260199761190844e-07,7.553620618315859e-07,1.8623444707542224e-06
4.855570582175401,4.6875,5.795994965646072e-07,4.6480977250052247e-07,6.949211317662562e-07,1.7393304008313859e-06
5.0578860230993765,4.8828125,4.627795026266274e-07,3.60286587133875e-07,5.728822546173122e-07,1.3959483443778145e-06
5.260201464023352,5.078125,3.9601330015132526e-07,3.3590690020429204e-07,6.588907555261576e-07,1.3908109558817748e-06
5.462516904947326,5.273437499999999,3.981817280193401e-07,4.562100216315951e-07,8.828135730681377e-07,1.7372053227190728e-06
5.664832345871301,5.46875,4.96863837814193e-07,4.867892534645205e-07,9.109713274796219e-07,1.8946244187583354e-06
5.867147786795276,5.6640625,5.135531118483056e-07,4.075910966419949e-07,9.084592487701201e-07,1.8296034572604207e-06
6.069463227719251,5.859375,4.624851016834798e-07,3.8131524570135973e-07,1.2091883798130566e-06,2.052988727197896e-06
6.271778668643226,6.054687499999999,5.133320421665889e-07,4.995454746983256e-07,9.438119553009276e-07,1.956689472165842e-06
6.4740941095672015,6.25,5.319871004893812e-07,4.957761986212807e-07,7.576162992821764e-07,1.7853795983928384e-06
6.676409550491177,6.4453125,5.658830303303968e-07,4.499727176764391e-07,8.820441230070157e-07,1.8978998710138517e-06
6.878724991415152,6.640625,5.050744035857033e-07,3.8090708330380827e-07,8.232871313971208e-07,1.7092686182866323e-06
7.081040432339127,6.8359375,4.5681913373715505e-07,4.3140149891663327e-07,9.18504448220048e-07,1.8067250808738364e-06
7.283355873263102,7.031250000000001,4.225229330241528e-07,4.7635451360304454e-07,9.760693068795672e-07,1.8749467535067645e-06
7.485671314187077,7.226562500000001,4.310016558161339e-07,4.2444279207652e-07,7.099567282327874e-07,1.5654011761254412e-06
7.6879867551110515,7.421874999999999,3.876137841819147e-07,3.5540170516603716e-07,7.005798592920177e-07,1.4435953486399695e-06
7.890302196035027,7.6171875,4.182491253859343e-07,3.469176569501232e-07,7.703373711960016e-07,1.5355041535320592e-06
8.092617636959002,7.8125,4.988001101652957e-07,3.549580513774134e-07,1.107653489797926e-06,1.961411651340635e-06
8.294933077882977,8.0078125,4.440681722745222e-07,3.677146884700943e-07,1.1274292732483786e-06,1.9392121339929952e-06
8.497248518806952,8.203125,4.591079823474819e-07,4.1408552330743604e-07,9.76753046683227e-07,1.849946552338145e-06
8.699563959730927,8.3984375,5.331230471148762e-07,5.35651053151456e-07,7.975472253388798e-07,1.8663213256052118e-06
