frequency_hz_observed,frequency_hz_nominal,psd_x_g2_per_hz,psd_y_g2_per_hz,psd_z_g2_per_hz,summed_xyz_psd_g2_per_hz
0.0,0.0,6.755243204293889e-08,1.228158397423816e-07,2.2701022760875408e-07,4.173784993940746e-07
0.20232799023427725,0.1953125,4.2652445295064635e-07,4.7416790769383576e-07,7.526961093846157e-07,1.6533884700290977e-06
0.4046559804685545,0.390625,4.745336886324731e-07,5.761312062411503e-07,1.038950667796273e-06,2.089615562669896e-06
0.6069839707028317,0.5859375,5.190045272355065e-07,5.386173085652522e-07,1.119840215658006e-06,2.1774620514587645e-06
0.809311960937109,0.78125,5.179919466229694e-07,4.846055938429046e-07,1.0584709269614458e-06,2.0610684674273198e-06
1.0116399511713863,0.9765625,5.130075427943492e-07,5.405273376141239e-07,1.2465264667110498e-06,2.300061347119523e-06
1.2139679414056634,1.171875,4.2031347699893416e-07,5.398591681314807e-07,1.2207721684537842e-06,2.180944813584199e-06
1.4162959316399408,1.3671875000000002,5.949945991165257e-07,4.1903416083759077e-07,1.2129892269577011e-06,2.2270179869118177e-06
1.618623921874218,1.5625,5.760640386216673e-07,5.159916070438675e-07,1.226804333015059e-06,2.3188599786805938e-06
1.8209519121084952,1.7578125,4.816606917187197e-07,5.356634988303035e-07,1.0168013785638657e-06,2.0341255691128888e-06
2.0232799023427726,1.953125,4.6516722050475996e-07,5.032705546574988e-07,9.39507189527447e-07,1.907944964689706e-06
2.2256078925770497,2.1484375,4.777464309044988e-07,5.435841092394465e-07,1.0766103005268146e-06,2.09794084067076e-06
2.427935882811327,2.34375,5.314496771415582e-07,6.23718579998006e-07,8.64511974631719e-07,2.019680231771283e-06
2.630263873045604,2.5390624999999996,5.357645881475002e-07,5.949154519569906e-07,8.299499782795971e-07,1.960630018384088e-06
2.8325918632798817,2.7343750000000004,5.242184374532854e-07,4.1686404679197157e-07,8.615693967206335e-07,1.8026518809658904e-06
3.034919853514159,2.9296875000000004,5.598352884371328e-07,4.084423728510299e-07,1.095713814903591e-06,2.0639914761917535e-06
3.237247843748436,3.125,5.652904811221256e-07,4.790957733365908e-07,1.0510985287873545e-06,2.0954847832460708e-06
3.439575833982713,3.3203125,6.10959573854794e-07,4.328496668401365e-07,1.3485834742370158e-06,2.392392714931946e-06
3.6419038242169903,3.515625,6.656125981816613e-07,5.091027102775049e-07,1.2827443198872642e-06,2.457459628346431e-06
3.844231814451268,3.7109375,6.529225526344802e-07,5.43723442206505e-07,9.56422635963268e-07,2.1530686308042532e-06
4.046559804685545,3.90625,4.826486187070223e-07,5.045665853990913e-07,1.0135692228962632e-06,2.0007844270023767e-06
4.248887794919822,4.1015625,4.6983395353745703e-07,4.985472779280396e-07,1.0142960032564843e-06,1.982677234721981e-06
4.451215785154099,4.296875,5.531278054786141e-07,5.040918552095448e-07,9.193438962654525e-07,1.976563556953611e-06
4.653543775388377,4.4921875,5.95227231060402e-07,4.2338425858100124e-07,1.1701354621509973e-06,2.1887469517924007e-06
4.855871765622654,4.6875,5.038907049753748e-07,5.55141786303157e-07,9.282940532425302e-07,1.987326544521062e-06
5.058199755856931,4.8828125,4.764253185001936e-07,5.824954339019797e-07,1.0064768205086545e-06,2.065397572910828e-06
5.260527746091208,5.078124999999999,5.448541940432978e-07,5.525758252339099e-07,1.0126789111395177e-06,2.1101089304167253e-06
5.462855736325486,5.2734375,4.393642770009285e-07,4.0792189952124647e-07,9.72503582221149e-07,1.819789758743324e-06
5.665183726559763,5.468750000000001,4.7361796882714744e-07,3.931045740052934e-07,1.0324551095313098e-06,1.8991776523637507e-06
5.8675117167940405,5.6640625,6.152655241204176e-07,4.023409941980511e-07,8.272499544333274e-07,1.844856472751796e-06
6.069839707028318,5.859375000000001,5.849035558865739e-07,5.028117143451691e-07,8.523001686727961e-07,1.9400154389045392e-06
6.272167697262595,6.0546875,5.346756076363954e-07,5.01015728233702e-07,1.142853696036382e-06,2.1785450319064794e-06
