phase,start_s,end_s,xyz_points,vector_ac_rms_mg,hann_psd_rms_mg,largest_psd_bin_hz,band_0_power_g2,band_0_fraction,band_1_power_g2,band_1_fraction,band_2_power_g2,band_2_fraction,band_3_power_g2,band_3_fraction,band_4_power_g2,band_4_fraction
normal_followup,0,5,1020,16.703306499324615,14.697688460228692,72.71296286196261,1.83640734657447e-05,0.08505265113516354,4.170901062174743e-05,0.193174021886895,5.9259887979977495e-05,0.2744603798319376,6.60216210208166e-05,0.30577714201241796,3.0559587371073895e-05,0.1415358051335859
normal_followup,5,10,1036,31.54491561816769,33.14497430837337,45.1936762552027,2.356960497776578e-05,0.021455401401775896,6.952232699989308e-05,0.06328614474342469,0.0009092727140727439,0.8277105654726256,6.734773977803267e-05,0.061306618918863735,2.8827069873142893e-05,0.02624126946330988
normal_followup,10,15,1036,32.03281271879959,30.37674274602589,39.39448770918112,2.015845896260223e-05,0.021847624286016807,4.194391322355694e-05,0.04545857691272996,0.0007607031236044044,0.8244457608858329,5.475702499252097e-05,0.05934535528117573,4.512173534925371e-05,0.0489026826342445
normal_followup,15,20,1036,28.709532908885464,28.795748911700844,39.39448770918112,2.155085742449194e-05,0.02599190525593119,3.752803215079994e-05,0.04526154281901511,0.0006683015131244912,0.8060203484890688,6.049342175543226e-05,0.07295947701307526,4.126344779512018e-05,0.04976672642290987
normal_followup,20,25,1036,31.03187578550239,30.689099664427715,39.39448770918112,1.986283831051531e-05,0.021090912561089255,3.176625309335553e-05,0.03373028848705415,0.0007976904472339851,0.8470098386956909,5.2788592304589554e-05,0.05605239126019967,3.966422020562066e-05,0.04211656899596602
normal_followup,25,30,1036,30.857541274678745,31.068674177234907,39.39448770918112,2.1667942343876686e-05,0.02244901630502598,4.009952182803904e-05,0.04154500713796604,0.0007998823780890052,0.8287160941656061,6.263880945982974e-05,0.0648967785022982,4.0918110547294514e-05,0.04239310388910354
normal_followup,30,35,1035,31.648914773546455,31.3677341372218,39.4325500161465,2.060916769999993e-05,0.02094765935710434,4.240668635226708e-05,0.043103187528085354,0.0008242052627011079,0.8377422773553133,5.8292789059319874e-05,0.0592502087403644,3.8327169157353876e-05,0.03895666701913283
normal_followup,35,40,1036,32.138477436928575,32.09242539338381,39.39448770918112,1.4633656823538806e-05,0.014208905462903095,3.783811699578287e-05,0.03673984116003962,0.0008854509903456929,0.8597502022610218,5.561364580883235e-05,0.05399942374444601,3.635691022204425e-05,0.03530162737158929
normal_followup,40,45,1036,31.521204924839953,30.875682269866545,39.39448770918112,2.1090089872602185e-05,0.022123304831633526,3.6978220168280285e-05,0.0387898032609562,0.0008069353012549151,0.8464674999920164,4.855006698980685e-05,0.050928561144116154,3.974376226884785e-05,0.04169083077127772
normal_followup,45,50,1036,31.41978964106709,31.350934623378347,39.39448770918112,2.125808791885842e-05,0.02162861687524144,4.1854616911752344e-05,0.04258414383737791,0.0008235206823289967,0.8378746665700959,5.751834106280363e-05,0.058520887056979186,3.871685008195684e-05,0.039391685660305306
normal_followup,50,55,1035,32.60956883339773,32.759750918469315,39.4325500161465,2.0232031193682473e-05,0.018853179249262227,4.62220681491319e-05,0.04307194506300021,0.0009016825547201814,0.8402311496722316,6.142617227257558e-05,0.057239860168490794,4.3573482728811396e-05,0.04060386584701536
normal_followup,55,60,1036,33.161361170346666,33.98082352858277,39.39448770918112,2.095797928560236e-05,0.018150757515712723,4.076825384280081e-05,0.03530753989951914,0.0009915854336516273,0.8587672750820856,5.647606137177943e-05,0.04891136122583567,4.487368294684463e-05,0.03886306627684695
normal_followup,60,65,1036,32.94325522063748,33.22488757209739,39.39448770918112,1.6493324030954344e-05,0.014941311166016612,3.732716326798044e-05,0.03381469740634996,0.0009459657336211952,0.8569508700548845,6.212672914658196e-05,0.05628063755758297,4.196099029186374e-05,0.03801248381516588
normal_followup,65,70,1036,32.88129354339612,33.08218961208679,39.39448770918112,2.1613254489110355e-05,0.0197489749720352,3.820542879034409e-05,0.034909969590953355,0.0009421639513536732,0.8608963682083297,5.4651057356936084e-05,0.04993705896912415,3.776510692051251e-05,0.03450762825955762
normal_followup,70,75,1036,32.47138526158587,32.76139148753018,39.39448770918112,1.9231617396806195e-05,0.01791818903611026,3.750548646512349e-05,0.03494403941734833,0.000924076414909031,0.8609663734731348,5.141405618532552e-05,0.04790271971585961,4.107382609763752e-05,0.038268678357547346
normal_followup,75,80,1035,32.84618619270752,32.88580798455629,39.4325500161465,1.5760765109461635e-05,0.014573609043076134,3.226020044159581e-05,0.029830249078761185,0.0009347231158903386,0.8643164947832319,5.4374914773835896e-05,0.05027920561983031,4.434030894909286e-05,0.0410004414751006
normal_followup,80,85,1036,33.73093005612086,33.923944261543625,39.39448770918112,1.8680923415802784e-05,0.01623422092193459,3.933583902620078e-05,0.03418389373411804,0.0009945100758826345,0.864255793014545,5.327803094194658e-05,0.04630003053626129,4.490778307648994e-05,0.03902606179314094
normal_followup,85,90,1036,33.07597522425939,32.96564469956682,39.39448770918112,2.0916337893551773e-05,0.0192542679855153,3.377535182489871e-05,0.031091469197490246,0.0009282750764426014,0.8545117781641227,5.719810884426141e-05,0.05265298933096698,4.6157280128645824e-05,0.042489495321904734
normal_followup,90,95,1036,35.37013980194072,35.640504683247826,39.39448770918112,1.9052949448110793e-05,0.015000203812819243,3.549376498866993e-05,0.027943899728718833,0.0011039075997966831,0.8690958338270428,6.557629997784969e-05,0.05162759013439016,4.614875707349909e-05,0.03633247249702904
normal_followup,95,100,1035,35.96057104000448,36.552480395519794,39.4325500161465,2.56847317144606e-05,0.019224109986564,4.710588730518063e-05,0.035257084583820764,0.0011565389887360448,0.865628380719808,6.801937318510568e-05,0.05091008642272183,3.8719723015439524e-05,0.028980338287085544
normal_followup,100,105,1037,35.40389605480895,35.88856320317022,39.35649881071517,2.2546144911886846e-05,0.017505332951800755,4.0264137699958294e-05,0.031261980228083984,0.0011295641610117647,0.8770189673759893,5.909414003005501e-05,0.045882016671553345,3.64900615183796e-05,0.02833170277257255
normal_followup,105,110,1035,35.478769239513944,35.438669113105924,39.4325500161465,2.1368132171549123e-05,0.01701558114858264,4.190580301989262e-05,0.03336986060161609,0.0011061584008700838,0.8808410525582586,4.814973001100797e-05,0.03834193984327338,3.821589844947411e-05,0.03043156584826937
