window,window_start_ns,window_complete_ns,decision_ns,elapsed_s,score,threshold,prediction,error,processing_ms,window_to_decision_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
1,4986614787963,4987228517923,4987247433254,0.644560937,0.3816301347901885,0.4833547401595273,0,,18.252257,18.915331,9.327402817232702,176209920,175751168,57.3,2400000.0,0
2,4987232271441,4987846099550,4987865243011,1.262370694,0.37849103962399255,0.4833547401595273,0,,18.682628,19.143461,11.330380666349694,176242688,175751168,58.4,2400000.0,0
3,4987852163327,4988462065511,4988482006824,1.879134507,0.37253132003259193,0.4833547401595273,0,,19.465609,19.941313,11.349760029108918,176242688,175751168,56.75,2400000.0,0
4,4988470652214,4989080023065,4989098957878,2.496085561,0.37195237747284715,0.4833547401595273,0,,18.416442,18.934813,11.345934293283674,176242688,175751168,57.85,2400000.0,0
