start_s,center_s,samples,vector_ac_rms_g,has_sensor_flags
0,2.5,1018,0.031285067778054544,False
5,7.5,1036,0.1042654496868596,False
10,12.5,1035,0.0682500971283853,False
15,17.5,1036,0.08378675161166,False
20,22.5,1035,0.08295111315175277,False
25,27.5,1036,0.0811729568205085,False
30,32.5,1036,0.07772811221218594,False
35,37.5,1035,0.07687334376902454,False
40,42.5,1036,0.08175748662214727,False
45,47.5,1035,0.08286025370987302,False
50,52.5,1036,0.08094540287472052,False
55,57.5,1036,0.0782935928717259,False
60,62.5,1036,0.07928176477911618,False
65,67.5,1035,0.07450036226523837,False
70,72.5,1036,0.08008832428452595,False
75,77.5,1036,0.08161574415292251,False
80,82.5,1036,0.08457146789138285,False
85,87.5,1035,0.08203128292271071,False
90,92.5,1036,0.08477134844072953,False
95,97.5,1036,0.08468818268085043,False
100,102.5,1036,0.08001125823306245,False
105,107.5,1036,0.07813241560577901,False
110,112.5,1036,0.07446023463046846,False
115,117.5,1035,0.07401508385015243,False
120,122.5,1036,0.06971944364219375,False
125,127.5,1036,0.0687550192312333,False
130,132.5,1036,0.06902606096821025,False
135,137.5,1035,0.06903145459014562,False
140,142.5,1036,0.06825085359489379,False
145,147.5,1036,0.07305381117622141,False
150,152.5,1036,0.07038119292266397,False
155,157.5,1035,0.06859263439294093,False
160,162.5,1036,0.06473821687825139,False
165,167.5,1036,0.0674577784474953,False
170,172.5,1036,0.0632582069566528,False
175,177.5,1035,0.06466571611173609,False
180,182.5,1036,0.06551193567908975,False
185,187.5,1036,0.07055095513277822,False
190,192.5,1036,0.06870732309234152,False
195,197.5,1035,0.06852404656111495,False
200,202.5,1036,0.06876708114016446,False
205,207.5,1036,0.07278454254659483,False
210,212.5,1036,0.07142908999120436,False
215,217.5,1035,0.07265782172053373,False
220,222.5,1036,0.07218276617162561,False
225,227.5,1036,0.069696656810187,False
230,232.5,1035,0.06907183160018933,False
235,237.5,1036,0.06805046367501433,False
240,242.5,1036,0.07327083041569549,False
245,247.5,1035,0.07784619460211697,False
250,252.5,1036,0.07416262846704035,False
255,257.5,1036,0.07587869845042927,False
260,262.5,1036,0.0754383599045573,False
265,267.5,1036,0.07061111672051396,False
270,272.5,1035,0.06719114882797701,False
275,277.5,1036,0.07041537396635972,False
280,282.5,1036,0.06742254265628206,False
285,287.5,1036,0.06913603704094613,False
290,292.5,1036,0.07011535882621021,False
295,297.5,1036,0.0714625207522803,False
