axis,frequency_hz,mean_amplitude_g,mean_psd_g2_per_hz
x_g,0.0,0.00015351296482087574,5.979589644629173e-08
x_g,0.4039971104045196,0.0005390848862839533,2.754077496589094e-07
x_g,0.8079942208090392,0.0005864423092132306,3.071990438527863e-07
x_g,1.2119913312135586,0.0006347314430853862,4.097691772781251e-07
x_g,1.6159884416180783,0.0006405376892941175,3.980011760589342e-07
x_g,2.019985552022598,0.0005735357405857982,3.4069205176831007e-07
x_g,2.4239826624271172,0.0006607236703941204,4.1782241539092703e-07
x_g,2.827979772831637,0.0006773285463678915,4.3958831000436655e-07
x_g,3.2319768832361566,0.000715412029541275,5.386267931992268e-07
x_g,3.6359739936406763,0.0007336973306935185,5.746369497478757e-07
x_g,4.039971104045196,0.0006572844679108368,4.7393386076536503e-07
x_g,4.443968214449716,0.0006527266989229875,4.852556727403842e-07
x_g,4.8479653248542345,0.0006105958891195407,4.046679695000547e-07
x_g,5.251962435258754,0.0007710656728714557,5.841821285699584e-07
x_g,5.655959545663274,0.0007531203526312933,5.951444253664451e-07
x_g,6.0599566560677935,0.0006878723878020778,5.313074608982478e-07
x_g,6.463953766472313,0.0007932290036442927,6.345231788472511e-07
x_g,6.867950876876833,0.0009852849439587576,9.619882190304602e-07
x_g,7.271947987281353,0.0009054787506409815,8.90571716509851e-07
x_g,7.675945097685872,0.0007184984733836639,5.488579205968352e-07
x_g,8.079942208090392,0.0005767568308274387,3.168492464925452e-07
x_g,8.483939318494912,0.0006539498034952753,4.2619622271331217e-07
x_g,8.887936428899431,0.0007628961975005138,6.047100809733862e-07
x_g,9.291933539303951,0.0007206227122896711,5.73555560431951e-07
x_g,9.695930649708469,0.0007982964846003028,6.557916771128811e-07
x_g,10.099927760112989,0.0008772703313239341,8.834717411771986e-07
x_g,10.503924870517508,0.0007847557841063685,6.99368960612812e-07
x_g,10.907921980922028,0.0006912002245228689,5.172232055567299e-07
x_g,11.311919091326548,0.0008612652347968151,7.4670938547438e-07
x_g,11.715916201731067,0.0007769786028932114,6.317547330402846e-07
x_g,12.119913312135587,0.0005636062093424776,3.194419326141624e-07
x_g,12.523910422540107,0.0007018079597985453,5.231314064282452e-07
x_g,12.927907532944626,0.0008095768158348685,6.969794743255125e-07
x_g,13.331904643349146,0.0005946195650113302,3.5399281291074607e-07
x_g,13.735901753753666,0.0007277900311071145,5.183026459732132e-07
x_g,14.139898864158186,0.0008296582202367486,6.568790983781177e-07
x_g,14.543895974562705,0.0006772929675489317,4.914419367443624e-07
x_g,14.947893084967225,0.000642848176062499,4.7683142996029656e-07
x_g,15.351890195371745,0.0007303165653784775,5.29822327481728e-07
x_g,15.755887305776264,0.0007570434358809626,6.816452810159329e-07
x_g,16.159884416180784,0.0007100924221980949,5.446493161314296e-07
x_g,16.563881526585302,0.000663002070095961,4.866860435797553e-07
x_g,16.967878636989823,0.0008062433524045697,6.17059113428117e-07
x_g,17.37187574739434,0.0006625753340377379,4.421364283941777e-07
x_g,17.775872857798863,0.000683046991363166,5.125074917752211e-07
x_g,18.17986996820338,0.0008596719578289211,7.427902582305356e-07
x_g,18.583867078607902,0.0008704778580361663,7.951132804826879e-07
x_g,18.98786418901242,0.0006102212447077633,4.492209105749922e-07
x_g,19.391861299416938,0.0007150572926745775,5.501228758899778e-07
x_g,19.79585840982146,0.0007623218371137448,5.694793034926337e-07
x_g,20.199855520225977,0.0006947051893861146,4.6400802451998417e-07
x_g,20.6038526306305,0.0006413184777678122,4.25982267605708e-07
x_g,21.007849741035017,0.000654904070072849,4.056162059355912e-07
x_g,21.411846851439538,0.0006807550551587338,5.168128369620159e-07
x_g,21.815843961844056,0.0007283512861348302,5.381640756006306e-07
x_g,22.219841072248578,0.0005541853746691093,4.0482342352347946e-07
x_g,22.623838182653095,0.0006683272315794938,5.18771320935708e-07
x_g,23.027835293057617,0.0007202669706697502,5.572913659583684e-07
x_g,23.431832403462135,0.0007412701181485039,6.291882351763119e-07
x_g,23.835829513866656,0.0007213346046767488,5.435923777732599e-07
x_g,24.239826624271174,0.000708678576582486,5.03574214855024e-07
x_g,24.643823734675696,0.0007359820409811748,5.420481315816837e-07
x_g,25.047820845080214,0.0007031154119645442,5.111257987901434e-07
x_g,25.451817955484735,0.0006481128643135919,4.628052081990328e-07
x_g,25.855815065889253,0.000627317944683165,4.0331910330687243e-07
x_g,26.25981217629377,0.0007994777931622688,6.357734215563162e-07
x_g,26.663809286698292,0.0008833010966149329,7.994629031561492e-07
x_g,27.06780639710281,0.0008067300454767221,6.863295953485004e-07
x_g,27.47180350750733,0.0006521742976407142,4.6371243521582125e-07
x_g,27.87580061791185,0.0007101037047211428,5.175851368513349e-07
x_g,28.27979772831637,0.00067430797115855,4.2750899622962026e-07
x_g,28.68379483872089,0.0005646998386523513,3.4797960877995173e-07
x_g,29.08779194912541,0.0006963841603615687,4.87984758237862e-07
x_g,29.49178905952993,0.0006303650634732774,4.337878616337365e-07
x_g,29.89578616993445,0.000614958502404646,3.971852605647372e-07
x_g,30.299783280338968,0.0007376372698316679,5.226791397293353e-07
x_g,30.70378039074349,0.000762332915945561,6.286136277110341e-07
x_g,31.107777501148007,0.0007843191324971361,5.972768459663053e-07
x_g,31.51177461155253,0.0007755713077728817,5.489497217571726e-07
x_g,31.915771721957046,0.0007317585792080264,5.36142342646076e-07
x_g,32.31976883236157,0.0007792497194414205,6.042934232755065e-07
x_g,32.723765942766086,0.0006533447528432601,4.469577241661594e-07
x_g,33.127763053170604,0.0005380429613431224,3.0009268452098623e-07
x_g,33.53176016357512,0.000509968525356378,2.659912617098538e-07
x_g,33.93575727397965,0.0005451389854195012,3.1219078482769903e-07
x_g,34.339754384384165,0.0005581123339749208,2.9745859812782623e-07
x_g,34.74375149478868,0.0005909503095950661,3.5102765735066493e-07
x_g,35.1477486051932,0.0005785279728969853,3.3790952125574487e-07
x_g,35.551745715597725,0.000635428158628698,4.6054717643259747e-07
x_g,35.95574282600224,0.0006496805287622323,4.3127723185619874e-07
x_g,36.35973993640676,0.0007425843225713484,5.432165020870279e-07
x_g,36.76373704681128,0.000765548184401443,5.66393685590289e-07
x_g,37.167734157215804,0.0005549663878621228,3.3603830507206035e-07
x_g,37.57173126762032,0.0005548855968898214,3.2171879189370886e-07
x_g,37.97572837802484,0.000605796480707305,3.8438803691451044e-07
x_g,38.37972548842936,0.0006421113389195403,4.2272487083382913e-07
x_g,38.783722598833876,0.0006715415363670978,4.654257756072986e-07
x_g,39.1877197092384,0.000613089693554785,4.1666182710811373e-07
x_g,39.59171681964292,0.0006042349460193767,4.221429705043808e-07
x_g,39.99571393004744,0.0006139909376907191,4.151866429721834e-07
x_g,40.399711040451955,0.0005442218545384548,3.190045627422716e-07
x_g,40.80370815085648,0.0006504756657768039,4.4661372497653005e-07
x_g,41.207705261261,0.0006111218339120709,3.844393757594362e-07
x_g,41.611702371665515,0.0005778408034839303,3.463597000340188e-07
x_g,42.01569948207003,0.0005580658680976929,3.5399079016137885e-07
x_g,42.41969659247456,0.0005417621906730575,3.049957184465841e-07
x_g,42.823693702879076,0.0005677678086660004,3.568906084882542e-07
x_g,43.227690813283594,0.0006740405376639357,4.3905151373921506e-07
x_g,43.63168792368811,0.0006499606118661106,4.1807812361238266e-07
x_g,44.03568503409264,0.0006833690157483364,4.820458672509453e-07
x_g,44.439682144497155,0.0007343414407202178,4.853973456398629e-07
x_g,44.84367925490167,0.000791968044560006,6.247356820071981e-07
x_g,45.24767636530619,0.0008364710658392194,6.735554298620596e-07
x_g,45.65167347571071,0.000715736069010678,5.613281525394383e-07
x_g,46.055670586115234,0.0006616678705049066,4.5624380353542196e-07
x_g,46.45966769651975,0.0006012851433729739,4.080134134469606e-07
x_g,46.86366480692427,0.0007179378733170444,5.808983499763348e-07
x_g,47.26766191732879,0.0006462463208454871,4.4399605716620374e-07
x_g,47.67165902773331,0.0006283963595470494,3.7037582536249803e-07
x_g,48.07565613813783,0.0007076903007554572,4.578188036270679e-07
x_g,48.47965324854235,0.0007250683607306417,5.076327190413207e-07
x_g,48.883650358946866,0.0006993447093978652,5.100848416832033e-07
x_g,49.28764746935139,0.0007100916886995095,4.972547030169017e-07
x_g,49.69164457975591,0.0006409270603060286,4.4142818588080964e-07
x_g,50.09564169016043,0.0005125526720430386,2.6907959220065827e-07
x_g,50.499638800564945,0.0005918429033443408,3.6703328733141454e-07
x_g,50.90363591096947,0.000629784777623575,4.2864194133030066e-07
x_g,51.30763302137399,0.000596881707636676,3.5218511193329667e-07
x_g,51.711630131778506,0.0005718157266038124,3.3116081290174724e-07
x_g,52.115627242183024,0.0006977716258858992,4.440263327390245e-07
x_g,52.51962435258754,0.0005953903615881222,3.6690217270745274e-07
x_g,52.92362146299207,0.0005105334918639401,2.66843618973176e-07
x_g,53.327618573396585,0.0006236718926055153,3.7962298955694957e-07
x_g,53.7316156838011,0.0007135133222539682,5.001282737001463e-07
x_g,54.13561279420562,0.0008700259561697726,8.003525705537844e-07
x_g,54.539609904610145,0.0009841194053304243,9.601253373276212e-07
x_g,54.94360701501466,0.0007693718686235074,6.759349195829492e-07
