monotonic_ns,queue_pending_windows,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes
105236742961581,0,0.0,147914752,147193856
105236843254020,0,0.0,147931136,147193856
105236943450978,0,0.0,147947520,147193856
105237043616195,0,0.0,147963904,147193856
105237143808319,0,0.0,147963904,147193856
105237243986054,0,0.0,147963904,147193856
105237344180845,0,0.0,147963904,147193856
105237444389266,0,0.0,147963904,147193856
105237544598038,0,0.0,147963904,147193856
105237644777940,0,0.0,147963904,147193856
105237744944657,0,0.0,147963904,147193856
105237845111485,0,0.0,147963904,147193856
105237945324128,0,0.0,147963904,147193856
105238045547900,0,0.0,147963904,147193856
105238145761950,0,9.978653564193618,147963904,147193856
105238245977926,0,0.0,147963904,147193856
105238346174773,0,0.0,147963904,147193856
105238446400453,0,0.0,147963904,147193856
105238546659484,0,0.0,147963904,147193856
105238646905034,0,0.0,147963904,147193856
105238747087548,0,0.0,147963904,147193856
105238847316746,0,0.0,147963904,147193856
105238947483241,0,0.0,147963904,147193856
105239047653365,0,0.0,147963904,147193856
105239147842193,0,0.0,147963904,147193856
105239248012169,0,0.0,147963904,147193856
105239348246960,0,0.0,147963904,147193856
105239448509084,0,0.0,147963904,147193856
105239548762227,0,9.974815982451124,147963904,147193856
105239649001518,0,0.0,147963904,147193856
105239749234901,0,0.0,147963904,147193856
105239849430451,0,0.0,147963904,147193856
105239949613909,0,0.0,147963904,147193856
105240049886811,0,0.0,147963904,147193856
105240150098046,0,0.0,147963904,147193856
105240250293874,0,0.0,147963904,147193856
105240350518924,0,0.0,147963904,147193856
105240450761567,0,0.0,147963904,147193856
105240550988654,0,0.0,147963904,147193856
105240651228945,0,0.0,147963904,147193856
105240751451718,0,9.977835038561407,147963904,147193856
105240851654972,0,0.0,147963904,147193856
105240951866837,0,0.0,147963904,147193856
105241052086442,0,0.0,147963904,147193856
105241152262807,0,0.0,147963904,147193856
105241252476709,0,0.0,147963904,147193856
105241352717889,0,0.0,147963904,147193856
105241453004402,0,0.0,147963904,147193856
105241553249786,0,0.0,147963904,147193856
105241653460706,0,0.0,147963904,147193856
105241753670034,0,0.0,147963904,147193856
105241853875362,0,0.0,147963904,147193856
105241954079024,0,0.0,147963904,147193856
105242054291055,0,0.0,147963904,147193856
105242154562698,0,0.0,147963904,147193856
105242254823618,0,0.0,147963904,147193856
105242355041817,0,9.978282966583537,147963904,147193856
105242455253219,0,0.0,147963904,147193856
105242555455214,0,0.0,147963904,147193856
105242655661486,0,0.0,147963904,147193856
105242755879684,0,0.0,147963904,147193856
105242856097105,0,0.0,147963904,147193856
105242956376266,0,9.972295965206012,147963904,147193856
105243056643094,0,0.0,147963904,147193856
105243156864144,0,0.0,147963904,147193856
105243257105083,0,0.0,147963904,147193856
105243357337245,0,0.0,147963904,147193856
