phase,start_s,end_s,xyz_points,actual_first_s,actual_last_s,observed_xyz_s,axis_mean_x_g,axis_mean_y_g,axis_mean_z_g,vector_ac_rms_mg,gap_count,overrun_count,saturated_count
normal_before,0,5,1021,0.072937627,4.99808607,207.1003568328387,-0.6265821743388841,-0.7128252693437768,0.08944025465230147,17.74847496332262,0,0,0
normal_before,5,10,1036,5.003670344,9.999387638,207.17745602679815,-0.6262812741312733,-0.7122243243243217,0.0895494208494206,34.82951658130412,0,0,0
normal_before,10,15,1035,10.004984874,14.998328059,207.0756929157474,-0.6266753623188406,-0.7129576811594172,0.0894286956521737,31.819692591710552,0,0,0
normal_before,15,20,1036,15.001960667,19.998659886,207.1367426048784,-0.6265485521235524,-0.7124727799227776,0.08954942084942062,27.44601281734738,0,0,0
normal_before,20,25,1035,20.004251011,24.997359696,207.08541816970282,-0.6265849275362314,-0.7127240579710122,0.09024637681159402,26.884277497443474,0,0,0
normal_before,25,30,1036,25.001060582,29.997974097,207.12785940622788,-0.6266388996139001,-0.7124501930501901,0.08953436293436275,27.535184388897502,0,0,0
normal_before,30,35,1036,30.003564926,34.999884034,207.15250119688713,-0.6264845559845558,-0.7128492277992259,0.09038889961389925,27.794294444915966,0,0,0
normal_before,35,40,1035,35.005469733,39.996817067,207.15849465265845,-0.6265208695652184,-0.7130179710144907,0.08922898550724606,28.72710321830709,0,0,0
normal_before,40,45,1036,40.000581897,44.999193078,207.0575130816521,-0.6266050193050193,-0.7123071428571403,0.08991833976833952,28.576532961290354,0,0,0
normal_before,45,50,1036,45.002884982,49.999065275,207.15825676869744,-0.6268346525096525,-0.7126835907335893,0.09003503861003827,29.325113190324057,0,0,0
normal_before,50,55,1035,50.004635956,54.995935142,207.1604929835196,-0.6268901449275361,-0.7125808695652154,0.09012579710144901,29.238515428404465,0,0,0
normal_before,55,60,1036,55.001521063,59.998369207,207.1305691454289,-0.6265824324324327,-0.7128906370656355,0.09007644787644752,29.611040359562978,0,0,0
normal_before,60,65,1035,60.00401487,64.996575258,207.10816087178392,-0.6265736231884053,-0.7122078260869549,0.08969999999999975,29.45078522319141,0,0,0
normal_before,65,70,1036,65.000293459,69.99816225,207.08826967682594,-0.6267217181467182,-0.7123447876447863,0.08946660231660195,30.023934269036804,0,0,0
normal_before,70,75,1035,70.003796931,74.995583153,207.14028085636235,-0.626528405797101,-0.7124904347826065,0.08929681159420254,30.104344457561123,0,0,0
normal_before,75,80,1036,75.001185723,79.997755959,207.1420896964251,-0.6264732625482617,-0.7125706563706549,0.09000115830115804,30.80393339623723,0,0,0
normal_before,80,85,1036,80.001498919,84.999060211,207.10101177884664,-0.6265447876447883,-0.712484073359071,0.08976023166023135,30.55837079563473,0,0,0
normal_before,85,90,1035,85.004646725,89.996323373,207.14482786345738,-0.6264342028985502,-0.7127542028985494,0.09020492753623151,31.102247201293736,0,0,0
normal_before,90,95,1036,90.00192072,94.999157512,207.11446006659435,-0.6266351351351348,-0.7128341698841684,0.09062982625482598,30.146530496889852,0,0,0
normal_before,95,100,1035,95.002841601,99.99485049,207.1310414287205,-0.6271652173913043,-0.7127278260869534,0.08936086956521705,25.159537173307587,0,0,0
normal_before,100,105,1036,100.000483745,104.996612815,207.16038066646664,-0.626785714285716,-0.7123749034749013,0.08901862934362907,25.892706418435232,0,0,0
normal_before,105,110,1036,105.002208829,109.997586548,207.19153950328135,-0.6268986486486489,-0.7124238416988392,0.08957953667953648,25.885782039026004,0,0,0
normal_before,110,115,1036,110.003173562,114.999903668,207.13546220100767,-0.627414382239382,-0.7125518339768321,0.09024208494208465,27.125233791078333,0,0,0
normal_before,115,120,1035,115.005566608,119.996685997,207.1679556050788,-0.6267884057971017,-0.7128898550724617,0.08954550724637653,27.216875820464598,0,0,0
normal_before,120,125,1036,120.002285641,124.997880007,207.18255410091075,-0.6270529922779915,-0.7126007722007703,0.09012162162162134,27.587204587132234,0,0,0
normal_before,125,130,1036,125.001597504,129.99776687,207.15870983946144,-0.6272449806949791,-0.7129508687258657,0.08982422779922748,27.492252594189182,0,0,0
normal_before,130,135,1036,130.00330057,134.9981529,207.21333317175365,-0.6273692084942082,-0.7124388996138987,0.08975270270270239,27.496736776008692,0,0,0
normal_before,135,140,1036,135.00374808,139.999493076,207.17630720317095,-0.6272336872586869,-0.7124916023166002,0.09031737451737425,27.93061761060017,0,0,0
normal_before,140,145,1035,140.003178647,144.994550369,207.15748246970574,-0.6272292753623189,-0.7129049275362294,0.09046115942028948,27.497100531113215,0,0,0
normal_before,145,150,1036,145.000150457,149.995221009,207.20428054526505,-0.6273466216216207,-0.7122657335907306,0.08961341698841674,27.403465440851825,0,0,0
normal_before,150,155,1036,150.000807356,154.995261742,207.22984334409335,-0.6271885135135132,-0.7127626447876417,0.09059594594594561,27.985928631852264,0,0,0
normal_before,155,160,1036,155.000889608,159.996004678,207.2024338770638,-0.6270228764478771,-0.712822876447875,0.0902345559845558,27.83146185295888,0,0,0
normal_before,160,165,1036,160.001594896,164.997159355,207.18379444295746,-0.6268610038610032,-0.7124916023166004,0.09085945945945913,27.413891491574308,0,0,0
normal_before,165,170,1036,165.002755776,169.997610995,207.21321332056812,-0.6270115830115832,-0.7126045366795346,0.09006515444015407,27.58978396620546,0,0,0
normal_before,170,175,1036,170.003144657,174.999353282,207.15708203638113,-0.6266727799227798,-0.7128981660231644,0.0901856177606175,28.313608039359202,0,0,0
normal_before,175,180,1035,175.003041779,179.994653296,207.14753070796715,-0.627459130434783,-0.7128182608695632,0.09020492753623142,27.685003020200714,0,0,0
normal_before,180,185,1037,180.000250514,184.999961413,207.21198103818602,-0.6271290260366433,-0.7126168756026979,0.09013249758919925,27.78717897094711,0,0,0
normal_before,185,190,1035,185.003647262,189.994754909,207.16844298509676,-0.6272933333333345,-0.712614782608693,0.08980550724637652,27.55612290578671,0,0,0
normal_before,190,195,1036,190.000363016,194.995495197,207.2017240978793,-0.6269777027027025,-0.7125932432432406,0.09020444015443993,27.824224661297205,0,0,0
normal_before,195,200,1036,195.001028933,199.995309096,207.2370724549599,-0.6276101351351354,-0.7126045366795352,0.08993716216216192,27.633992474357044,0,0,0
normal_before,200,205,1037,200.00089737,204.99916253,207.27191672240133,-0.627046287367406,-0.7123912246865942,0.0898466730954675,27.91181991223622,0,0,0
normal_before,205,210,1035,205.00475721,209.994474118,207.22618518541412,-0.6269504347826087,-0.7126939130434762,0.08985449275362313,27.972964960154744,0,0,0
normal_before,210,215,1037,210.000076965,214.999081735,207.24125054195537,-0.6270199614271937,-0.7127936354869798,0.08987675988428132,28.11575200498926,0,0,0
normal_before,215,220,1036,215.004679472,219.999836504,207.20069326541244,-0.6269777027027026,-0.712427606177604,0.08995222007722005,28.418646848442666,0,0,0
normal_before,220,225,1036,220.003520279,224.998948107,207.18946117061188,-0.6271734555984549,-0.7125593629343604,0.09000115830115811,27.41089385885546,0,0,0
normal_before,225,230,1036,225.004521529,229.998952358,207.2308207754738,-0.6267932432432434,-0.7127513513513497,0.0905695945945944,27.65445416169366,0,0,0
normal_before,230,235,1036,230.002636374,234.998974979,207.15169283447713,-0.6269889961389958,-0.7126233590733569,0.09004256756756726,27.729939391304892,0,0,0
normal_before,235,240,1036,235.002685902,239.998102194,207.18993963676652,-0.6268722972972972,-0.7125631274131256,0.09076158301158273,27.779858495576274,0,0,0
normal_before,240,245,1036,240.003636171,244.997981407,207.2343722936017,-0.6268835907335908,-0.7127852316602293,0.09073146718146692,27.64287977710329,0,0,0
normal_before,245,250,1036,245.003563495,249.999130213,207.18370075424943,-0.6271960424710418,-0.7127927606177566,0.09002374517374481,27.567325543006557,0,0,0
normal_before,250,255,1036,250.002918858,254.998624038,207.17795840786584,-0.6275386100386089,-0.712408783783781,0.08955318532818507,27.95051586324767,0,0,0
normal_before,255,260,1036,255.004219607,259.998409492,207.2408185977494,-0.627346621621622,-0.7127325289575268,0.09015926640926623,27.40386906201084,0,0,0
