timestamp,window_start_timestamp,window_index,reconstruction_error,threshold,predicted_label,anomaly_counter,consecutive_anomalies_required,confirmed_anomaly,startup_grace_active,inference_time_ms,window_formation_time_ms,total_window_pipeline_time_ms,measured_sampling_rate_hz,fan_action,dry_run
2026-08-23T16:20:35.263+02:00,2026-08-23T16:20:35.006+02:00,29,0.009719458958329005,0.08138438331902553,0,0,3,0,0,0.15076,256.085417,256.882806,499.9824120351192,none,1
2026-08-23T16:20:35.520+02:00,2026-08-23T16:20:35.264+02:00,30,0.011506281256174885,0.08138438331902553,0,0,3,0,0,0.162093,256.08188,256.935381,499.95463797420706,none,1
2026-08-23T16:20:35.778+02:00,2026-08-23T16:20:35.521+02:00,31,0.008361252013128187,0.08138438331902553,0,0,3,0,0,0.157037,256.087251,256.910436,499.8876571396942,none,1
2026-08-23T16:20:36.035+02:00,2026-08-23T16:20:35.778+02:00,32,0.007670137195169365,0.08138438331902553,0,0,3,0,0,0.158778,256.082084,256.886511,499.92245690642227,none,1
2026-08-23T16:20:36.292+02:00,2026-08-23T16:20:36.035+02:00,33,0.009169900707727644,0.08138438331902553,0,0,3,0,0,0.152444,256.079732,256.864788,499.96874211127164,none,1
2026-08-23T16:20:36.549+02:00,2026-08-23T16:20:36.292+02:00,34,0.007191390007531315,0.08138438331902553,0,0,3,0,0,0.152852,256.080676,256.865973,499.95328782375583,none,1
2026-08-23T16:20:36.806+02:00,2026-08-23T16:20:36.549+02:00,35,0.01233352732661445,0.08138438331902553,0,0,3,0,0,0.154259,256.081399,256.855455,499.9652445418849,none,1
2026-08-23T16:20:37.063+02:00,2026-08-23T16:20:36.806+02:00,36,0.008575979954232649,0.08138438331902553,0,0,3,0,0,0.156944,256.079732,256.885084,499.94957201383374,none,1
2026-08-23T16:20:37.320+02:00,2026-08-23T16:20:37.063+02:00,37,0.008610713069756729,0.08138438331902553,0,0,3,0,0,0.158334,256.081287,256.86701,499.96663017951045,none,1
2026-08-23T16:20:37.577+02:00,2026-08-23T16:20:37.320+02:00,38,0.009566318202212551,0.08138438331902553,0,0,3,0,0,0.185889,256.08225,256.926306,499.9696553820704,none,1
2026-08-23T16:20:37.834+02:00,2026-08-23T16:20:37.577+02:00,39,0.010640967023113441,0.08138438331902553,0,0,3,0,0,0.155074,256.085399,256.906899,499.9706749471735,none,1
2026-08-23T16:20:38.091+02:00,2026-08-23T16:20:37.834+02:00,40,0.01066794057885113,0.08138438331902553,0,0,3,0,0,0.161482,256.083214,256.906381,499.97391868368373,none,1
2026-08-23T16:20:38.348+02:00,2026-08-23T16:20:38.091+02:00,41,0.01001048176926552,0.08138438331902553,0,0,3,0,0,0.166741,256.09051,256.945232,499.9682343048501,none,1
2026-08-23T16:20:38.605+02:00,2026-08-23T16:20:38.349+02:00,42,0.011939335648367392,0.08138438331902553,0,0,3,0,0,0.155907,256.082639,256.906566,499.96848820793196,none,1
2026-08-23T16:20:38.863+02:00,2026-08-23T16:20:38.606+02:00,43,0.008499461735440361,0.08138438331902553,0,0,3,0,0,0.158815,256.084158,256.872436,499.96728364027007,none,1
2026-08-23T16:20:39.120+02:00,2026-08-23T16:20:38.863+02:00,44,0.008537998770432431,0.08138438331902553,0,0,3,0,0,0.160796,256.081362,256.908584,499.9505186802421,none,1
2026-08-23T16:20:39.377+02:00,2026-08-23T16:20:39.120+02:00,45,0.009150453654925396,0.08138438331902553,0,0,3,0,0,0.157111,256.080992,256.883974,499.98040627581435,none,1
2026-08-23T16:20:39.634+02:00,2026-08-23T16:20:39.377+02:00,46,0.010974213659318869,0.08138438331902553,0,0,3,0,0,0.153648,256.086917,256.891251,499.95019197156034,none,1
