epoch,loss,val_loss
1,1.0123460292816162,0.9478694796562195
2,0.9131166934967041,0.79908287525177
3,0.7044657468795776,0.5990599393844604
4,0.5095133781433105,0.3915380537509918
5,0.30077970027923584,0.23408272862434387
6,0.20084239542484283,0.17971301078796387
7,0.17537161707878113,0.1669888198375702
8,0.16456429660320282,0.15782266855239868
9,0.15594713389873505,0.149936705827713
10,0.1485334038734436,0.14298318326473236
11,0.14183545112609863,0.1366395503282547
12,0.13574336469173431,0.13088996708393097
13,0.130280539393425,0.1258186548948288
14,0.12549303472042084,0.12137267738580704
15,0.12133866548538208,0.11753813922405243
16,0.1177765503525734,0.11423775553703308
17,0.1147197037935257,0.11139234900474548
18,0.11206904798746109,0.10891620069742203
19,0.109745554625988,0.10673070698976517
20,0.10770328342914581,0.10480707883834839
21,0.10589845478534698,0.10309681296348572
22,0.10427802056074142,0.10157394409179688
23,0.10281185060739517,0.10021277517080307
24,0.10149358212947845,0.09898989647626877
25,0.10029572993516922,0.09785903990268707
26,0.09920119494199753,0.09681285917758942
27,0.09818033128976822,0.09583262354135513
28,0.09722384065389633,0.0949191302061081
29,0.09631863981485367,0.09404253214597702
30,0.0954459011554718,0.09318814426660538
31,0.09459703415632248,0.09234712272882462
32,0.09374907612800598,0.09151320159435272
33,0.09287671744823456,0.09067367762327194
34,0.09195251762866974,0.08971096575260162
35,0.09088193625211716,0.08853728324174881
36,0.08959732204675674,0.08725317567586899
37,0.08831317722797394,0.08611420542001724
38,0.08719613403081894,0.08511858433485031
39,0.08617208898067474,0.08415345847606659
40,0.08519591391086578,0.08323301374912262
41,0.08427649736404419,0.08238313347101212
42,0.08342115581035614,0.08160776644945145
43,0.08263757824897766,0.08090771734714508
44,0.081912562251091,0.08027338981628418
45,0.08122427016496658,0.07964497059583664
46,0.08055805414915085,0.07905223965644836
47,0.07992683351039886,0.07849329710006714
48,0.07932645082473755,0.07795601338148117
49,0.07875005900859833,0.07742524147033691
50,0.07819391787052155,0.07692395150661469
51,0.07765674591064453,0.07643945515155792
52,0.07714292407035828,0.07597053050994873
53,0.0766502246260643,0.07551170885562897
54,0.07617318630218506,0.07506486773490906
55,0.07571124285459518,0.07462974637746811
56,0.07526657730340958,0.07420376688241959
57,0.07483424991369247,0.07378251850605011
58,0.07440564036369324,0.07336749136447906
59,0.07397913932800293,0.0729508176445961
60,0.07355193048715591,0.07253966480493546
61,0.07312892377376556,0.07212641090154648
62,0.0727052316069603,0.0717121958732605
63,0.07227720320224762,0.07129652798175812
64,0.07185220718383789,0.07088000327348709
65,0.07142618298530579,0.07045315951108932
66,0.07098771631717682,0.07000704109668732
67,0.07054328918457031,0.06954358518123627
68,0.07008913159370422,0.06906384229660034
69,0.06961694359779358,0.06856802850961685
70,0.06912420690059662,0.06804521381855011
71,0.06859615445137024,0.06749569624662399
72,0.06803581863641739,0.06692000478506088
73,0.06744066625833511,0.06631462275981903
74,0.06682196259498596,0.06571213901042938
75,0.0661909282207489,0.06509701162576675
76,0.06556433439254761,0.06450368463993073
77,0.06494273990392685,0.06391208618879318
78,0.06433775275945663,0.06334594637155533
79,0.0637567862868309,0.06277283281087875
80,0.06319334357976913,0.06220939755439758
81,0.06265746057033539,0.061661653220653534
82,0.062155064195394516,0.061149414628744125
83,0.06168550252914429,0.0606834851205349
84,0.06125306710600853,0.06026903912425041
85,0.06084701418876648,0.05988895893096924
86,0.06046862527728081,0.05953554809093475
87,0.06011451408267021,0.059218164533376694
88,0.05979363992810249,0.05891982093453407
89,0.059490595012903214,0.058635953813791275
90,0.059203144162893295,0.05836488679051399
91,0.058933574706315994,0.05811132490634918
92,0.05867457017302513,0.05785923823714256
93,0.058422576636075974,0.057623811066150665
94,0.058181557804346085,0.05739419162273407
95,0.05794784799218178,0.057179044932127
96,0.057718902826309204,0.05697160214185715
97,0.057496074587106705,0.056760046631097794
98,0.05727608874440193,0.05655478313565254
99,0.057059574872255325,0.05635153129696846
100,0.056845229119062424,0.05614804849028587
