iteration,source_window,processing_latency_ms
354,354,0.03437
355,355,0.034019
356,356,0.033796
357,357,0.03387
358,358,0.034037
359,359,0.034111
360,360,0.034203
361,361,0.033833
362,362,0.033852
363,363,0.034037
364,364,0.033926
365,365,0.034167
366,366,0.033926
367,367,0.033889
368,368,0.033685
369,369,0.033907
370,370,0.033815
371,371,0.033852
372,372,0.033963
373,373,0.033926
374,374,0.033759
375,375,0.033778
376,376,0.033778
377,377,0.03413
378,378,0.033815
379,379,0.033796
380,380,0.033834
381,381,0.033908
382,382,0.033852
383,383,0.037074
384,384,0.034278
385,385,0.034296
386,386,0.033889
387,387,0.033778
388,388,0.033963
389,389,0.034186
390,390,0.034111
391,391,0.056778
392,392,0.036722
393,393,0.034667
394,394,0.033945
395,395,0.03387
396,396,0.033926
397,397,0.034611
398,398,0.034092
399,399,0.034056
400,400,0.034407
401,401,0.034148
402,402,0.033944
403,403,0.033982
404,404,0.033963
405,405,0.034111
406,406,0.034018
407,407,0.034371
408,408,0.034
409,409,0.033926
410,410,0.034277
411,411,0.033982
412,412,0.033723
413,413,0.034037
414,414,0.033908
415,415,0.033907
416,416,0.033759
417,417,0.033926
418,418,0.034093
419,419,0.033963
420,420,0.033741
421,421,0.03376
422,422,0.034223
423,423,0.034093
424,424,0.033685
425,425,0.033889
426,426,0.037019
427,427,0.034648
428,428,0.035
429,429,0.034555
430,430,0.034333
431,431,0.034204
432,432,0.034278
433,433,0.034093
434,434,0.034149
435,435,0.034444
436,436,0.034185
437,437,0.034093
438,438,0.033907
439,439,0.034129
440,440,0.034129
441,441,0.034481
442,442,0.033926
443,443,0.034241
444,444,0.03426
445,445,0.034093
446,446,0.033982
447,447,0.033945
448,448,0.033889
449,449,0.034203
450,450,0.033889
451,451,0.034074
452,452,0.03387
453,453,0.033833
454,454,0.033703
455,455,0.033703
456,456,0.033944
457,457,0.034315
458,458,0.034129
459,459,0.033871
460,460,0.03387
461,461,0.034
462,462,0.033851
463,463,0.033982
464,464,0.03374
465,465,0.03387
466,466,0.033722
467,467,0.033926
468,0,0.034629
469,1,0.033926
470,2,0.034
471,3,0.033944
472,4,0.033926
473,5,0.033963
474,6,0.033796
475,7,0.033833
476,8,0.034092
477,9,0.034075
478,10,0.033833
479,11,0.034
480,12,0.034018
481,13,0.033852
482,14,0.035648
483,15,0.034204
484,16,0.033833
485,17,0.033944
486,18,0.034204
487,19,0.033815
488,20,0.03387
489,21,0.03376
490,22,0.034204
491,23,0.03363
492,24,0.034388
493,25,0.033852
494,26,0.042
495,27,0.035204
496,28,0.034481
497,29,0.034426
498,30,0.033981
499,31,0.034018
500,32,0.034297
501,33,0.034204
502,34,0.034092
503,35,0.033944
504,36,0.034
505,37,0.034149
506,38,0.033852
507,39,0.033833
508,40,0.03387
509,41,0.034093
510,42,0.034018
511,43,0.033963
512,44,0.033945
513,45,0.033778
514,46,0.034055
515,47,0.034093
516,48,0.033926
517,49,0.033982
518,50,0.034555
519,51,0.033944
520,52,0.033871
521,53,0.034167
522,54,0.033796
523,55,0.033796
524,56,0.03387
525,57,0.033944
526,58,0.033778
527,59,0.033833
528,60,0.033815
529,61,0.033981
530,62,0.034018
531,63,0.033833
532,64,0.033815
533,65,0.033815
534,66,0.033889
535,67,0.034018
536,68,0.03437
537,69,0.034149
538,70,0.033797
539,71,0.034055
540,72,0.033852
541,73,0.034185
542,74,0.033889
543,75,0.033852
544,76,0.033778
545,77,0.034352
546,78,0.034037
547,79,0.034185
548,80,0.034574
549,81,0.034333
550,82,0.034241
551,83,0.034203
552,84,0.034186
553,85,0.033982
554,86,0.033908
555,87,0.034444
556,88,0.034408
557,89,0.034407
558,90,0.034296
559,91,0.03424
560,92,0.034371
561,93,0.034185
562,94,0.034148
563,95,0.034093
564,96,0.033926
565,97,0.034148
566,98,0.034167
567,99,0.034204
568,100,0.034334
569,101,0.034611
570,102,0.034259
571,103,0.035
572,104,0.034241
573,105,0.034204
574,106,0.034074
575,107,0.034055
576,108,0.034333
577,109,0.034352
578,110,0.034278
579,111,0.033963
580,112,0.034
581,113,0.034056
582,114,0.033908
583,115,0.034019
584,116,0.034037
585,117,0.328704
586,118,0.0535
587,119,0.037537
588,120,0.035611
589,121,0.044982
590,122,0.036092
591,123,0.034592
592,124,0.034389
593,125,0.034278
594,126,0.034259
595,127,0.034112
596,128,0.034074
597,129,0.033815
598,130,0.034093
599,131,0.034389
600,132,0.034111
601,133,0.034018
602,134,0.034278
603,135,0.034056
604,136,0.03426
605,137,0.033944
606,138,0.033945
607,139,0.034111
608,140,0.033888
609,141,0.033963
610,142,0.033852
611,143,0.033889
612,144,0.033834
613,145,0.034222
614,146,0.03424
615,147,0.033871
616,148,0.033981
617,149,0.034222
618,150,0.033833
619,151,0.033981
620,152,0.03413
621,153,0.034297
622,154,0.033963
623,155,0.034112
624,156,0.034019
625,157,0.033963
626,158,0.033741
627,159,0.03413
628,160,0.033963
629,161,0.033963
630,162,0.033778
631,163,0.03387
632,164,0.033944
633,165,0.034203
634,166,0.034
635,167,0.033944
636,168,0.033704
637,169,0.033834
638,170,0.033611
639,171,0.034185
