iteration,source_window,processing_latency_ms
353,353,13.042966
354,354,13.178633
355,355,12.869706
356,356,12.99767
357,357,13.319595
358,358,13.06528
359,359,13.10154
360,360,13.193966
361,361,13.076132
362,362,13.055744
363,363,13.005818
364,364,13.072466
365,365,13.010447
366,366,13.051596
367,367,12.989392
368,368,13.02854
369,369,12.950799
370,370,13.000558
371,371,13.126873
372,372,13.952207
373,373,13.11717
374,374,13.210966
375,375,13.24241
376,376,13.104818
377,377,13.154836
378,378,13.094114
379,379,13.311744
380,380,12.999854
381,381,13.14667
382,382,13.228188
383,383,13.24517
384,384,13.202522
385,385,13.345762
386,386,13.202299
387,387,13.302651
388,388,13.017151
389,389,13.067448
390,390,13.390447
391,391,13.43817
392,392,13.375354
393,393,13.272781
394,394,13.239911
395,395,13.367781
396,396,13.236743
397,397,13.362651
398,398,13.184447
399,399,13.341595
400,400,13.484336
401,401,13.223076
402,402,13.255447
403,403,13.07541
404,404,13.215318
405,405,13.272355
406,406,13.310577
407,407,13.264966
408,408,13.042354
409,409,13.057892
410,410,13.309836
411,411,13.158151
412,412,13.177799
413,413,13.109873
414,414,13.261114
415,415,13.216688
416,416,13.143836
417,417,13.081169
418,418,12.96641
419,419,13.231614
420,420,12.978243
421,421,13.161318
422,422,13.20767
423,423,13.186188
424,424,13.098762
425,425,12.909966
426,426,13.086836
427,427,13.244225
428,428,13.120484
429,429,13.207206
430,430,13.186114
431,431,12.98504
432,432,13.053707
433,433,13.100874
434,434,13.328133
435,435,13.007003
436,436,13.27741
437,437,13.187595
438,438,13.071411
439,439,13.121577
440,440,13.104762
441,441,13.152058
442,442,12.972373
443,443,12.932503
444,444,13.140614
445,445,13.025003
446,446,12.930022
447,447,13.065263
448,448,13.124502
449,449,13.22654
450,450,13.040688
451,451,13.250429
452,452,13.063632
453,453,13.01391
454,454,13.147651
455,455,13.016929
456,456,12.985577
457,457,13.974818
458,458,13.029818
459,459,13.100336
460,460,13.127132
461,461,13.065096
462,462,13.074058
463,463,13.306688
464,464,13.150891
465,465,13.138633
466,466,13.032725
467,467,12.920947
468,0,13.161911
469,1,13.093743
470,2,12.990688
471,3,13.214947
472,4,13.326855
473,5,13.308225
474,6,13.196429
475,7,13.181058
476,8,13.223891
477,9,13.206799
478,10,13.273244
479,11,13.245614
480,12,13.11317
481,13,13.416947
482,14,13.209595
483,15,12.976614
484,16,13.115855
485,17,13.453059
486,18,13.288151
487,19,13.421984
488,20,13.271114
489,21,13.115948
490,22,12.991762
491,23,13.291577
492,24,13.008447
493,25,13.454763
494,26,13.126207
495,27,13.074781
496,28,13.106244
497,29,12.899244
498,30,13.203318
499,31,13.232762
500,32,13.100447
501,33,13.065892
502,34,13.124558
503,35,13.359114
504,36,13.346336
505,37,13.018077
506,38,13.332373
507,39,12.948003
508,40,13.281484
509,41,13.047133
510,42,13.062892
511,43,13.127466
512,44,13.187448
513,45,12.99417
514,46,13.191799
515,47,13.13641
516,48,13.191929
517,49,13.17767
518,50,13.07217
519,51,13.11178
520,52,13.088428
521,53,13.218595
522,54,13.128465
523,55,13.01854
524,56,13.330558
525,57,13.113855
526,58,13.117151
527,59,13.082763
528,60,13.137522
529,61,13.092355
530,62,13.259577
531,63,13.103225
532,64,12.93504
533,65,13.095966
534,66,13.107411
535,67,13.336781
536,68,13.297873
537,69,13.128948
538,70,13.186966
539,71,13.014354
540,72,13.043688
541,73,13.303595
542,74,13.898317
543,75,13.151336
544,76,13.093688
545,77,13.172633
546,78,13.190855
547,79,13.404374
548,80,13.189002
549,81,13.198855
550,82,13.256595
551,83,13.125169
552,84,13.234744
553,85,13.113558
554,86,13.350114
555,87,13.244836
556,88,13.168188
557,89,13.52404
558,90,13.294669
559,91,13.086744
560,92,13.207262
561,93,13.330503
562,94,13.343947
563,95,13.240651
564,96,13.30841
565,97,13.199243
566,98,13.056392
567,99,13.021096
568,100,12.997855
569,101,13.309021
570,102,13.17904
571,103,13.171836
572,104,13.082392
573,105,13.201874
574,106,13.371948
575,107,13.053095
576,108,13.198429
577,109,13.320262
578,110,13.100206
579,111,13.178744
580,112,13.1283
581,113,13.260226
582,114,13.155151
583,115,13.158002
584,116,13.277836
585,117,13.263151
586,118,13.095058
587,119,13.130892
588,120,13.199614
589,121,13.158336
590,122,13.186948
591,123,13.265188
592,124,12.996559
593,125,13.250485
594,126,13.140299
595,127,13.090225
596,128,13.249466
597,129,13.05104
598,130,13.045873
599,131,13.074448
600,132,13.246503
601,133,13.126299
602,134,13.034799
603,135,13.046818
604,136,13.22367
605,137,13.121873
606,138,13.217336
607,139,13.465466
608,140,13.036892
609,141,13.186022
610,142,13.209651
611,143,13.188262
612,144,13.157003
613,145,13.1913
614,146,13.219614
615,147,13.182151
616,148,13.104874
617,149,13.187188
618,150,13.157836
619,151,13.173559
620,152,13.148447
621,153,13.395725
622,154,13.262132
623,155,13.246522
624,156,13.115725
625,157,13.321373
626,158,13.027336
627,159,13.818318
628,160,13.274373
629,161,13.201392
630,162,13.239744
631,163,13.144225
632,164,13.207466
633,165,13.51617
634,166,13.222021
635,167,13.120651
636,168,13.353355
637,169,13.26917
638,170,13.150837
639,171,13.148021
640,172,13.180744
641,173,13.026095
642,174,13.229781
643,175,13.137559
644,176,13.439262
645,177,13.338373
646,178,13.120022
647,179,13.175429
648,180,12.941984
649,181,13.117466
650,182,13.046744
651,183,13.175466
652,184,13.016984
653,185,13.16417
654,186,13.155077
655,187,13.041206
656,188,13.063669
657,189,13.014614
658,190,12.93254
659,191,12.952669
660,192,13.038688
661,193,12.977355
662,194,13.0603
663,195,13.617985
664,196,13.213855
665,197,13.340707
666,198,13.26954
667,199,13.159947
668,200,13.525947
669,201,13.377781
670,202,13.31167
671,203,13.209577
672,204,13.063725
673,205,13.08254
674,206,13.08817
675,207,13.307077
676,208,13.082928
677,209,13.181096
678,210,13.318058
679,211,13.171095
680,212,13.313188
681,213,13.092133
682,214,13.282484
683,215,15.03354
684,216,13.657244
685,217,13.543151
686,218,13.287633
687,219,13.270373
688,220,13.372392
689,221,13.131614
690,222,13.276966
691,223,13.182318
692,224,13.247891
693,225,13.135762
694,226,13.190262
695,227,12.932096
696,228,13.685318
697,229,13.58317
698,230,13.388651
699,231,13.284873
700,232,13.2388
701,233,13.231429
702,234,13.756762
703,235,13.616614
704,236,15.547096
705,237,14.436651
706,238,13.750614
707,239,13.339318
708,240,13.543003
709,241,13.304891
710,242,13.338466
711,243,13.15041
712,244,14.575614
713,245,13.476466
714,246,13.288614
715,247,13.162317
716,248,13.087151
717,249,13.080373
718,250,13.120373
719,251,13.116855
720,252,13.308948
721,253,14.815374
722,254,13.400096
723,255,13.361207
724,256,13.284836
725,257,13.243188
726,258,13.198502
727,259,13.497688
728,260,13.689632
729,261,13.621966
730,262,13.344596
731,263,13.208947
732,264,13.217429
733,265,13.281744
734,266,13.307077
735,267,13.038188
736,268,13.307429
737,269,13.124633
738,270,13.043614
739,271,13.198762
740,272,13.095299
741,273,13.313632
742,274,13.273632
743,275,13.12891
744,276,13.364485
745,277,13.196911
746,278,13.057281
747,279,13.102114
748,280,13.001725
749,281,13.15154
750,282,13.212743
751,283,12.96267
752,284,13.481632
753,285,13.363911
754,286,13.311373
755,287,13.162577
756,288,13.080151
757,289,13.203669
758,290,13.173911
759,291,13.028744
760,292,13.151892
761,293,13.27228
762,294,13.137502
763,295,13.099651
764,296,13.042244
765,297,13.24254
766,298,13.128873
767,299,13.125817
768,300,18.464467
769,301,17.183967
770,302,14.262596
771,303,13.821781
772,304,13.936559
773,305,13.500503
774,306,13.560318
775,307,13.373058
776,308,13.120947
777,309,13.168725
778,310,13.126947
779,311,13.108744
780,312,13.122225
781,313,13.04804
782,314,13.278762
783,315,13.415669
784,316,13.405762
785,317,13.351263
786,318,13.23578
787,319,13.159743
788,320,13.056448
789,321,13.127317
790,322,13.405355
791,323,13.052484
792,324,12.944318
793,325,13.079725
794,326,13.082891
795,327,13.275836
796,328,13.072429
797,329,81.8315
798,330,13.554447
799,331,13.443577
800,332,13.296652
801,333,13.253299
802,334,13.160114
803,335,13.076262
804,336,13.083984
805,337,13.468336
806,338,13.519262
807,339,13.293354
808,340,13.101651
809,341,13.308355
810,342,13.127022
811,343,13.355132
812,344,13.088336
813,345,13.088947
814,346,13.199466
815,347,13.307614
816,348,13.261521
817,349,13.08104
818,350,13.212559
819,351,13.188003
820,352,13.28441
821,353,13.312243
822,354,13.125706
823,355,13.378318
824,356,13.445114
825,357,13.091688
826,358,13.135077
827,359,13.152707
828,360,13.342429
829,361,13.302614
830,362,13.459577
831,363,13.228354
832,364,13.277855
833,365,13.290632
834,366,13.505114
835,367,13.416799
836,368,13.106021
837,369,13.16967
838,370,13.279855
839,371,13.126003
840,372,13.315892
841,373,13.456948
842,374,13.520855
843,375,13.503151
844,376,13.310262
845,377,13.106762
846,378,13.219485
847,379,13.008743
848,380,13.336651
849,381,13.281762
850,382,13.206799
851,383,13.086243
852,384,13.699577
853,385,13.490948
854,386,13.291596
855,387,13.210447
856,388,13.13454
857,389,13.271447
858,390,13.161688
859,391,13.17754
860,392,13.084466
861,393,13.042596
862,394,13.073799
863,395,13.130781
864,396,13.071707
865,397,13.168133
866,398,13.120096
867,399,13.14754
868,400,13.170873
869,401,13.167076
870,402,13.489984
871,403,13.148614
872,404,13.098411
873,405,13.221966
874,406,13.377114
875,407,13.250077
876,408,13.828614
877,409,13.230225
878,410,13.234689
879,411,13.156521
880,412,13.34504
881,413,13.142133
882,414,13.230837
883,415,13.304096
884,416,13.221262
885,417,13.398596
886,418,13.141799
887,419,13.018058
888,420,13.190095
889,421,13.332818
890,422,13.192133
891,423,13.089207
892,424,13.212818
893,425,13.084689
894,426,13.183299
895,427,13.269466
896,428,13.15041
897,429,13.371243
898,430,13.015225
899,431,13.246299
900,432,13.293133
901,433,13.079076
902,434,13.058244
903,435,13.097799
904,436,13.219169
905,437,12.973484
906,438,13.101577
907,439,13.152132
908,440,13.169781
909,441,13.121984
910,442,13.506632
911,443,13.252373
912,444,13.129725
913,445,13.064392
914,446,13.221114
915,447,13.056263
916,448,13.024522
917,449,13.174818
918,450,13.100151
919,451,12.883447
920,452,13.114891
921,453,12.903336
922,454,13.106448
923,455,13.08478
924,456,13.200985
925,457,13.249485
926,458,13.161726
927,459,13.026522
928,460,13.20491
929,461,13.423244
930,462,13.257837
931,463,13.258485
932,464,13.335707
933,465,13.33267
934,466,13.371874
935,467,13.34367
936,0,13.189262
937,1,13.252466
938,2,13.141707
939,3,13.109725
940,4,13.069114
941,5,13.307929
942,6,13.294984
943,7,13.153299
944,8,13.05854
945,9,12.915818
946,10,13.311892
947,11,13.207873
948,12,13.277484
949,13,13.028911
950,14,13.157058
951,15,13.173114
952,16,13.191189
953,17,12.930873
954,18,12.957577
955,19,12.996151
956,20,13.155521
957,21,13.298448
958,22,13.129781
959,23,13.175132
960,24,13.196743
961,25,13.8213
962,26,13.232151
963,27,13.186281
964,28,13.398595
965,29,13.094059
966,30,13.128707
967,31,13.225521
968,32,13.081688
969,33,13.132003
970,34,13.128003
971,35,13.285336
972,36,13.134003
973,37,13.1528
974,38,13.13767
975,39,13.171689
976,40,13.320207
977,41,13.424873
978,42,13.12054
979,43,13.227336
980,44,13.209929
981,45,13.044355
982,46,13.207262
983,47,13.028299
984,48,13.072132
985,49,13.32154
986,50,13.217391
987,51,13.259355
988,52,13.439317
989,53,13.277503
990,54,13.27141
991,55,13.123725
992,56,13.571799
993,57,13.451225
994,58,13.178003
995,59,13.356855
996,60,13.127448
997,61,13.225965
998,62,13.260836
999,63,13.258392
