iteration,source_window,processing_latency_ms
353,353,0.058111
354,354,0.0575
355,355,0.057463
356,356,0.057186
357,357,0.057908
358,358,0.05737
359,359,0.057444
360,360,0.057407
361,361,0.057334
362,362,0.057352
363,363,0.057445
364,364,0.057481
365,365,0.057407
366,366,0.057408
367,367,0.057408
368,368,0.057629
369,369,0.057592
370,370,0.057814
371,371,0.057797
372,372,0.057778
373,373,0.057759
374,374,0.071
375,375,0.060908
376,376,0.059852
377,377,0.058556
378,378,0.057907
379,379,0.05763
380,380,0.057722
381,381,0.118908
382,382,0.068167
383,383,0.068667
384,384,0.060537
385,385,0.059056
386,386,0.058371
387,387,0.057982
388,388,0.058296
389,389,0.058093
390,390,0.058223
391,391,0.057833
392,392,0.057574
393,393,0.05763
394,394,0.057407
395,395,0.057778
396,396,0.057778
397,397,0.057315
398,398,0.057629
399,399,0.057574
400,400,0.05763
401,401,0.057555
402,402,0.058037
403,403,0.057759
404,404,0.058019
405,405,0.057926
406,406,0.057537
407,407,0.057666
408,408,0.057759
409,409,0.057666
410,410,0.057352
411,411,0.057389
412,412,0.057371
413,413,0.057537
414,414,0.057723
415,415,0.058148
416,416,0.057667
417,417,0.057759
418,418,0.057519
419,419,0.057277
420,420,0.05713
421,421,0.057463
422,422,0.057593
423,423,0.057889
424,424,0.057704
425,425,0.057575
426,426,0.064555
427,427,0.058889
428,428,0.058463
429,429,0.057815
430,430,0.058056
431,431,0.058148
432,432,0.058055
433,433,0.05763
434,434,0.058074
435,435,0.058074
436,436,0.057593
437,437,0.067407
438,438,0.060704
439,439,0.058703
440,440,0.057796
441,441,0.057334
442,442,0.057574
443,443,0.058
444,444,0.057815
445,445,0.057444
446,446,0.057519
447,447,0.057685
448,448,0.057611
449,449,0.05776
450,450,0.057315
451,451,0.057593
452,452,0.057426
453,453,0.057852
454,454,0.0575
455,455,0.058018
456,456,0.057741
457,457,0.057704
458,458,0.057204
459,459,0.05763
460,460,0.057167
461,461,0.057223
462,462,0.057759
463,463,0.132093
464,464,0.065833
465,465,0.059259
466,466,0.058111
467,467,0.057852
468,0,0.057852
469,1,0.058018
470,2,0.058056
471,3,0.058019
472,4,0.057518
473,5,0.058093
474,6,0.057759
475,7,0.057908
476,8,0.05737
477,9,0.057833
478,10,0.057703
479,11,0.057315
480,12,0.057482
481,13,0.057223
482,14,0.060852
483,15,0.058056
484,16,0.057852
485,17,0.057518
486,18,0.057667
487,19,0.057648
488,20,0.057149
489,21,0.0575
490,22,0.05763
491,23,0.0575
492,24,0.057685
493,25,0.057203
494,26,0.0575
495,27,0.057555
496,28,0.057445
497,29,0.057463
498,30,0.058296
499,31,0.057408
500,32,0.057704
501,33,0.07326
502,34,0.063741
503,35,0.059815
504,36,0.057982
505,37,0.058111
506,38,0.058314
507,39,0.057482
508,40,0.057426
509,41,0.057278
510,42,0.057611
511,43,0.057611
512,44,0.057759
513,45,0.057556
514,46,0.057574
515,47,0.057593
516,48,0.057407
517,49,0.057389
518,50,0.057426
519,51,0.057056
520,52,0.057315
521,53,0.057518
