name,xyz_points,individual_axis_values,nominal_odr_hz,observed_rate_xyz_per_s,rate_difference_percent,first_to_last_xyz_s,nonmonotonic_intervals,timestamp_representations_max_error_s,host_interval_min_ms,host_interval_median_ms,host_interval_p99_ms,host_interval_max_ms,host_intervals_over_10ms,read_duration_median_ms,read_duration_p99_ms,read_duration_max_ms,fifo_depth_max,gap_flagged_points,overrun_flagged_points,saturated_flagged_points,maximum_absolute_axis_g,lost_samples_exact,points_outside_sections,consecutive_identical_xyz_fraction,vector_ac_rms_g,mean_x_g,std_x_g,ac_rms_x_g,mean_y_g,std_y_g,ac_rms_y_g,mean_z_g,std_z_g,ac_rms_z_g
S_vor_1,6209,18627,200,207.00135275654114,3.500676378270562,29.990142177,0,3.552713678800501e-15,1.838982,5.537049,5.699597150000001,13.295968,3,1.734852,1.8006356399999999,9.39367,2,0,0,0,1.1115,,0,0.0037048969072164947,0.0133280748345585,-0.2220060396199066,0.006408052837511948,0.006408052837511948,-0.023379272024480594,0.006867536943270479,0.006867536943270479,-1.0703348687389274,0.009455758772307055,0.009455758772307055
S_vor_2,6208,18624,200,206.97632883403557,3.4881644170177806,29.988936585,0,3.552713678800501e-15,3.633168,5.589965,5.70424882,6.18878,0,1.7364730000000002,1.7925582800000004,2.17602,1,0,0,0,1.1739,,0,0.0033832769453842437,0.013761492662514252,-0.2220198131443299,0.0066589160901766,0.0066589160901766,-0.023434552190721648,0.007059431051972931,0.007059431051972931,-1.070742235824742,0.009757148662742675,0.009757148662742675
B75_300s,62112,186336,200,207.044617808716,3.522308904358007,299.988479089,0,5.684341886080802e-14,3.590463,5.588186,5.684167899999999,6.738944,0,1.736704,1.78158684,4.290946,1,0,0,0,1.3844999999999998,,0,3.220041538535847e-05,0.1961660650765541,-0.21934523763523955,0.1652304247342038,0.1652304247342038,-0.026117040185471403,0.031023348598129177,0.031023348598129177,-1.071528641808346,0.10108206404467827,0.10108206404467827
S_nach,6209,18627,200,207.00077862372564,3.500389311862828,29.990225357,0,3.552713678800501e-15,3.582443,5.535962,5.68364428,5.878814,0,1.734241,1.78233292,2.001925,1,0,0,0,1.1193,,0,0.003865979381443299,0.013376144072559038,-0.22229120631341598,0.0063402684997443505,0.0063402684997443505,-0.02369144789821227,0.007022819899228079,0.007022819899228079,-1.0704435335802867,0.009455275049622403,0.009455275049622403
