run,start_s,end_s,xyz_points,vector_ac_rms_mg,gap,overrun,saturated
1,0,5,1036,20.175683813946826,0,0,0
1,5,10,1035,187.8302885032844,0,0,0
1,10,15,1036,197.17886767983518,0,0,0
1,15,20,1035,202.5657584409409,0,0,0
1,20,25,1036,201.50968152793408,0,0,0
1,25,30,1035,200.4537746392114,0,0,0
1,30,35,1035,200.98032981672836,0,0,0
1,35,40,1036,200.56614208690675,0,0,0
1,40,45,1035,200.3109954585002,0,0,0
1,45,50,1036,200.0522783521601,0,0,0
1,50,55,1035,199.916154615595,0,0,0
1,55,60,1036,199.55995723733966,0,0,0
1,60,65,1035,200.11278447346848,0,0,0
1,65,70,1035,198.9997382630828,0,0,0
1,70,75,1036,199.284988671076,0,0,0
1,75,80,1035,198.32648180569134,0,0,0
1,80,85,1036,198.88426709690734,0,0,0
1,85,90,1035,199.52681958196288,0,0,0
1,90,95,1035,198.36398409132406,0,0,0
1,95,100,1036,198.53391912430675,0,0,0
1,100,105,1035,199.11990324997487,0,0,0
1,105,110,1035,197.90774197198846,0,0,0
1,110,115,1036,198.38845573079138,0,0,0
1,115,120,1035,198.06348209615675,0,0,0
1,120,125,1035,197.04037020799421,0,0,0
1,125,130,1036,197.97127876897156,0,0,0
1,130,135,1035,196.59785738126985,0,0,0
1,135,140,1036,197.4655911713112,0,0,0
1,140,145,1035,197.87306095714996,0,0,0
1,145,150,1035,197.40360741926222,0,0,0
1,150,155,1036,197.7041403608641,0,0,0
1,155,160,1035,196.36787384548657,0,0,0
1,160,165,1036,197.0601746990673,0,0,0
1,165,170,1035,197.3452456562174,0,0,0
1,170,175,1036,196.87169280093445,0,0,0
1,175,180,1035,196.88066880100754,0,0,0
1,180,185,1035,196.16578173738066,0,0,0
1,185,190,1036,197.10120103849897,0,0,0
1,190,195,1035,197.9565143653225,0,0,0
1,195,200,1036,196.39131688990398,0,0,0
1,200,205,1036,196.65943701804312,0,0,0
1,205,210,1035,196.51661485303356,0,0,0
1,210,215,1035,196.21193432340058,0,0,0
1,215,220,1036,196.56339786865468,0,0,0
1,220,225,1035,196.68608554668796,0,0,0
1,225,230,1035,196.04511621567744,0,0,0
1,230,235,1036,196.28464752656345,0,0,0
1,235,240,1035,196.4598660903723,0,0,0
1,240,245,1035,197.1999862745519,0,0,0
1,245,250,1036,195.73989027742908,0,0,0
1,250,255,1035,196.1196151048117,0,0,0
1,255,260,1036,195.96306360159647,0,0,0
1,260,265,1035,196.85518790343028,0,0,0
1,265,270,1036,196.38991823696193,0,0,0
1,270,275,1035,196.93836161727486,0,0,0
1,275,280,1036,196.29911588196651,0,0,0
1,280,285,1035,195.6556725660347,0,0,0
1,285,290,1035,196.02312713025032,0,0,0
1,290,295,1036,194.58055782807904,0,0,0
1,295,300,1034,195.2419932349674,0,0,0
2,0,5,1036,19.603997650871264,0,0,0
2,5,10,1035,185.4968060064791,0,0,0
2,10,15,1036,190.30855921865424,0,0,0
2,15,20,1036,195.03426777173564,0,0,0
2,20,25,1035,195.43155228832848,0,0,0
2,25,30,1035,195.43324001132265,0,0,0
2,30,35,1036,196.2457809915641,0,0,0
2,35,40,1036,194.82640667740299,0,0,0
2,40,45,1035,195.4933513705203,0,0,0
2,45,50,1036,195.8365572790821,0,0,0
2,50,55,1035,195.74053864850117,0,0,0
2,55,60,1036,194.73811274471026,0,0,0
2,60,65,1035,195.4633809579844,0,0,0
2,65,70,1036,194.55982573935813,0,0,0
2,70,75,1035,195.1505500193705,0,0,0
2,75,80,1036,195.58915500997088,0,0,0
2,80,85,1035,195.3471548886325,0,0,0
2,85,90,1036,195.14286366833224,0,0,0
2,90,95,1035,195.61996154278646,0,0,0
2,95,100,1036,194.59196077704271,0,0,0
2,100,105,1036,195.8641004231728,0,0,0
2,105,110,1035,195.86415698968182,0,0,0
2,110,115,1036,195.15662469800216,0,0,0
2,115,120,1035,195.0760511615354,0,0,0
2,120,125,1036,195.43518566026538,0,0,0
2,125,130,1035,194.31863663906142,0,0,0
2,130,135,1036,193.80080839441086,0,0,0
2,135,140,1036,194.33027040795383,0,0,0
2,140,145,1035,194.13258263424933,0,0,0
2,145,150,1036,195.8009804480079,0,0,0
2,150,155,1035,195.08756067601746,0,0,0
2,155,160,1036,195.14125193048383,0,0,0
2,160,165,1035,195.2396893739239,0,0,0
2,165,170,1035,195.12466018003968,0,0,0
2,170,175,1036,195.40927779219848,0,0,0
2,175,180,1035,194.45470017071716,0,0,0
2,180,185,1036,194.57689444502236,0,0,0
2,185,190,1035,195.61856337007396,0,0,0
2,190,195,1035,194.51392030655975,0,0,0
2,195,200,1036,195.03039754092552,0,0,0
2,200,205,1035,194.9887854004072,0,0,0
2,205,210,1035,194.42114330320922,0,0,0
2,210,215,1036,194.3746177808534,0,0,0
2,215,220,1035,194.9961153432288,0,0,0
2,220,225,1036,194.7834061207263,0,0,0
2,225,230,1035,194.95490226953666,0,0,0
2,230,235,1035,195.47233864960958,0,0,0
2,235,240,1036,194.64584948503892,0,0,0
2,240,245,1035,194.90400905029463,0,0,0
2,245,250,1036,194.12582149669763,0,0,0
2,250,255,1035,195.12279296178423,0,0,0
2,255,260,1036,195.46599359004392,0,0,0
2,260,265,1035,194.34792040201324,0,0,0
2,265,270,1036,193.47037260229837,0,0,0
2,270,275,1035,194.00695960466794,0,0,0
2,275,280,1036,194.3834268069545,0,0,0
2,280,285,1035,194.56373406737623,0,0,0
2,285,290,1035,194.53621063046543,0,0,0
2,290,295,1036,194.35554207297403,0,0,0
2,295,300,1034,194.72080883534204,0,0,0
3,0,5,1036,19.753847912242506,0,0,0
3,5,10,1035,179.85928795629704,0,0,0
3,10,15,1036,187.3104419055248,0,0,0
3,15,20,1035,193.17938748817008,0,0,0
3,20,25,1036,191.76258927718297,0,0,0
3,25,30,1036,193.31993831901306,0,0,0
3,30,35,1035,192.66129240438067,0,0,0
3,35,40,1035,192.8712366336798,0,0,0
3,40,45,1036,192.79250193590724,0,0,0
3,45,50,1035,192.92320579379094,0,0,0
3,50,55,1036,191.37081776183015,0,0,0
3,55,60,1036,192.49331152419853,0,0,0
3,60,65,1035,192.20892326161777,0,0,0
3,65,70,1036,193.09263578404915,0,0,0
3,70,75,1035,193.30133992066084,0,0,0
3,75,80,1036,192.74612569966567,0,0,0
3,80,85,1035,193.27067483078855,0,0,0
3,85,90,1036,193.05138893659512,0,0,0
3,90,95,1035,192.4965338644893,0,0,0
3,95,100,1036,193.54399823253968,0,0,0
3,100,105,1035,193.17682966893565,0,0,0
3,105,110,1036,192.61418267314536,0,0,0
3,110,115,1035,193.2428055041145,0,0,0
3,115,120,1036,192.58460208730435,0,0,0
3,120,125,1036,193.32631145265495,0,0,0
3,125,130,1035,192.57742545521538,0,0,0
3,130,135,1036,193.92342202902023,0,0,0
3,135,140,1035,191.68959354747489,0,0,0
3,140,145,1036,192.71193120817858,0,0,0
3,145,150,1035,193.182648144085,0,0,0
3,150,155,1036,192.20831052511483,0,0,0
3,155,160,1035,192.80256409218447,0,0,0
3,160,165,1036,192.56906627345208,0,0,0
3,165,170,1035,191.8487971047945,0,0,0
3,170,175,1036,192.3243678868355,0,0,0
3,175,180,1035,192.47623706859207,0,0,0
3,180,185,1036,192.25673813158184,0,0,0
