run,mean_mg,std_mg,ols_mg_per_min,theil_sen_mg_per_min,fitted_change_120s_mg,fitted_change_percent,r2,residual_std_mg,residual_lag1_correlation,loo_slope_min,loo_slope_max,four_30s_means_mg,last60_minus_first60_mg,last60_vs_first60_percent,positive_steps,negative_steps
1,196.3353501304539,0.6594398230926908,-0.6487405587314684,-0.5770990172411473,-1.2974811174629368,-0.6608494683208261,0.3220444854784046,0.5429699179843147,0.05928821194886556,-0.7613334892723959,-0.49792874542362026,"[196.7984776503638, 196.37517459522607, 196.37794356646359, 195.78980470976214]",-0.5029519846820563,-0.2558421612483319,13,10
2,194.68252192233766,0.4804166899414645,-0.3085159498579315,-0.2662734915120666,-0.617031899715863,-0.31694262721848654,0.13722813973259018,0.44623750899139014,0.05732430478968708,-0.36561630342884044,-0.2238975607371954,"[194.858284061033, 194.87120494149895, 194.572818350522, 194.4277803362967]",-0.3644451578566361,-0.18702467641819043,12,11
3,192.75855411349804,0.46358317498708096,0.3067658797812296,0.337717713730882,0.6135317595624592,0.3182902893125075,0.1457078272053035,0.4284803195250833,0.1206817002406036,0.21265263005676394,0.34683466723433026,"[192.64089085550685, 192.58958758616748, 192.81504081979892, 192.98869719251903]",0.2866297853218214,0.14880950566595885,12,11
