window_index_in_recording,source_start_index,source_end_index_exclusive,start_host_monotonic_ns,last_host_monotonic_ns,start_since_command_s,last_since_command_s,quality_valid,quality_reasons,method,threshold,score,prediction,decision,error,model_core_ns,transfer_in_ns,transfer_out_ns,score_and_other_overhead_ns,standardization_ns,scorer_call_ns,decision_monotonic_ns,dequeue_to_decision_ns,dequeue_monotonic_ns,complete_to_decision_ns,assembly_ns,queue_wait_ns,logging_monotonic_ns,trial,mode,repeat
22,40072,40200,100469770023507,100470381018320,193.603179857,194.21417467,True,[],rms,1.2747695377144315,1.059763145037768,0,NORMAL,,42241,0,0,1722,96851,60537,100470386826761,163166,100470386663595,5808441,5579034,66241,100470386835558,sensor_live_rms_01,sensor_live,1
23,40200,40328,100470388410723,100470999353296,194.221567073,194.832509646,True,[],rms,1.2747695377144315,1.065733476601181,0,NORMAL,,41203,0,0,1557,96037,58944,100471005039960,160074,100471004879886,5686664,5462498,64092,100471005047775,sensor_live_rms_01,sensor_live,1
24,40328,40456,100471006629959,100471615965311,194.839786309,195.449121661,True,[],rms,1.2747695377144315,0.9963635591096842,0,NORMAL,,42741,0,0,1444,101463,61871,100471621850290,168426,100471621681864,5884979,5645923,70630,100471621858549,sensor_live_rms_01,sensor_live,1
25,40456,40584,100471623429289,100472234640881,195.456585639,196.067797231,True,[],rms,1.2747695377144315,1.0849782568895168,0,NORMAL,,40556,0,0,1629,97889,58740,100472240433878,161481,100472240272397,5792997,5563960,67556,100472240442397,sensor_live_rms_01,sensor_live,1
26,40584,40712,100472242021711,100472853099248,196.075178061,196.686255598,True,[],rms,1.2747695377144315,1.082200956070769,0,NORMAL,,42389,0,0,1667,101203,61056,100472858960171,167444,100472858792727,5860923,5621664,71815,100472858968245,sensor_live_rms_01,sensor_live,1
27,40712,40840,100472860535133,100473469903931,196.693691483,197.303060281,True,[],rms,1.2747695377144315,1.0655601965329695,0,NORMAL,,41889,0,0,1408,97074,59833,100473475690798,162092,100473475528706,5786867,5559664,65111,100473475699169,sensor_live_rms_01,sensor_live,1
28,40840,40968,100473477278983,100474088646873,197.310435333,197.921803223,True,[],rms,1.2747695377144315,1.0770741254999772,0,NORMAL,,39574,0,0,1371,94389,57296,100474094310999,157111,100474094153888,5664126,5440089,66926,100474094318536,sensor_live_rms_01,sensor_live,1
29,40968,41096,100474095903313,100474707114370,197.929059663,198.54027072,True,[],rms,1.2747695377144315,1.0312563542720552,0,NORMAL,,40166,0,0,1389,92537,57482,100474712722053,155426,100474712566627,5607683,5390646,61611,100474712730108,sensor_live_rms_01,sensor_live,1
30,41096,41224,100474714313848,100475323879110,198.547470198,199.15703546,True,[],rms,1.2747695377144315,1.0976532569024111,0,NORMAL,,41666,0,0,1426,99037,59444,100475329889459,164000,100475329725459,6010349,5779645,66704,100475329897811,sensor_live_rms_01,sensor_live,1
31,41224,41352,100475331481217,100475942629035,199.164637567,199.775785385,True,[],rms,1.2747695377144315,1.013236039678425,0,NORMAL,,38815,0,0,1444,89667,55333,100475947926236,149852,100475947776384,5297201,5087182,60167,100475947933902,sensor_live_rms_01,sensor_live,1
