window_index_in_recording,source_start_index,source_end_index_exclusive,start_host_monotonic_ns,last_host_monotonic_ns,start_since_command_s,last_since_command_s,quality_valid,quality_reasons,method,threshold,score,prediction,decision,error,model_core_ns,transfer_in_ns,transfer_out_ns,score_and_other_overhead_ns,standardization_ns,scorer_call_ns,decision_monotonic_ns,dequeue_to_decision_ns,dequeue_monotonic_ns,complete_to_decision_ns,assembly_ns,queue_wait_ns,logging_monotonic_ns,trial,mode,repeat
179,60170,60298,101326844177474,101327454036248,290.651882789,291.261741563,True,[],tflite_autoencoder,0.544357966122261,0.4456534548715562,0,NORMAL,,60648,18296,6611,50944,108666,153944,101327459871129,268221,101327459602908,5834881,5498364,68296,101327459879314,sensor_live_tflite_autoencoder_01,sensor_live,1
180,60298,60426,101327461365956,101328072555339,291.269071271,291.880260654,True,[],tflite_autoencoder,0.544357966122261,0.4636712925336018,0,NORMAL,,62314,17778,6723,51407,106369,155017,101328078395072,266646,101328078128426,5839733,5502420,70667,101328078402980,sensor_live_tflite_autoencoder_01,sensor_live,1
181,60426,60554,101328079916121,101328690955026,291.887621436,292.498660341,True,[],tflite_autoencoder,0.544357966122261,0.5197818283823515,0,NORMAL,,61352,17037,7055,49334,106666,150869,101328696686315,262684,101328696423631,5731289,5399902,68703,101328696694204,sensor_live_tflite_autoencoder_01,sensor_live,1
182,60554,60682,101328698174827,101329309547678,292.505880142,293.117252993,True,[],tflite_autoencoder,0.544357966122261,0.5288464528143492,0,NORMAL,,108333,17759,8703,57074,97129,208833,101329315474707,311054,101329315163653,5927029,5524253,91722,101329315483188,sensor_live_tflite_autoencoder_01,sensor_live,1
183,60682,60810,101329316901385,101329926416582,293.1246067,293.734121897,True,[],tflite_autoencoder,0.544357966122261,0.5098555598351359,0,NORMAL,,60908,17203,6944,48537,114758,150221,101329932269592,269961,101329931999631,5853010,5512364,70685,101329932277759,sensor_live_tflite_autoencoder_01,sensor_live,1
184,60810,60938,101329933764215,101330545207497,293.74146953,294.352912812,True,[],tflite_autoencoder,0.544357966122261,0.4684217045195926,0,NORMAL,,59722,17037,6852,48074,94629,148018,101330551062952,248184,101330550814768,5855455,5527512,79759,101330551070656,sensor_live_tflite_autoencoder_01,sensor_live,1
185,60938,61066,101330552550335,101331163915343,294.36025565,294.971620658,True,[],tflite_autoencoder,0.544357966122261,0.5562363693980691,1,ANOMALY,,60148,17055,6907,51074,108555,152148,101331170034612,266166,101331169768446,6119269,5786289,66814,101331170042463,sensor_live_tflite_autoencoder_01,sensor_live,1
186,61066,61194,101331171512920,101331780877217,294.979218235,295.588582532,True,[],tflite_autoencoder,0.544357966122261,0.48310974801667506,0,NORMAL,,61741,17166,6241,49036,106093,150796,101331786779358,262444,101331786516914,5902141,5569698,69999,101331786787635,sensor_live_tflite_autoencoder_01,sensor_live,1
187,61194,61322,101331788265666,101332399886400,295.595970981,296.207591715,True,[],tflite_autoencoder,0.544357966122261,0.48107306393063726,0,NORMAL,,61610,16963,7075,47277,105351,148481,101332405735781,259202,101332405476579,5849381,5520846,69333,101332405743503,sensor_live_tflite_autoencoder_01,sensor_live,1
188,61322,61450,101332407222682,101333018810735,296.214927997,296.82651605,True,[],tflite_autoencoder,0.544357966122261,0.4613458857889974,0,NORMAL,,64463,18074,7426,51573,97055,158018,101333024771172,260277,101333024510895,5960437,5597716,102444,101333024779227,sensor_live_tflite_autoencoder_01,sensor_live,1
189,61450,61578,101333026226813,101333635503693,296.833932128,297.443209008,True,[],tflite_autoencoder,0.544357966122261,0.4724216694449777,0,NORMAL,,60426,16444,7037,47796,104370,148148,101333641247057,257777,101333640989280,5743364,5416235,69352,101333641255057,sensor_live_tflite_autoencoder_01,sensor_live,1
190,61578,61706,101333642738698,101334254386200,297.450444013,298.062091515,True,[],tflite_autoencoder,0.544357966122261,0.44870775420671966,0,NORMAL,,62759,18685,6815,55870,108815,161444,101334260716469,275944,101334260440525,6330269,5979492,74833,101334260725487,sensor_live_tflite_autoencoder_01,sensor_live,1
191,61706,61834,101334262179777,101334873180526,298.069885092,298.680885841,True,[],tflite_autoencoder,0.544357966122261,0.4863338583555203,0,NORMAL,,62852,17722,7203,54741,103296,160203,101334879493906,269203,101334879224703,6313380,5981844,62333,101334879502609,sensor_live_tflite_autoencoder_01,sensor_live,1
192,61834,61962,101334880974066,101335489904381,298.688679381,299.297609696,True,[],tflite_autoencoder,0.544357966122261,0.41965248320349274,0,NORMAL,,60555,16519,6370,50852,95814,150092,101335495665856,251221,101335495414635,5761475,5451439,58815,101335495673856,sensor_live_tflite_autoencoder_01,sensor_live,1
193,61962,62090,101335497164608,101336108564362,299.304869923,299.916269677,True,[],tflite_autoencoder,0.544357966122261,0.4872331811903868,0,NORMAL,,59055,16148,6944,51389,96944,149907,101336114511132,252314,101336114258818,5946770,5631456,63000,101336114519632,sensor_live_tflite_autoencoder_01,sensor_live,1
0,37256,37384,101597453313620,101598066505315,180.000227502,180.613419197,True,[],isolation_forest,0.5045395247064507,0.45812582738563484,0,NORMAL,,20483515,0,0,7389,112944,20513163,101598094023884,20632885,101598073390999,27518569,6805721,79963,101598094033198,sensor_live_isolation_forest_02,sensor_live,2
1,37384,37512,101598094109420,101598685002940,180.641023302,181.231916822,True,[],isolation_forest,0.5045395247064507,0.4478817541673398,0,NORMAL,,20241942,0,0,7222,100814,20270164,101598711223068,20377219,101598690845849,26220128,5765779,77130,101598711234809,sensor_live_isolation_forest_02,sensor_live,2
2,37512,37640,101598712201621,101599302638199,181.259115503,181.849552081,True,[],isolation_forest,0.5045395247064507,0.4566879584458925,0,NORMAL,,21576975,0,0,7518,102592,21602975,101599329970546,21710993,101599308259553,27332347,5543391,77963,101599329980323,sensor_live_isolation_forest_02,sensor_live,2
3,37640,37768,101599330957710,101599920816310,181.877871592,182.467730192,True,[],isolation_forest,0.5045395247064507,0.4501939949164788,0,NORMAL,,20144646,0,0,7259,101333,20169794,101599946688532,20276035,101599926412497,25872222,5529225,66962,101599946697143,sensor_live_isolation_forest_02,sensor_live,2
4,37768,37896,101599948109972,101600538038480,182.495023854,183.084952362,True,[],isolation_forest,0.5045395247064507,0.470947214244657,0,NORMAL,,20559238,0,0,7425,102500,20585070,101600564319812,20693163,101600543626649,26281332,5507670,80499,101600564329479,sensor_live_isolation_forest_02,sensor_live,2
5,37896,38024,101600565733104,101601157580276,183.112646986,183.704494158,True,[],isolation_forest,0.5045395247064507,0.45358350366881967,0,NORMAL,,21668493,0,0,7352,101240,21694919,101601184953364,21801474,101601163151890,27373088,5495151,76463,101601184962864,sensor_live_isolation_forest_02,sensor_live,2
6,38024,38152,101601185930676,101601775743152,183.732844558,184.322657034,True,[],isolation_forest,0.5045395247064507,0.46899902279134476,0,NORMAL,,21614050,0,0,8129,99889,21642475,101601802995833,21747679,101601781248154,27252681,5431521,73481,101601803005888,sensor_live_isolation_forest_02,sensor_live,2
7,38152,38280,101601804431106,101602392738587,184.351344988,184.939652469,True,[],isolation_forest,0.5045395247064507,0.45275386668077594,0,NORMAL,,21550790,0,0,7463,101148,21584697,101602420010935,21691142,101602398319793,27272348,5512040,69166,101602420020453,sensor_live_isolation_forest_02,sensor_live,2
8,38280,38408,101602421495745,101603011751742,184.968409627,185.558665624,True,[],isolation_forest,0.5045395247064507,0.4498784915756172,0,NORMAL,,21525031,0,0,7056,99426,21550401,101603039007497,21655179,101603017352318,27255755,5524447,76129,101603039016775,sensor_live_isolation_forest_02,sensor_live,2
9,38408,38536,101603040474752,101603628738644,185.587388634,186.175652526,True,[],isolation_forest,0.5045395247064507,0.46091205473487706,0,NORMAL,,21494049,0,0,7482,101315,21520680,101603655848141,21627050,101603634221091,27109497,5409225,73222,101603655857659,sensor_live_isolation_forest_02,sensor_live,2
10,38536,38664,101603657317988,101604247269933,186.20423187,186.794183815,True,[],isolation_forest,0.5045395247064507,0.45221011988657944,0,NORMAL,,21279662,0,0,7406,99573,21305717,101604274269985,21410531,101604252859454,27000052,5512762,76759,101604274279152,sensor_live_isolation_forest_02,sensor_live,2
11,38664,38792,101604275695851,101604865321687,186.822609733,187.412235569,True,[],isolation_forest,0.5045395247064507,0.46466369387725437,0,NORMAL,,20433441,0,0,7778,97777,20459867,101604891327539,20562552,101604870764987,26005852,5377411,65889,101604891336002,sensor_live_isolation_forest_02,sensor_live,2
12,38792,38920,101604892738850,101605484435811,187.439652732,188.031349693,True,[],isolation_forest,0.5045395247064507,0.4676476871356241,0,NORMAL,,21459364,0,0,7130,96352,21485290,101605511525659,21587216,101605489938443,27089848,5434632,68000,101605511534974,sensor_live_isolation_forest_02,sensor_live,2
13,38920,39048,101605512948933,101606101418924,188.059862815,188.648332806,True,[],isolation_forest,0.5045395247064507,0.46708379718600207,0,NORMAL,,21375420,0,0,9038,99296,21403384,101606128476773,21508272,101606106968501,27057849,5478466,71111,101606128486884,sensor_live_isolation_forest_02,sensor_live,2
14,39048,39176,101606129956417,101606720434736,188.676870299,189.267348618,True,[],isolation_forest,0.5045395247064507,0.4625240604874257,0,NORMAL,,20054147,0,0,7499,91315,20080499,101606745887016,20176721,101606725710295,25452280,5213967,61592,101606745896016,sensor_live_isolation_forest_02,sensor_live,2
15,39176,39304,101606747309641,101607337816055,189.294223523,189.884729937,True,[],isolation_forest,0.5045395247064507,0.45593937149017577,0,NORMAL,,21672994,0,0,8074,102037,21700105,101607365192051,21807660,101607343384391,27375996,5489021,79315,101607365201273,sensor_live_isolation_forest_02,sensor_live,2
16,39304,39432,101607366171197,101607956399280,189.913085079,190.503313162,True,[],isolation_forest,0.5045395247064507,0.45958145103194664,0,NORMAL,,21799938,0,0,8481,101963,21830494,101607984073942,21938197,101607962135745,27674662,5658225,78240,101607984085738,sensor_live_isolation_forest_02,sensor_live,2
17,39432,39560,101607985643901,101608573434084,190.532557783,191.120347966,True,[],isolation_forest,0.5045395247064507,0.44673405263510413,0,NORMAL,,21083959,0,0,7370,100296,21109533,101608600253749,21215403,101608579038346,26819665,5533225,71037,101608600263193,sensor_live_isolation_forest_02,sensor_live,2
18,39560,39688,101608601675652,101609191681110,191.148589534,191.738594992,True,[],isolation_forest,0.5045395247064507,0.4519652979453767,0,NORMAL,,21569217,0,0,7815,98240,21595495,101609218917644,21699068,101609197218576,27236534,5466484,70982,101609218927477,sensor_live_isolation_forest_02,sensor_live,2
19,39688,39816,101609220334788,101609810168395,191.76724867,192.357082277,True,[],isolation_forest,0.5045395247064507,0.45752399405241506,0,NORMAL,,21485550,0,0,7186,94796,21512125,101609837233708,21611550,101609815622158,27065313,5386837,66926,101609837243337,sensor_live_isolation_forest_02,sensor_live,2
20,39816,39944,101609838649222,101610428842589,192.385563104,192.975756471,True,[],isolation_forest,0.5045395247064507,0.45757539042727763,0,NORMAL,,21500735,0,0,7834,101370,21527865,101610456046753,21634791,101610434411962,27204164,5501744,67629,101610456056475,sensor_live_isolation_forest_02,sensor_live,2
21,39944,40072,101610457468249,101611047346415,193.004382131,193.594260297,True,[],isolation_forest,0.5045395247064507,0.47675364640820067,0,NORMAL,,21542106,0,0,7907,99296,21569624,101611074582986,21674549,101611052908437,27236571,5489874,72148,101611074592449,sensor_live_isolation_forest_02,sensor_live,2
22,40072,40200,101611075562076,101611663771378,193.622475958,194.21068526,True,[],isolation_forest,0.5045395247064507,0.46217334199499,0,NORMAL,,21303792,0,0,7333,96870,21329921,101611690745524,21432384,101611669313140,26974146,5471559,70203,101611690755709,sensor_live_isolation_forest_02,sensor_live,2
23,40200,40328,101611691763429,101612281884875,194.238677311,194.828798757,True,[],isolation_forest,0.5045395247064507,0.46569479948439535,0,NORMAL,,21610828,0,0,7889,99870,21638124,101612309118798,21743827,101612287374971,27233923,5421448,68648,101612309128187,sensor_live_isolation_forest_02,sensor_live,2
24,40328,40456,101612310101832,101612901847424,194.857015714,195.448761306,True,[],isolation_forest,0.5045395247064507,0.47122645891160464,0,NORMAL,,20485164,0,0,7705,105926,20511276,101612928333220,20622794,101612907710426,26485796,5792799,70203,101612928341720,sensor_live_isolation_forest_02,sensor_live,2
25,40456,40584,101612929745457,101613518985945,195.476659339,196.065899827,True,[],isolation_forest,0.5045395247064507,0.45856633265385965,0,NORMAL,,21510366,0,0,7259,99018,21535699,101613546139073,21640217,101613524498856,27153128,5443633,69278,101613546148758,sensor_live_isolation_forest_02,sensor_live,2
26,40584,40712,101613547559939,101614137656946,196.094473821,196.684570828,True,[],isolation_forest,0.5045395247064507,0.46815411146273245,0,NORMAL,,21402774,0,0,7647,99278,21428903,101614164789481,21533847,101614143255634,27132535,5524392,74296,101614164798888,sensor_live_isolation_forest_02,sensor_live,2
27,40712,40840,101614165831404,101614755843431,196.712745286,197.302757313,True,[],isolation_forest,0.5045395247064507,0.45543751379714,0,NORMAL,,21565495,0,0,6852,98851,21591236,101614783080355,21695439,101614761384916,27236924,5468022,73463,101614783090077,sensor_live_isolation_forest_02,sensor_live,2
28,40840,40968,101614784544777,101615372788273,197.331458659,197.919702155,True,[],isolation_forest,0.5045395247064507,0.447734160054633,0,NORMAL,,21484440,0,0,6889,96759,21510255,101615399942123,21612736,101615378329387,27153850,5472040,69074,101615399951252,sensor_live_isolation_forest_02,sensor_live,2
29,40968,41096,101615400079641,101615991745667,197.946993523,198.538659549,True,[],isolation_forest,0.5045395247064507,0.46551226569283316,0,NORMAL,,21417292,0,0,7130,98593,21443458,101616018791165,21547662,101615997243503,27045498,5421540,76296,101616018800813,sensor_live_isolation_forest_02,sensor_live,2
30,41096,41224,101616019814384,101616609570861,198.566728266,199.156484743,True,[],isolation_forest,0.5045395247064507,0.45740836612172125,0,NORMAL,,21199219,0,0,7388,95352,21224848,101616636335453,21325218,101616615010235,26764592,5370504,68870,101616636344620,sensor_live_isolation_forest_02,sensor_live,2
31,41224,41352,101616637780468,101617227879353,199.18469435,199.774793235,True,[],isolation_forest,0.5045395247064507,0.45870240876160234,0,NORMAL,,20265350,0,0,7538,97519,20290795,101617253773836,20393925,101617233379911,25894483,5430484,70074,101617253782910,sensor_live_isolation_forest_02,sensor_live,2
32,41352,41480,101617255183239,101617844855664,199.802097121,200.391769546,True,[],isolation_forest,0.5045395247064507,0.46478493870606974,0,NORMAL,,21354088,0,0,7982,95092,21380569,101617871786496,21481143,101617850305353,26930832,5382319,67370,101617871796015,sensor_live_isolation_forest_02,sensor_live,2
33,41480,41608,101617873203418,101618463269843,200.4201173,201.010183725,True,[],isolation_forest,0.5045395247064507,0.46238803253467015,0,NORMAL,,21306996,0,0,7352,98444,21332571,101618490213139,21436589,101618468776550,26943296,5439337,67370,101618490222694,sensor_live_isolation_forest_02,sensor_live,2
34,41608,41736,101618491662727,101619081746414,201.038576609,201.628660296,True,[],isolation_forest,0.5045395247064507,0.4512014903349433,0,NORMAL,,21315959,0,0,7333,98111,21342330,101619108721987,21445607,101619087276380,26975573,5462725,67241,101619108731727,sensor_live_isolation_forest_02,sensor_live,2
35,41736,41864,101619110153094,101619699773468,201.657066976,202.24668735,True,[],isolation_forest,0.5045395247064507,0.4665701271105371,0,NORMAL,,21385089,0,0,7666,96537,21411255,101619726753559,21512977,101619705240582,26980091,5398244,68870,101619726763448,sensor_live_isolation_forest_02,sensor_live,2
36,41864,41992,101619728226444,101620318227930,202.275140326,202.865141812,True,[],isolation_forest,0.5045395247064507,0.46116258467069327,0,NORMAL,,21365755,0,0,7907,98759,21392256,101620345216207,21496403,101620323719804,26988277,5420096,71778,101620345225707,sensor_live_isolation_forest_02,sensor_live,2
37,41992,42120,101620346652388,101620936255043,202.89356627,203.483168925,True,[],isolation_forest,0.5045395247064507,0.4378406148638892,0,NORMAL,,21165608,0,0,6704,95814,21190275,101620963035062,21291756,101620941743306,26780019,5421189,67074,101620963043821,sensor_live_isolation_forest_02,sensor_live,2
38,42120,42248,101620964439317,101621554263158,203.511353199,204.10117704,True,[],isolation_forest,0.5045395247064507,0.45588434826720337,0,NORMAL,,20311018,0,0,6777,97926,20336185,101621580163790,20439536,101621559724254,25900632,5392170,68926,101621580173679,sensor_live_isolation_forest_02,sensor_live,2
39,42248,42376,101621581601119,101622171359833,204.128515001,204.718273715,True,[],isolation_forest,0.5045395247064507,0.45854706656412936,0,NORMAL,,21567681,0,0,7963,98833,21594996,101622198570165,21699551,101622176870614,27210332,5438911,71870,101622198578665,sensor_live_isolation_forest_02,sensor_live,2
40,42376,42504,101622199591810,101622789413988,204.746505692,205.33632787,True,[],isolation_forest,0.5045395247064507,0.4599173649446228,0,NORMAL,,21479348,0,0,7463,96685,21506514,101622816492042,21608403,101622794883639,27078054,5402559,67092,101622816501302,sensor_live_isolation_forest_02,sensor_live,2
41,42504,42632,101622817941464,101623407922180,205.364855346,205.954836062,True,[],isolation_forest,0.5045395247064507,0.4700276571514401,0,NORMAL,,21363496,0,0,7296,98352,21389829,101623434914068,21493681,101623413420387,26991888,5429726,68481,101623434923420,sensor_live_isolation_forest_02,sensor_live,2
42,42632,42760,101623436345360,101624026501134,205.983259242,206.573415016,True,[],isolation_forest,0.5045395247064507,0.46143137104019805,0,NORMAL,,21269034,0,0,7833,107722,21295478,101624053367967,21408571,101624031959396,26866833,5387596,70666,101624053376930,sensor_live_isolation_forest_02,sensor_live,2
43,42760,42888,101624054821240,101624644789645,206.601735122,207.191703527,True,[],isolation_forest,0.5045395247064507,0.4602746722765835,0,NORMAL,,21288034,0,0,7240,93518,21314811,101624671669163,21413589,101624650255574,26879518,5399725,66204,101624671678533,sensor_live_isolation_forest_02,sensor_live,2
44,42888,43016,101624673085900,101625263339286,207.219999782,207.810253168,True,[],isolation_forest,0.5045395247064507,0.45213502480987156,0,NORMAL,,20968091,0,0,7370,95852,20993775,101625289934176,21095090,101625268839086,26594890,5433245,66555,101625289942991,sensor_live_isolation_forest_02,sensor_live,2
45,43016,43144,101625291336116,101625881070506,207.838249998,208.427984388,True,[],isolation_forest,0.5045395247064507,0.4677089295454708,0,NORMAL,,20057278,0,0,6852,97093,20082093,101625906743547,20184371,101625886559176,25673041,5416208,72462,101625906752787,sensor_live_isolation_forest_02,sensor_live,2
46,43144,43272,101625907718914,101626499331004,208.454632796,209.046244886,True,[],isolation_forest,0.5045395247064507,0.4647896433242846,0,NORMAL,,21237201,0,0,7148,99555,21263034,101626526232911,21367756,101626504865155,26901907,5459188,74963,101626526241929,sensor_live_isolation_forest_02,sensor_live,2
47,43272,43400,101626527646500,101627117931113,209.074560382,209.664844995,True,[],isolation_forest,0.5045395247064507,0.45916779329632307,0,NORMAL,,21332868,0,0,7444,96093,21359404,101627144944502,21460645,101627123483857,27013389,5485096,67648,101627144954206,sensor_live_isolation_forest_02,sensor_live,2
48,43400,43528,101627146366276,101627734235842,209.693280158,210.281149724,True,[],isolation_forest,0.5045395247064507,0.4740224605611165,0,NORMAL,,21346367,0,0,7519,95611,21372645,101627761149009,21474015,101627739674994,26913167,5372133,67019,101627761158490,sensor_live_isolation_forest_02,sensor_live,2
49,43528,43656,101627762598505,101628352726936,210.309512387,210.899640818,True,[],isolation_forest,0.5045395247064507,0.4743421127740437,0,NORMAL,,21357923,0,0,7148,97389,21384608,101628379746047,21487404,101628358258643,27019111,5463745,67962,101628379755621,sensor_live_isolation_forest_02,sensor_live,2
50,43656,43784,101628381208191,101628971133200,210.928122073,211.518047082,True,[],isolation_forest,0.5045395247064507,0.4650087616720978,0,NORMAL,,21440645,0,0,7222,96259,21467311,101628998289903,21568885,101628976721018,27156703,5508244,79574,101628998299792,sensor_live_isolation_forest_02,sensor_live,2
51,43784,43912,101628999706325,101629589589205,211.546620207,212.136503087,True,[],isolation_forest,0.5045395247064507,0.44744331919938535,0,NORMAL,,20989647,0,0,7333,96574,21015942,101629616167187,21118164,101629595049023,26577982,5389022,70796,101629616176576,sensor_live_isolation_forest_02,sensor_live,2
52,43912,44040,101629616261039,101630208346322,212.163174921,212.755260204,True,[],isolation_forest,0.5045395247064507,0.4681421433614212,0,NORMAL,,21380016,0,0,7296,97963,21406349,101630235398859,21509793,101630213889066,27052537,5467726,75018,101630235408544,sensor_live_isolation_forest_02,sensor_live,2
53,44040,44168,101630236818633,101630825191446,212.783732515,213.372105328,True,[],isolation_forest,0.5045395247064507,0.4473543879720909,0,NORMAL,,21380109,0,0,7462,100037,21406460,101630852274576,21511960,101630830762616,27083130,5497263,73907,101630852284631,sensor_live_isolation_forest_02,sensor_live,2
54,44168,44296,101630853689572,101631443644049,213.400603454,213.990557931,True,[],isolation_forest,0.5045395247064507,0.4592372936895378,0,NORMAL,,21294793,0,0,6815,98333,21320034,101631470579919,21423793,101631449156126,26935870,5437725,74352,101631470589697,sensor_live_isolation_forest_02,sensor_live,2
55,44296,44424,101631471993675,101632062271079,214.018907557,214.609184961,True,[],isolation_forest,0.5045395247064507,0.4642656047446184,0,NORMAL,,21696497,0,0,7666,114518,21723256,101632090365243,21843329,101632068521914,28094164,6162205,88630,101632090374465,sensor_live_isolation_forest_02,sensor_live,2
56,44424,44552,101632091788276,101632679877965,214.638702158,215.226791847,True,[],isolation_forest,0.5045395247064507,0.4711006267194716,0,NORMAL,,21541034,0,0,7573,109796,21567385,101632707064835,21682718,101632685382117,27186870,5436967,67185,101632707075205,sensor_live_isolation_forest_02,sensor_live,2
57,44552,44680,101632708493387,101633298678146,215.255407269,215.845592028,True,[],isolation_forest,0.5045395247064507,0.46119781609712873,0,NORMAL,,21546015,0,0,7389,111833,21571126,101633325912238,21688348,101633304223890,27234092,5474855,70889,101633325921256,sensor_live_isolation_forest_02,sensor_live,2
58,44680,44808,101633326896902,101633916535664,215.873810784,216.463449546,True,[],isolation_forest,0.5045395247064507,0.4646770930294799,0,NORMAL,,20638462,0,0,7445,112555,20664833,101633942885870,20782832,101633922103038,26350206,5492707,74667,101633942895148,sensor_live_isolation_forest_02,sensor_live,2
59,44808,44936,101633944305051,101634534277610,216.491218933,217.081191492,True,[],isolation_forest,0.5045395247064507,0.4555198405317035,0,NORMAL,,21629812,0,0,8000,108185,21656848,101634561593739,21770385,101634539823354,27316129,5473707,72037,101634561602776,sensor_live_isolation_forest_02,sensor_live,2
60,44936,45064,101634563053050,101635153109666,217.109966932,217.700023548,True,[],isolation_forest,0.5045395247064507,0.4722617329411365,0,NORMAL,,21526775,0,0,7315,109815,21553422,101635180352610,21668867,101635158683743,27242944,5502892,71185,101635180362388,sensor_live_isolation_forest_02,sensor_live,2
61,45064,45192,101635181820384,101635770261784,217.728734266,218.317175666,True,[],isolation_forest,0.5045395247064507,0.4667009131820719,0,NORMAL,,20206982,0,0,7259,96667,20231889,101635795891510,20333667,101635775557843,25629726,5223837,72222,101635795900770,sensor_live_isolation_forest_02,sensor_live,2
62,45192,45320,101635797360562,101636388899139,218.344274444,218.935813021,True,[],isolation_forest,0.5045395247064507,0.4776500974495563,0,NORMAL,,20303685,0,0,7112,98296,20328704,101636414927587,20432167,101636394495420,26028448,5533893,62388,101636414937031,sensor_live_isolation_forest_02,sensor_live,2
63,45320,45448,101636416402546,101637006638333,218.963316428,219.553552215,True,[],isolation_forest,0.5045395247064507,0.4699700232180117,0,NORMAL,,21691738,0,0,8073,103482,21719553,101637034198777,21828960,101637012369817,27560444,5649022,82462,101637034208703,sensor_live_isolation_forest_02,sensor_live,2
64,45448,45576,101637035222126,101637625066692,219.582136008,220.171980574,True,[],isolation_forest,0.5045395247064507,0.4597802331272324,0,NORMAL,,20904962,0,0,6889,100407,20930017,101637651629102,21035499,101637630593603,26562410,5456412,70499,101637651638750,sensor_live_isolation_forest_02,sensor_live,2
65,45576,45704,101637653040654,101638243002925,220.199954536,220.789916807,True,[],isolation_forest,0.5045395247064507,0.46331277638244617,0,NORMAL,,20242334,0,0,7519,93407,20267815,101638268609893,20366482,101638248243411,25606968,5175375,65111,101638268619023,sensor_live_isolation_forest_02,sensor_live,2
66,45704,45832,101638270101815,101638860627272,220.817015697,221.407541154,True,[],isolation_forest,0.5045395247064507,0.47137162589492204,0,NORMAL,,21718460,0,0,7518,100870,21745182,101638888091753,21851070,101638866240683,27464481,5532633,80778,101638888101772,sensor_live_isolation_forest_02,sensor_live,2
67,45832,45960,101638889575583,101639478201601,221.436489465,222.025115483,True,[],isolation_forest,0.5045395247064507,0.4597184967799558,0,NORMAL,,21440906,0,0,7443,96167,21467498,101639505326973,21569035,101639483757938,27125372,5488930,67407,101639505336343,sensor_live_isolation_forest_02,sensor_live,2
68,45960,46088,101639505449287,101640097233485,222.052363169,222.644147367,True,[],isolation_forest,0.5045395247064507,0.44524525501969353,0,NORMAL,,21410794,0,0,8148,102018,21438313,101640124381523,21545942,101640102835581,27148038,5521022,81074,101640124391226,sensor_live_isolation_forest_02,sensor_live,2
69,46088,46216,101640125810130,101640715957481,222.672724012,223.262871363,True,[],isolation_forest,0.5045395247064507,0.47149161760486186,0,NORMAL,,21516886,0,0,7296,101444,21543183,101640743218093,21650423,101640721567670,27260612,5528504,81685,101640743227797,sensor_live_isolation_forest_02,sensor_live,2
70,46216,46344,101640744242072,101641334133092,223.291155954,223.881046974,True,[],isolation_forest,0.5045395247064507,0.4750389453035448,0,NORMAL,,21572460,0,0,7592,98704,21598775,101641361348648,21703016,101641339645632,27215556,5442670,69870,101641361358037,sensor_live_isolation_forest_02,sensor_live,2
71,46344,46472,101641362802218,101641950659283,223.9097161,224.497573165,True,[],isolation_forest,0.5045395247064507,0.46454590234490917,0,NORMAL,,21231184,0,0,6592,98648,21256220,101641977533673,21360553,101641956173120,26874390,5442911,70926,101641977542914,sensor_live_isolation_forest_02,sensor_live,2
72,46472,46600,101641978935596,101642568709526,224.525849478,225.115623408,True,[],isolation_forest,0.5045395247064507,0.449400296886871,0,NORMAL,,20333131,0,0,6889,98611,20358316,101642594676679,20462593,101642574214086,25967153,5436634,67926,101642594685586,sensor_live_isolation_forest_02,sensor_live,2
73,46600,46728,101642596092564,101643187657825,225.143006446,225.734571707,True,[],isolation_forest,0.5045395247064507,0.4554955256564583,0,NORMAL,,20233390,0,0,8185,102315,20260112,101643213396534,20368205,101643193028329,25738709,5291430,79074,101643213405904,sensor_live_isolation_forest_02,sensor_live,2
74,46728,46856,101643214889400,101643805222240,225.761803282,226.352136122,True,[],isolation_forest,0.5045395247064507,0.4573336507228704,0,NORMAL,,20219428,0,0,7574,99945,20245279,101643831199319,20350835,101643810848484,25977079,5560856,65388,101643831208319,sensor_live_isolation_forest_02,sensor_live,2
75,46856,46984,101643832676259,101644424106393,226.379590141,226.971020275,True,[],isolation_forest,0.5045395247064507,0.4538125114934554,0,NORMAL,,20180057,0,0,7518,103611,20206390,101644450224323,20315464,101644429908859,26117930,5730207,72259,101644450233120,sensor_live_isolation_forest_02,sensor_live,2
76,46984,47112,101644451689153,101645042867105,226.998603035,227.589780987,True,[],isolation_forest,0.5045395247064507,0.4617553977572443,0,NORMAL,,20118113,0,0,7648,99481,20144076,101645068789499,20249242,101645048540257,25922394,5604281,68871,101645068798702,sensor_live_isolation_forest_02,sensor_live,2
77,47112,47240,101645069809200,101645659852989,227.616723082,228.206766871,True,[],isolation_forest,0.5045395247064507,0.46697690835326244,0,NORMAL,,20332742,0,0,7889,99073,20360242,101645685959605,20464538,101645665495067,26106616,5575652,66426,101645685969179,sensor_live_isolation_forest_02,sensor_live,2
78,47240,47368,101645687016750,101646278889240,228.233930632,228.825803122,True,[],isolation_forest,0.5045395247064507,0.4814760181573541,0,NORMAL,,21299851,0,0,7481,99426,21326110,101646305915186,21430980,101646284484206,27025946,5517318,77648,101646305924908,sensor_live_isolation_forest_02,sensor_live,2
79,47368,47496,101646306896035,101646896643773,228.853809917,229.443557655,True,[],isolation_forest,0.5045395247064507,0.45957536625696516,0,NORMAL,,20467946,0,0,7296,102814,20493630,101646922841092,20601685,101646902239407,26197319,5515801,79833,101646922850685,sensor_live_isolation_forest_02,sensor_live,2
