name,start_s,end_s,xyz_points,host_rate_xyz_per_s,mean_x_g,mean_y_g,mean_z_g,std_x_g,std_y_g,std_z_g,ac_rms_x_g,ac_rms_y_g,ac_rms_z_g,min_x_g,min_y_g,min_z_g,max_x_g,max_y_g,max_z_g,vector_ac_rms_g,magnitude_ac_rms_g,mean_vector_norm_g
START_1,0,5,1035,206.82949628539245,-0.15337739130434738,0.017122318840579655,-1.0916005797101467,0.023183577624162666,0.01296734786164877,0.011986722108663063,0.023183577624162666,0.01296734786164877,0.011986722108663063,-0.2145,-0.023399999999999997,-1.1465999999999998,-0.09359999999999999,0.0624,-1.0413,0.029142956077427975,0.01117140007331803,1.1024561776276343
START_1,5,10,1034,206.8739690310337,-0.15306557059961304,0.016905029013539585,-1.0919434235976815,0.02296170881859127,0.012797768401678008,0.010770956375288115,0.02296170881859127,0.012797768401678008,0.010770956375288115,-0.21059999999999998,-0.0156,-1.1193,-0.09749999999999999,0.0624,-1.053,0.02840838695123539,0.009620152284709138,1.1027489692795724
START_1,10,15,1035,206.9447377704309,-0.15305333333333324,0.016775652173913,-1.0920640579710155,0.023219424568552197,0.01268992473547657,0.011347858678021567,0.023219424568552197,0.01268992473547657,0.011347858678021567,-0.21059999999999998,-0.011699999999999999,-1.131,-0.09749999999999999,0.058499999999999996,-1.053,0.028791487694509555,0.010351913219251406,1.102864747855523
START_1,15,20,1034,206.94131704712942,-0.15302408123791092,0.0169842359767891,-1.0915473887814333,0.02320967896496724,0.01295343964709489,0.011304883230901645,0.02320967896496724,0.01295343964709489,0.011304883230901645,-0.2067,-0.0156,-1.131,-0.10139999999999999,0.054599999999999996,-1.0569,0.02888392600066853,0.01027188012456899,1.1023522738516882
START_1,20,25,1035,206.93010900286242,-0.15335101449275337,0.01683217391304341,-1.0920489855072486,0.02314981091386313,0.012532459058648884,0.011173055340302844,0.02314981091386313,0.012532459058648884,0.011173055340302844,-0.20279999999999998,-0.0156,-1.1232,-0.0897,0.0624,-1.053,0.02859743766566853,0.010173287249072674,1.1028920357278886
START_1,25,30,1033,206.93657034446343,-0.15352710551790866,0.016385285575992198,-1.091920716360117,0.023476541009671698,0.012994528461355037,0.012645640103230006,0.023476541009671698,0.012994528461355037,0.012645640103230006,-0.2067,-0.0195,-1.1349,-0.09359999999999999,0.0663,-1.0334999999999999,0.029663411154689952,0.011701337868584683,1.1027827984369836
START_2,0,5,1035,206.91670441472388,-0.1538747826086952,0.014982028985507176,-1.0917211594202931,0.026012053538707128,0.012424303973122629,0.012496656426586619,0.026012053538707128,0.012424303973122629,0.012496656426586619,-0.21839999999999998,-0.023399999999999997,-1.131,-0.09749999999999999,0.058499999999999996,-1.0491,0.03141904964128081,0.011008353208905874,1.1026137128847004
START_2,5,10,1035,207.01065080889697,-0.15349797101449247,0.014982028985507179,-1.0920866666666693,0.025998873363533903,0.011983576754260233,0.012823865734136047,0.025998873363533903,0.011983576754260233,0.012823865734136047,-0.21839999999999998,-0.023399999999999997,-1.1349,-0.0819,0.054599999999999996,-1.053,0.03136875930548527,0.011216457555542758,1.1029231051207538
START_2,10,15,1034,206.94137288923798,-0.1536803675048351,0.014570309477756243,-1.0912267891682805,0.02614658817090791,0.011939520323371158,0.012578734162605508,0.02614658817090791,0.011939520323371158,0.012578734162605508,-0.2145,-0.0156,-1.1388,-0.09749999999999999,0.054599999999999996,-1.0491,0.031375480421258116,0.011164249179905838,1.1020915817994499
START_2,15,20,1035,207.0102388947868,-0.15346782608695636,0.015128985507246331,-1.091559130434783,0.0263106212569425,0.012619059675219332,0.012837200667707325,0.0263106212569425,0.012619059675219332,0.012837200667707325,-0.21059999999999998,-0.023399999999999997,-1.1349,-0.09359999999999999,0.058499999999999996,-1.0452,0.03187919664916304,0.01130816711705758,1.1023985645318457
