name,axis,frequency_hz,psd_g2_per_hz
START_1,x_g,0.0,1.0600341318958828e-07
START_1,x_g,0.40409322605703946,5.018676219857298e-07
START_1,x_g,0.8081864521140789,7.735931116217658e-07
START_1,x_g,1.2122796781711185,8.104886791611892e-07
START_1,x_g,1.6163729042281578,4.340417843308284e-07
START_1,x_g,2.020466130285197,5.001405799915264e-07
START_1,x_g,2.424559356342237,7.066206751764955e-07
START_1,x_g,2.8286525823992763,7.506513455829398e-07
START_1,x_g,3.2327458084563157,6.593758785011819e-07
START_1,x_g,3.636839034513355,5.391297380260719e-07
START_1,x_g,4.040932260570394,5.610185602329042e-07
START_1,x_g,4.445025486627434,6.959318970244626e-07
START_1,x_g,4.849118712684474,7.14621631445584e-07
START_1,x_g,5.253211938741513,4.790949211394591e-07
START_1,x_g,5.657305164798553,5.908692172907926e-07
START_1,x_g,6.061398390855592,4.5092953743676374e-07
START_1,x_g,6.465491616912631,7.0829610200235e-07
START_1,x_g,6.869584842969671,7.800176386539068e-07
START_1,x_g,7.27367806902671,8.922264010544437e-07
START_1,x_g,7.677771295083749,8.375246954094345e-07
START_1,x_g,8.081864521140789,5.430065661995795e-07
START_1,x_g,8.485957747197828,5.286454179932396e-07
START_1,x_g,8.890050973254867,7.449545139484175e-07
START_1,x_g,9.294144199311907,4.2506631032644294e-07
START_1,x_g,9.698237425368948,9.477904061094376e-07
START_1,x_g,10.102330651425987,1.3866352548966995e-06
START_1,x_g,10.506423877483027,7.635089957883543e-07
START_1,x_g,10.910517103540066,6.921972095055337e-07
START_1,x_g,11.314610329597105,5.089769062317432e-07
START_1,x_g,11.718703555654145,5.254015057279368e-07
START_1,x_g,12.122796781711184,4.82089826144478e-07
START_1,x_g,12.526890007768223,2.7763032360841576e-07
START_1,x_g,12.930983233825263,4.781586964405448e-07
START_1,x_g,13.335076459882302,6.026515907870273e-07
START_1,x_g,13.739169685939341,5.121086625053559e-07
START_1,x_g,14.14326291199638,5.829518649523595e-07
START_1,x_g,14.54735613805342,4.990037350048927e-07
START_1,x_g,14.95144936411046,5.190307372562642e-07
START_1,x_g,15.355542590167499,6.531238742379895e-07
START_1,x_g,15.759635816224538,4.974091532792312e-07
START_1,x_g,16.163729042281577,4.116076607278834e-07
START_1,x_g,16.567822268338617,4.94974015453999e-07
START_1,x_g,16.971915494395656,3.5003335289996446e-07
START_1,x_g,17.376008720452695,4.468940040859803e-07
START_1,x_g,17.780101946509735,7.393819692779504e-07
START_1,x_g,18.184195172566774,5.902472124970301e-07
START_1,x_g,18.588288398623813,4.323785466660621e-07
START_1,x_g,18.992381624680853,1.068457791432845e-06
START_1,x_g,19.396474850737896,1.1365710755573098e-06
START_1,x_g,19.800568076794935,7.23240213664261e-07
START_1,x_g,20.204661302851974,8.785888695887584e-07
START_1,x_g,20.608754528909014,6.551340372411243e-07
START_1,x_g,21.012847754966053,5.246897359560647e-07
START_1,x_g,21.416940981023092,6.996634210901579e-07
START_1,x_g,21.82103420708013,5.863730563245718e-07
START_1,x_g,22.22512743313717,7.739177205599101e-07
START_1,x_g,22.62922065919421,9.477034433259091e-07
START_1,x_g,23.03331388525125,7.314628448493098e-07
START_1,x_g,23.43740711130829,6.178883627925147e-07
START_1,x_g,23.84150033736533,9.464554678105977e-07
START_1,x_g,24.245593563422368,9.623394326397125e-07
START_1,x_g,24.649686789479407,7.080619833342828e-07
START_1,x_g,25.053780015536447,4.5892884235082615e-07
START_1,x_g,25.457873241593486,6.911653732806054e-07
START_1,x_g,25.861966467650525,6.495654116663494e-07
START_1,x_g,26.266059693707565,5.953681798105018e-07
START_1,x_g,26.670152919764604,9.337444316078302e-07
START_1,x_g,27.074246145821643,9.757580676180241e-07
START_1,x_g,27.478339371878683,5.771692882491594e-07
START_1,x_g,27.882432597935722,4.4575780240838715e-07
START_1,x_g,28.28652582399276,5.984717108809219e-07
START_1,x_g,28.6906190500498,8.163622859342117e-07
START_1,x_g,29.09471227610684,8.322916010074197e-07
START_1,x_g,29.49880550216388,4.93904089544433e-07
START_1,x_g,29.90289872822092,6.222985587581166e-07
START_1,x_g,30.306991954277958,6.430904718707944e-07
START_1,x_g,30.711085180334997,5.323069556686222e-07
START_1,x_g,31.115178406392037,5.650176937288992e-07
START_1,x_g,31.519271632449076,7.158981526695025e-07
START_1,x_g,31.923364858506115,6.156169812293699e-07
START_1,x_g,32.327458084563155,7.422824523093837e-07
START_1,x_g,32.7315513106202,8.705091134994128e-07
START_1,x_g,33.13564453667723,1.0435403369693695e-06
START_1,x_g,33.539737762734276,8.859240459633008e-07
START_1,x_g,33.94383098879131,8.192507205398564e-07
START_1,x_g,34.347924214848355,7.787721147351211e-07
START_1,x_g,34.75201744090539,6.742426182327791e-07
START_1,x_g,35.156110666962434,6.465997272323965e-07
START_1,x_g,35.56020389301947,7.660732653490992e-07
START_1,x_g,35.96429711907651,6.880634544205236e-07
START_1,x_g,36.36839034513355,4.272391246830909e-07
START_1,x_g,36.77248357119059,4.037968038005826e-07
START_1,x_g,37.17657679724763,6.845288225776906e-07
START_1,x_g,37.58067002330467,6.369764153216118e-07
START_1,x_g,37.984763249361706,4.995029888379771e-07
START_1,x_g,38.38885647541875,7.944876203496234e-07
START_1,x_g,38.79294970147579,9.795913101412994e-07
START_1,x_g,39.19704292753283,3.5845632818337282e-06
START_1,x_g,39.60113615358987,3.0077155184794268e-06
START_1,x_g,40.005229379646906,4.839044683737592e-07
START_1,x_g,40.40932260570395,5.97714189618522e-07
START_1,x_g,40.813415831760985,6.242142588079086e-07
START_1,x_g,41.21750905781803,6.999757209445768e-07
START_1,x_g,41.62160228387506,9.356334316566948e-07
START_1,x_g,42.025695509932106,6.043206207271358e-07
START_1,x_g,42.42978873598914,5.072655577755294e-07
START_1,x_g,42.833881962046185,6.98209550435773e-07
START_1,x_g,43.23797518810322,8.461434389692738e-07
START_1,x_g,43.64206841416026,7.750636712842363e-07
START_1,x_g,44.0461616402173,7.139512317152963e-07
START_1,x_g,44.45025486627434,7.103630319651481e-07
START_1,x_g,44.85434809233138,7.560668137334449e-07
START_1,x_g,45.25844131838842,6.85545754409899e-07
START_1,x_g,45.66253454444546,6.298642087164336e-07
START_1,x_g,46.0666277705025,5.10912305766312e-07
START_1,x_g,46.470720996559535,6.367722227960544e-07
START_1,x_g,46.87481422261658,7.7294950973551e-07
START_1,x_g,47.278907448673614,6.878881339264215e-07
START_1,x_g,47.68300067473066,7.027867093917629e-07
START_1,x_g,48.08709390078769,7.085598067848251e-07
START_1,x_g,48.491187126844736,1.0694948610822498e-06
START_1,x_g,48.89528035290177,7.477032387164545e-05
START_1,x_g,49.299373578958814,0.0006092551143013039
START_1,x_g,49.70346680501585,0.0003198475559787193
START_1,x_g,50.10756003107289,4.668766060623839e-06
START_1,x_g,50.51165325712993,7.617148019697196e-07
START_1,x_g,50.91574648318697,4.0236587459440334e-07
START_1,x_g,51.31983970924401,5.00343583857235e-07
START_1,x_g,51.72393293530105,5.827510805560849e-07
START_1,x_g,52.12802616135809,7.622989409505201e-07
START_1,x_g,52.53211938741513,6.156230305968398e-07
START_1,x_g,52.93621261347217,6.478504751648125e-07
START_1,x_g,53.34030583952921,6.128646706885414e-07
START_1,x_g,53.74439906558625,5.490266983296247e-07
START_1,x_g,54.14849229164329,5.784757758695569e-07
START_1,x_g,54.55258551770033,8.89840536566519e-07
START_1,x_g,54.956678743757365,8.832553648565571e-07
START_1,x_g,55.36077196981441,7.333256520536059e-07
START_1,x_g,55.764865195871444,6.867507070064108e-07
START_1,x_g,56.16895842192849,9.172998000103198e-07
START_1,x_g,56.57305164798552,1.0486237922437525e-06
START_1,x_g,56.977144874042565,7.011939354580478e-07
START_1,x_g,57.3812381000996,4.948469037234786e-07
START_1,x_g,57.785331326156644,6.43857025483165e-07
START_1,x_g,58.18942455221368,8.676491825784217e-07
START_1,x_g,58.59351777827072,8.74539720584555e-07
START_1,x_g,58.99761100432776,1.0633199953712012e-06
START_1,x_g,59.4017042303848,3.354584263409296e-06
START_1,x_g,59.80579745644184,1.8337045187142624e-06
START_1,x_g,60.20989068249888,7.702495205452937e-07
START_1,x_g,60.613983908555916,6.155255165211785e-07
START_1,x_g,61.01807713461296,5.175757795456568e-07
START_1,x_g,61.422170360669995,6.906441469137674e-07
START_1,x_g,61.82626358672704,8.48917345756446e-07
START_1,x_g,62.23035681278407,8.69928714826848e-07
START_1,x_g,62.634450038841116,9.364675736331715e-07
START_1,x_g,63.03854326489815,1.2168218596368982e-06
START_1,x_g,63.442636490955195,9.827169336704694e-07
START_1,x_g,63.84672971701223,6.950710636289382e-07
START_1,x_g,64.25082294306927,6.674295806188394e-07
START_1,x_g,64.65491616912631,8.903297677605705e-07
START_1,x_g,65.05900939518335,8.480914723739421e-07
START_1,x_g,65.4631026212404,7.282782846346999e-07
START_1,x_g,65.86719584729744,6.927682424239191e-07
START_1,x_g,66.27128907335447,8.624828081555526e-07
START_1,x_g,66.67538229941151,1.4956583581698929e-06
START_1,x_g,67.07947552546855,1.6698658913764447e-06
START_1,x_g,67.4835687515256,1.3024216237396643e-06
START_1,x_g,67.88766197758262,1.3230470099345338e-06
START_1,x_g,68.29175520363967,1.800936013229245e-06
START_1,x_g,68.69584842969671,3.7559268511624952e-06
START_1,x_g,69.09994165575375,2.3142398385145625e-06
START_1,x_g,69.50403488181078,1.0358880597620864e-06
START_1,x_g,69.90812810786782,8.491410958620253e-07
START_1,x_g,70.31222133392487,1.160148590871777e-06
START_1,x_g,70.71631455998191,1.0383591966872991e-06
START_1,x_g,71.12040778603894,9.26193448472574e-07
START_1,x_g,71.52450101209598,1.3514099802820883e-06
START_1,x_g,71.92859423815302,1.6173306913991094e-06
START_1,x_g,72.33268746421007,1.257842398836824e-06
START_1,x_g,72.7367806902671,1.0229917469991375e-06
START_1,x_g,73.14087391632414,1.1714673104574411e-06
START_1,x_g,73.54496714238118,1.1038186205212022e-06
START_1,x_g,73.94906036843823,1.0679920391788677e-06
START_1,x_g,74.35315359449525,1.174606605753832e-06
START_1,x_g,74.7572468205523,1.050625400008907e-06
START_1,x_g,75.16134004660934,1.2958332122252167e-06
START_1,x_g,75.56543327266638,1.0386526987234877e-06
START_1,x_g,75.96952649872341,1.0100149803526814e-06
START_1,x_g,76.37361972478045,9.481006000376744e-07
START_1,x_g,76.7777129508375,7.761305991819978e-07
START_1,x_g,77.18180617689454,1.4588251667266875e-06
START_1,x_g,77.58589940295158,1.2559088650588247e-06
START_1,x_g,77.98999262900861,1.0697403244409245e-06
START_1,x_g,78.39408585506565,1.187047241416303e-06
START_1,x_g,78.7981790811227,9.990743880517403e-07
START_1,x_g,79.20227230717974,1.2963672142068987e-06
START_1,x_g,79.60636553323677,1.6887132944081737e-06
START_1,x_g,80.01045875929381,1.9578915200466004e-06
START_1,x_g,80.41455198535085,1.1435843228769354e-06
START_1,x_g,80.8186452114079,9.465657281710525e-07
START_1,x_g,81.22273843746493,1.4625333987093069e-06
START_1,x_g,81.62683166352197,1.6800036324053744e-06
START_1,x_g,82.03092488957901,9.893167861710159e-07
START_1,x_g,82.43501811563605,1.030240451005006e-06
START_1,x_g,82.83911134169308,1.2014361687209893e-06
START_1,x_g,83.24320456775013,1.335920567713643e-06
START_1,x_g,83.64729779380717,1.3099723495118494e-06
START_1,x_g,84.05139101986421,1.5580214418270651e-06
START_1,x_g,84.45548424592124,1.4222944763764816e-06
START_1,x_g,84.85957747197828,1.9682660456294944e-06
START_1,x_g,85.26367069803533,1.6435940815289025e-06
START_1,x_g,85.66776392409237,1.3205672179982278e-06
START_1,x_g,86.0718571501494,1.9685834090124628e-06
START_1,x_g,86.47595037620644,1.8008172329150978e-06
START_1,x_g,86.88004360226348,1.5620995010390699e-06
START_1,x_g,87.28413682832053,1.6792375308924605e-06
START_1,x_g,87.68823005437756,2.796968493920162e-06
START_1,x_g,88.0923232804346,2.023542257187373e-06
START_1,x_g,88.49641650649164,3.0365378515003447e-06
START_1,x_g,88.90050973254868,2.5814369264207508e-06
START_1,x_g,89.30460295860571,1.935586874439711e-06
START_1,x_g,89.70869618466276,2.4439941893703107e-06
START_1,x_g,90.1127894107198,2.6853228659790475e-06
START_1,x_g,90.51688263677684,2.1781582627590353e-06
START_1,x_g,90.92097586283388,2.0979923381273667e-06
START_1,x_g,91.32506908889091,2.675123722930699e-06
START_1,x_g,91.72916231494796,2.6720837432056306e-06
START_1,x_g,92.133255541005,3.3344084292220545e-06
START_1,x_g,92.53734876706204,3.7952264935896005e-06
START_1,x_g,92.94144199311907,3.702256511266737e-06
START_1,x_g,93.34553521917611,4.194871862578476e-06
START_1,x_g,93.74962844523316,5.065120865656222e-06
START_1,x_g,94.1537216712902,4.241592545097071e-06
START_1,x_g,94.55781489734723,3.995202266308644e-06
START_1,x_g,94.96190812340427,2.968336139701834e-06
START_1,x_g,95.36600134946131,2.3352438986482075e-06
START_1,x_g,95.77009457551836,3.917583254102504e-06
START_1,x_g,96.17418780157539,3.972401040061048e-06
START_1,x_g,96.57828102763243,2.5542118783085747e-06
START_1,x_g,96.98237425368947,2.780295561992807e-06
START_1,x_g,97.38646747974651,2.4096253463413848e-06
START_1,x_g,97.79056070580354,1.9883471876527827e-06
