name,csv,csv_sha256,sidecar_sha256,started_utc,finished_utc,state,pwm_percent,mounting_id,xyz_points,individual_axis_values,requested_duration_s,first_to_last_point_s,timestamp_last_relative_s,host_observed_rate_xyz_per_s,linear_fit_rate_xyz_per_s,nominal_odr_hz,rate_difference_percent,nominal_expected_count_for_requested_duration,nominal_sensor_time_last_s,host_interval_mean_ms,host_interval_min_ms,host_interval_p50_ms,host_interval_p99_ms,host_interval_max_ms,fit_time_residual_p99_abs_ms,timestamp_representations_max_disagreement_s,trial,actual_first_point_after_setting_s,actual_last_point_after_setting_s,timing_needs_review,session,running_observation_source,running_observation_reported_after_capture,mean_x_g,mean_y_g,mean_z_g,std_x_g,std_y_g,std_z_g,ac_rms_x_g,ac_rms_y_g,ac_rms_z_g,min_x_g,min_y_g,min_z_g,max_x_g,max_y_g,max_z_g,vector_ac_rms_g,magnitude_ac_rms_g,mean_vector_norm_g,quality_samples,quality_observed_host_rate_hz,quality_host_interval_p50_ms,quality_host_interval_p99_ms,quality_host_interval_max_ms,quality_host_intervals_over_2_periods,quality_nonmonotonic_host_intervals,quality_fifo_depth_max,quality_overrun_flagged_samples,quality_gap_flagged_samples,quality_saturated_samples,quality_consecutive_equal_xyz_fraction,quality_lost_samples_exact,quality_limits
START_1,data/pwm75_restarts_20260910_085357/operating75_start1_20260910_085716_592083.csv,dfabdc436a8468c0687a25189aacf7a68953a0b7b5294f4ec8712490e230f5c1,1c90fb70a39a4e53200c59b05f35191fcb724c3130367cd4dafc02fbd32b2d63,2026-09-10T08:57:16.617542+00:00,2026-09-10T08:57:46.691596+00:00,controlled_operating75_independent_restart_pilot,75.0,fan_frame_corner_adxl345_gpio18_v1,6206,18618,30,29.990952195,30.002242771,206.89573174120423,206.90523347528327,200,3.447865870602107,6000,31.025,4.833352489121676,2.017978,5.588103,5.719091120000001,10.941614,1.376587725183409,3.552713678800501e-15,1,60.164304431,90.155256626,True,results/pwm75_restarts_20260910_085357/start_1.json,results/pwm75_restarts_20260910_085357/start_1.json,False,-0.1532330486625846,0.016834224943602965,-1.0918542056074765,0.0232013700592525,0.012825659420791849,0.011555971800176633,0.0232013700592525,0.012825659420791849,0.011555971800176633,-0.2145,-0.023399999999999997,-1.1465999999999998,-0.0897,0.0663,-1.0334999999999999,0.028919571166443715,0.010572475162434255,1.1026828032732783,6206,206.89573174120423,5.588102999999999,5.719091120000001,10.941614000000001,1,0,2,0,0,0,0.00016116035455278002,,"FIFO flags detect possible loss, not exact counts; host intervals are not sensor conversion intervals."
START_2,data/pwm75_restarts_20260910_085357/operating75_start2_20260910_091313_865178.csv,9054e9873b8ae2b8772d944533ad2f70c8faeafd9ccbd5d236672daf6a23eac9,8419050969873dcdc201f0fb58b998b6296aa84d914d07f492a195d9f5d2ea2b,2026-09-10T09:13:13.893897+00:00,2026-09-10T09:13:43.971418+00:00,operating75_restart_pilot_visual_observation_pending,75.0,fan_frame_corner_adxl345_gpio18_v1,6207,18621,30,29.990323508,30.001644484,206.93341298384237,206.94662376066148,200,3.4667064919211787,6000,31.03,4.832472366741863,2.126002,5.5897095,5.70074745,7.711249,1.0183673570571008,3.552713678800501e-15,2,60.097605228,90.087928736,False,results/pwm75_restarts_20260910_085357/start_2_attempt4.json,results/pwm75_restarts_20260910_085357/running_observation_start_2_attempt4.json,True,-0.1537669405509908,0.014978588690188494,-1.0916468825519574,0.026065156477212626,0.012202990337015157,0.01275264303943618,0.026065156477212626,0.012202990337015157,0.01275264303943618,-0.21839999999999998,-0.023399999999999997,-1.1388,-0.0819,0.0624,-1.0452,0.03147912419109122,0.011228958040075255,1.1025250774068447,6207,206.93341298384237,5.5897095,5.70074745,7.711249,0,0,1,0,0,0,0.00016113438607798906,,"FIFO flags detect possible loss, not exact counts; host intervals are not sensor conversion intervals."
START_3,data/pwm75_restarts_20260910_085357/operating75_start3_20260910_091720_241491.csv,7fac4a585d80555e6c4e88dc63e7b3fb8816233e27710e4834427b7f7955a273,c5d77433d382f6f8200cbcdd5b979136091e378bb8acde97f5886dde0aada4aa,2026-09-10T09:17:20.248187+00:00,2026-09-10T09:17:50.327619+00:00,operating75_restart_pilot_visual_observation_pending,75.0,fan_frame_corner_adxl345_gpio18_v1,6207,18621,30,29.989190858,30.000549753,206.94122857084255,206.94704982014798,200,3.4706142854212807,6000,31.03,4.832289857879471,3.632372,5.542197,5.69301035,6.203744,0.97863503461582,3.552713678800501e-15,3,60.075336639,90.064527497,False,results/pwm75_restarts_20260910_085357/start_3.json,results/pwm75_restarts_20260910_085357/running_observation_start_3.json,True,-0.15377196713388108,0.01551014983083615,-1.0916575640405992,0.024164546627723524,0.011858593025400384,0.01214297486733344,0.024164546627723524,0.011858593025400384,0.01214297486733344,-0.2145,-0.027299999999999998,-1.1349,-0.0858,0.0702,-1.0295999999999998,0.029529703366173363,0.01092932691052073,1.102543704236278,6207,206.94122857084255,5.542197,5.693010350000001,6.2037439999999995,0,0,1,0,0,0,0.0003222687721559781,,"FIFO flags detect possible loss, not exact counts; host intervals are not sensor conversion intervals."
