a,b,metric,difference_b_minus_a,largest_within_state_repeat_difference,difference_exceeds_both_repeat_differences,difference_to_repeat_range_ratio,recording_ranges_overlap,five_second_ranges_overlap
stillstand,pwm25,mean_x_g,-0.0009766789300644785,0.0006378920408210975,True,1.5311038037209133,False,True
stillstand,pwm25,mean_y_g,-0.00307598689924961,0.007766043118270066,False,0.39608161484619786,True,True
stillstand,pwm25,mean_z_g,0.002198651772333582,0.0016948162207888195,True,1.2972803454230937,False,True
stillstand,pwm25,std_x_g,0.00040257067040912805,4.572142652264216e-05,True,8.804858050738357,False,True
stillstand,pwm25,std_y_g,0.00022129230337119415,0.0003484209324845118,False,0.6351291863930453,True,True
stillstand,pwm25,std_z_g,0.00024241672165941502,0.00022987703842350556,True,1.0545495249195243,False,True
stillstand,pwm25,vector_ac_rms_g,0.0004851006527480193,0.00033988215680275623,True,1.427261311130074,False,True
stillstand,pwm25,magnitude_ac_rms_g,0.00023599562070388685,0.00026482637525080885,False,0.8911333717435913,False,True
stillstand,pwm50,mean_x_g,-0.0013438693419191572,0.0006378920408210975,True,2.1067347700236585,False,False
stillstand,pwm50,mean_y_g,0.005050011050609968,0.007766043118270066,False,0.6502682220150857,False,False
stillstand,pwm50,mean_z_g,-0.00021733281500369017,0.0016948162207888195,False,0.1282338535222048,True,True
stillstand,pwm50,std_x_g,0.001996433564338306,0.00014142686695962393,True,14.116367047205177,False,False
stillstand,pwm50,std_y_g,0.001059357240178721,0.0003484209324845118,True,3.040452342012523,False,False
stillstand,pwm50,std_z_g,0.0006060609500543011,0.00022987703842350556,True,2.6364570998941916,False,True
stillstand,pwm50,vector_ac_rms_g,0.0020064439917498247,0.00033988215680275623,True,5.903351945934085,False,False
stillstand,pwm50,magnitude_ac_rms_g,0.0006425239870111697,0.00026482637525080885,True,2.426208440917772,False,True
pwm25,pwm50,mean_x_g,-0.0003671904118546787,0.00038842868654309637,False,0.945322589643334,False,True
pwm25,pwm50,mean_y_g,0.008125997949859578,4.0212663122280584e-05,True,202.07559805600678,False,False
pwm25,pwm50,mean_z_g,-0.002415984587337272,0.0005210475423049754,True,4.636783385734055,False,False
pwm25,pwm50,std_x_g,0.0015938628939291778,0.00014142686695962393,True,11.269873456110789,False,False
pwm25,pwm50,std_y_g,0.0008380649368075269,0.00013888736386627638,True,6.034133800785743,False,False
pwm25,pwm50,std_z_g,0.0003636442283948861,0.00019817940431346957,True,1.8349244193896816,False,True
pwm25,pwm50,vector_ac_rms_g,0.0015213433390018054,0.00026357812010244924,True,5.771887812275465,False,False
pwm25,pwm50,magnitude_ac_rms_g,0.00040652836630728287,0.0001798471628469845,True,2.260410227617328,False,True
