name,csv,csv_sha256,sidecar_sha256,started_utc,finished_utc,state,pwm_percent,mounting_id,xyz_points,individual_axis_values,requested_duration_s,first_to_last_point_s,timestamp_last_relative_s,host_observed_rate_xyz_per_s,linear_fit_rate_xyz_per_s,nominal_odr_hz,rate_difference_percent,nominal_expected_count_for_requested_duration,nominal_sensor_time_last_s,host_interval_mean_ms,host_interval_min_ms,host_interval_p50_ms,host_interval_p99_ms,host_interval_max_ms,fit_time_residual_p99_abs_ms,timestamp_representations_max_disagreement_s,mean_x_g,mean_y_g,mean_z_g,std_x_g,std_y_g,std_z_g,ac_rms_x_g,ac_rms_y_g,ac_rms_z_g,min_x_g,min_y_g,min_z_g,max_x_g,max_y_g,max_z_g,vector_ac_rms_g,magnitude_ac_rms_g,mean_vector_norm_g
S0,data/controlled_20260909/standstill_20260909_200838.csv,1f2f5f24ff34ca1f6c1c863daa4d325ef9e98f2e929a66eaf47adb81c5ec25cb,57ff4ebd119f65e2f4838fb19d6dd3ebb73d249498bb7bc080856628db00a09b,2026-09-09T20:08:39.008863+00:00,2026-09-09T20:09:09.080003+00:00,controlled_standstill,0.0,fan_frame_corner_adxl345_gpio18_v1,6193,18579,30,29.988424624,30.001584641,206.4796693269605,206.48121248855864,200,3.2398346634802566,6000,30.96,4.843091832041344,2.393537,5.5370085,5.70228596,7.103851,1.1227465149278968,3.552713678800501e-15,-0.15295393185854994,0.006333327950912321,-1.090168076860972,0.006464824979460497,0.0054615412000775,0.00902372367812312,0.006464824979460497,0.0054615412000775,0.00902372367812312,-0.1794,-0.0195,-1.1232,-0.1248,0.027299999999999998,-1.0373999999999999,0.012371337167595113,0.008791174769828434,1.1008639571357917
B25_1,data/controlled_20260909/operating25_20260909_201158.csv,a8c882263a69be2290883cfaf959063a2b1a124ed76b97bb631f528abbbee583,1402e156e06aebad644b480eff94216a2fae9d59b4a48005e2879bf98b2da3d2,2026-09-09T20:24:35.252261+00:00,2026-09-09T20:25:05.333380+00:00,normal_operating_25_percent_pilot,25.0,fan_frame_corner_adxl345_gpio18_v1,6205,18615,30,29.993252892,30.004558576,206.84652052711402,206.85529017479683,200,3.4232602635570153,6000,31.02,4.834502400386847,3.612647,5.5751105,5.684895340000001,6.008778,1.0363757035815269,3.552713678800501e-15,-0.15405534246575342,0.0071224496373892025,-1.0890773569701855,0.0068598258858433925,0.005926487651624088,0.009454911949696825,0.0068598258858433925,0.005926487651624088,0.009454911949696825,-0.1833,-0.027299999999999998,-1.1271,-0.12869999999999998,0.0351,-1.0218,0.013098695623819177,0.009230485358753657,1.0999423927171106
B25_2,data/controlled_20260909/operating25_repeat_20260909_203210.csv,d4e4501fdba80b406b9469c837aa95fa7e7cb528bd7c533a85325f07fe176928,57ececff0e80a9dd80d788fbd0b662f38af26129a57d9e6eba34ff7e894306f1,2026-09-09T20:32:10.109958+00:00,2026-09-09T20:32:40.183801+00:00,normal_operating_25_percent_repeat_pilot,25.0,fan_frame_corner_adxl345_gpio18_v1,6205,18615,30,29.990880366,30.002183063,206.86288379294587,206.8674585450877,200,3.431441896472931,6000,31.02,4.834119981624758,3.614968,5.581776,5.69614888,6.057078,1.0165532392397836,3.552713678800501e-15,-0.15444377115229652,0.007158275584206286,-1.0885563094278805,0.006905547312366035,0.005787600287757812,0.009307245888291751,0.006905547312366035,0.005787600287757812,0.009307245888291751,-0.1794,-0.0156,-1.131,-0.1248,0.0351,-1.0373999999999999,0.012954062173669841,0.009088681797561792,1.0994812222827317
S1,data/controlled_20260910/standstill_post_operation_20260910_070328.csv,581a34b971efa5f6d6ea6f6905dd2435e1ee24c7bd2d6db82317f4cbdf051e09,0fdadf4080cc28bf4aaf24d93732f170f159be638896dcc22e9cae8ccaee5897,2026-09-10T07:03:28.103645+00:00,2026-09-10T07:03:58.195368+00:00,controlled_standstill_post_operation,0.0,fan_frame_corner_adxl345_gpio18_v1,6201,18603,30,29.988047104,30.001199523,206.74904165976864,206.74681552210754,200,3.37452082988432,6000,31.0,4.836781790967742,3.390591,5.588627,5.698149710000001,6.509311,1.0525924954194465,3.552713678800501e-15,-0.15359182389937104,0.014099371069182387,-1.0918628930817609,0.006495406877930673,0.005809962132562012,0.009253600716546625,0.006495406877930673,0.005809962132562012,0.009253600716546625,-0.1755,-0.011699999999999999,-1.1388,-0.1248,0.039,-1.0295999999999998,0.012711219324397869,0.009056001145079243,1.1027029599679847
B50_1,data/controlled_20260910/operating50_first_20260910_072426.csv,093235fa1bbb19d56bbbc39a3f819eb11f86e2991d00a6b0044373e06fd896ef,dcd6726fdda8f33b2178c7554b629271863b12ae8b1f9782ead5379af14e73a3,2026-09-10T07:24:26.302461+00:00,2026-09-10T07:24:56.363906+00:00,normal_operating_50_percent_pilot,50.0,fan_frame_corner_adxl345_gpio18_v1,6207,18621,30,29.987560223,30.000680165,206.95248142395036,206.95101119653864,200,3.476240711975187,6000,31.03,4.8320271065098295,3.602819,5.5824885,5.70007635,5.958933,0.997377900133216,3.552713678800501e-15,-0.1545718221362977,0.015246254229096182,-1.0912422426292894,0.00840583605955408,0.006642499903190346,0.009645633445232438,0.00840583605955408,0.006642499903190346,0.009645633445232438,-0.1911,-0.0156,-1.131,-0.1248,0.0429,-1.0334999999999999,0.01441593317769509,0.009476188363041515,1.1022406854063926
B50_2,data/controlled_20260910/operating50_second_20260910_072523.csv,d3fc1980b169862580132c156e6c830d92e77b25c3b5fac625c105ee0068110d,c6b2e7da15167e725fa336817db2d5055fb34d31d18cb5269dc40d9382d13efc,2026-09-10T07:25:23.685291+00:00,2026-09-10T07:25:53.760797+00:00,normal_operating_50_percent_pilot,50.0,fan_frame_corner_adxl345_gpio18_v1,6207,18621,30,29.9890298,30.000343018,206.94233996192835,206.9541700314531,200,3.4711699809641727,6000,31.03,4.832263905897518,3.602264,5.538173499999999,5.684469,6.138396,1.0046191239454803,3.552713678800501e-15,-0.15466167230546157,0.015286466892218463,-1.091223392943451,0.008547262926513704,0.006747717909806607,0.009843812849545908,0.008547262926513704,0.006747717909806607,0.009843812849545908,-0.18719999999999998,-0.011699999999999999,-1.1271,-0.11699999999999999,0.0429,-1.0373999999999999,0.01467951129779754,0.0096560355258885,1.1022351846395513
