name,axis,frequency_hz,psd_g2_per_hz
S0,x_g,0.0,9.402703323905178e-08
S0,x_g,0.40328060415421974,3.9616448956588895e-07
S0,x_g,0.8065612083084395,4.01102517824655e-07
S0,x_g,1.2098418124626593,3.4744512555738664e-07
S0,x_g,1.613122416616879,4.1436624701996453e-07
S0,x_g,2.0164030207710986,3.2547265458939004e-07
S0,x_g,2.4196836249253186,3.295082708403499e-07
S0,x_g,2.8229642290795383,4.2915115523595644e-07
S0,x_g,3.226244833233758,3.9494473489181577e-07
S0,x_g,3.6295254373879775,4.6161795295106485e-07
S0,x_g,4.032806041542197,5.485878027798126e-07
S0,x_g,4.436086645696417,4.615307111687635e-07
S0,x_g,4.839367249850637,4.1038882792030134e-07
S0,x_g,5.242647854004857,2.929044920878568e-07
S0,x_g,5.6459284581590765,2.474444250319132e-07
S0,x_g,6.049209062313296,3.512728307742368e-07
S0,x_g,6.452489666467516,5.045070126059751e-07
S0,x_g,6.855770270621735,4.4805773860507884e-07
S0,x_g,7.259050874775955,3.9074210976108233e-07
S0,x_g,7.662331478930175,3.5100623214302957e-07
S0,x_g,8.065612083084394,3.783754607923983e-07
S0,x_g,8.468892687238615,3.851306642658248e-07
S0,x_g,8.872173291392834,3.85878626723742e-07
S0,x_g,9.275453895547054,4.466228776048233e-07
S0,x_g,9.678734499701275,3.166753479727413e-07
S0,x_g,10.082015103855493,4.631402338141983e-07
S0,x_g,10.485295708009714,5.835775271267798e-07
S0,x_g,10.888576312163933,5.847101487593101e-07
S0,x_g,11.291856916318153,4.369875483568879e-07
S0,x_g,11.695137520472372,3.7513907293390177e-07
S0,x_g,12.098418124626592,3.4105235346500374e-07
S0,x_g,12.501698728780811,4.682278432245061e-07
S0,x_g,12.904979332935032,4.225555289199225e-07
S0,x_g,13.308259937089252,4.1703505824008784e-07
S0,x_g,13.71154054124347,4.050562201003483e-07
S0,x_g,14.114821145397691,4.2751187275321294e-07
S0,x_g,14.51810174955191,3.823239696658523e-07
S0,x_g,14.92138235370613,2.868839529243711e-07
S0,x_g,15.32466295786035,3.0725857026972606e-07
S0,x_g,15.72794356201457,3.722970149063677e-07
S0,x_g,16.13122416616879,5.666275534823055e-07
S0,x_g,16.53450477032301,5.468662778815644e-07
S0,x_g,16.93778537447723,4.4792998096380236e-07
S0,x_g,17.34106597863145,4.828617030508864e-07
S0,x_g,17.744346582785667,4.5217912884441866e-07
S0,x_g,18.14762718693989,4.19628107982473e-07
S0,x_g,18.550907791094108,4.3363472470005276e-07
S0,x_g,18.954188395248327,4.564587539825875e-07
S0,x_g,19.35746899940255,5.59233161114952e-07
S0,x_g,19.760749603556768,4.1231609225830914e-07
S0,x_g,20.164030207710987,3.8275443504097856e-07
