name,pwm_percent,start_s,end_s,xyz_points,host_rate_xyz_per_s,mean_x_g,mean_y_g,mean_z_g,std_x_g,std_y_g,std_z_g,ac_rms_x_g,ac_rms_y_g,ac_rms_z_g,min_x_g,min_y_g,min_z_g,max_x_g,max_y_g,max_z_g,vector_ac_rms_g,magnitude_ac_rms_g,mean_vector_norm_g
S0,0.0,0,5,1033,206.50473498888977,-0.15299477250726037,0.006304937076476217,-1.0903576960309802,0.006724002444864754,0.0054404320500757155,0.009649486306495198,0.006724002444864754,0.0054404320500757155,0.009649486306495198,-0.1755,-0.0156,-1.1232,-0.1326,0.027299999999999998,-1.0373999999999999,0.012958514411354259,0.009447868864571206,1.101057245532708
S0,0.0,5,10,1033,206.4768480812475,-0.1530174249757987,0.006267182962245825,-1.090044336882867,0.006626076149637087,0.005807282331341814,0.009244584996775045,0.006626076149637087,0.005807282331341814,0.009244584996775045,-0.1716,-0.0195,-1.1193,-0.12869999999999998,0.027299999999999998,-1.0608,0.012770738623090782,0.008958506680524893,1.1007498654548704
S0,0.0,10,15,1032,206.48020102478182,-0.15287093023255843,0.006311046511627838,-1.0902313953488407,0.006435062318396366,0.005260459686578322,0.008881235269570643,0.006435062318396366,0.005260459686578322,0.008881235269570643,-0.1794,-0.011699999999999999,-1.1154,-0.12869999999999998,0.027299999999999998,-1.053,0.01216383175932756,0.008639296136965948,1.100915003995549
S0,0.0,15,20,1032,206.42512249081068,-0.15320726744186058,0.006348837209302252,-1.0897968023255842,0.006419169110407475,0.005296115166536732,0.008914266472998335,0.006419169110407475,0.005296115166536732,0.008914266472998335,-0.1716,-0.011699999999999999,-1.1193,-0.12869999999999998,0.023399999999999997,-1.053,0.0121950282770009,0.008702705999136305,1.100531619214087
S0,0.0,20,25,1033,206.45053591185288,-0.15289661181026162,0.006297386253630132,-1.0903916747337887,0.006464174721639504,0.005505621780825419,0.008742015491439865,0.006464174721639504,0.005505621780825419,0.008742015491439865,-0.1755,-0.0156,-1.1193,-0.1248,0.027299999999999998,-1.0569,0.012186888892492533,0.008562948643556893,1.1010772158688245
S0,0.0,25,30,1030,206.4612800780786,-0.15273611650485472,0.006470970873786329,-1.0901863106796157,0.006091265150365535,0.005439117756587501,0.008657991256781608,0.006091265150365535,0.005439117756587501,0.008657991256781608,-0.1716,-0.011699999999999999,-1.1115,-0.1326,0.027299999999999998,-1.053,0.011901610214781429,0.008382064057472584,1.1008525726645986
B25_1,25.0,0,5,1035,206.81133131692965,-0.15369014492753633,0.006816521739130361,-1.088721739130439,0.006818807429573351,0.005888100460431681,0.009130386749355974,0.006818807429573351,0.005888100460431681,0.009130386749355974,-0.1716,-0.027299999999999998,-1.1232,-0.12869999999999998,0.0312,-1.0218,0.01282691794573258,0.008943318655429779,1.0995372439675133
B25_1,25.0,5,10,1034,206.9117841943661,-0.15364642166344314,0.007124854932301678,-1.0891447775628658,0.0066931177852181355,0.00573510611877892,0.009511958105501254,0.0066931177852181355,0.00573510611877892,0.009511958105501254,-0.1755,-0.011699999999999999,-1.1193,-0.12869999999999998,0.0312,-1.0569,0.012967907112609572,0.009257955051330247,1.099951968469647
B25_1,25.0,10,15,1034,206.8560743744307,-0.15441586073500965,0.00713617021276589,-1.0885526112185726,0.006780428933496088,0.006381029005898829,0.009236790345648591,0.006780428933496088,0.006381029005898829,0.009236790345648591,-0.1794,-0.027299999999999998,-1.1232,-0.12869999999999998,0.0351,-1.0569,0.013115259951132526,0.009022369142828952,1.099473496889585
B25_1,25.0,15,20,1034,206.83508913461358,-0.15419709864603492,0.007358704061895471,-1.0893484526112225,0.00687910322750286,0.005654708815034318,0.009592226791537322,0.00687910322750286,0.005654708815034318,0.009592226791537322,-0.1833,-0.011699999999999999,-1.1271,-0.1326,0.027299999999999998,-1.0608,0.013088491426354468,0.009378739144681701,1.1002322241067066
B25_1,25.0,20,25,1035,206.86362243787158,-0.1542930434782611,0.007287536231883994,-1.0888460869565242,0.006708861391623962,0.005680981851705898,0.009287909737760424,0.006708861391623962,0.005680981851705898,0.009287909737760424,-0.1833,-0.0156,-1.1232,-0.12869999999999998,0.0312,-1.053,0.012788574716058864,0.00903840112164325,1.0997478131511107
B25_1,25.0,25,30,1033,206.80001898440207,-0.1540896418199418,0.007010939012584644,-1.0898517909002914,0.0072279480141416354,0.006166697430676153,0.009890439475436087,0.0072279480141416354,0.006166697430676153,0.009890439475436087,-0.1794,-0.0156,-1.1271,-0.1326,0.0312,-1.0491,0.013714670346526956,0.009663010832534655,1.1007132674364422
B25_2,25.0,0,5,1034,206.83149652478204,-0.15459313346228212,0.006853288201160482,-1.0887374274661523,0.007594025777686618,0.00622233092555467,0.00996848523251206,0.007594025777686618,0.00622233092555467,0.00996848523251206,-0.1794,-0.0156,-1.1232,-0.1326,0.0351,-1.0373999999999999,0.013991330440315319,0.009645172776627135,1.0996795853513288
B25_2,25.0,5,10,1035,206.91471699526946,-0.15409710144927535,0.007242318840579636,-1.0881979710144976,0.006724033706010312,0.005725696500870422,0.009342514414939987,0.006724033706010312,0.005725696500870422,0.009342514414939987,-0.1755,-0.0156,-1.1154,-0.1326,0.0312,-1.0569,0.012856080479407584,0.009073683423326517,1.0990783375070796
B25_2,25.0,10,15,1034,206.8885175407121,-0.1546497098646034,0.00715125725338484,-1.0884017408123827,0.006649706216002947,0.0058132846065208545,0.009306389979743208,0.006649706216002947,0.0058132846065208545,0.009306389979743208,-0.1755,-0.011699999999999999,-1.131,-0.1326,0.0312,-1.0569,0.01283050135928544,0.009143592241038964,1.0993570951446738
B25_2,25.0,15,20,1035,206.88113559541105,-0.15425913043478273,0.007449565217391237,-1.0882620289855118,0.006755839929786673,0.005653123398510792,0.008732632881476066,0.006755839929786673,0.005653123398510792,0.008732632881476066,-0.1794,-0.0078,-1.1154,-0.1326,0.0351,-1.0608,0.012403953174626512,0.008544233532369536,1.09916587423195
B25_2,25.0,20,25,1034,206.87256573510015,-0.15441586073501,0.007083365570599543,-1.0887525145067725,0.006915754439121564,0.0055567334071761655,0.009331838476129237,0.006915754439121564,0.0055567334071761655,0.009331838476129237,-0.1794,-0.011699999999999999,-1.1232,-0.1248,0.027299999999999998,-1.053,0.012875874920378188,0.009154542878282762,1.0996710735302446
B25_2,25.0,25,30,1033,206.86893463841716,-0.15464840271055183,0.007169506292352302,-1.0889872216844183,0.006729808268196925,0.005714725925102713,0.009091443128938927,0.006729808268196925,0.005714725925102713,0.009091443128938927,-0.1755,-0.011699999999999999,-1.1232,-0.1326,0.0351,-1.0569,0.012672914025292824,0.008904581956441381,1.0999366796654022
S1,0.0,0,5,1034,206.78672394512924,-0.15338239845261134,0.013910251450676845,-1.091973597678919,0.006763921788515771,0.005696351892958932,0.009381280447789169,0.006763921788515771,0.005696351892958932,0.009381280447789169,-0.1755,-0.0078,-1.1232,-0.12869999999999998,0.0351,-1.0295999999999998,0.012892148218572656,0.009196088627168522,1.1027810268944322
S1,0.0,5,10,1034,206.7622808497312,-0.1535106382978725,0.013997001934235828,-1.091724661508708,0.006628295171810438,0.005932168207181394,0.00927633796110271,0.006628295171810438,0.005932168207181394,0.00927633796110271,-0.1716,-0.011699999999999999,-1.1232,-0.1248,0.039,-1.0608,0.012852056741686706,0.00908882806700064,1.1025534765625067
S1,0.0,10,15,1034,206.67924925667836,-0.1535709864603483,0.014347775628626554,-1.091664313346231,0.006347351264828555,0.0057828549938611735,0.00887560242118535,0.006347351264828555,0.0057828549938611735,0.00887560242118535,-0.1755,0.0,-1.1232,-0.1326,0.0351,-1.0608,0.012349356189619609,0.008665678825151808,1.1025066347109171
S1,0.0,15,20,1033,206.7300627788179,-0.15357241045498563,0.014067182962245723,-1.0919622458857725,0.006211950486445271,0.005613903489857714,0.009478663439012469,0.006211950486445271,0.005613903489857714,0.009478663439012469,-0.1716,-0.0039,-1.1193,-0.13649999999999998,0.039,-1.0569,0.012647106460750464,0.00931049814094993,1.102798221493555
S1,0.0,20,25,1035,206.81797707356677,-0.1537730434782609,0.014051304347825935,-1.091747536231886,0.006480221704998661,0.0056727780973836114,0.009255052737625159,0.006480221704998661,0.0056727780973836114,0.009255052737625159,-0.1716,-0.0078,-1.131,-0.12869999999999998,0.039,-1.0569,0.012642376590827911,0.009022374365149606,1.1026133823434374
S1,0.0,25,30,1031,206.71730188512274,-0.15374170708050458,0.014223084384092985,-1.0921059165858407,0.0065174738338645965,0.006135246676889482,0.009235188362035485,0.0065174738338645965,0.006135246676889482,0.009235188362035485,-0.1755,-0.0039,-1.1388,-0.13649999999999998,0.0351,-1.0608,0.012861081643612595,0.009031029360358801,1.1029660655102784
B50_1,50.0,0,5,1036,207.03051476585065,-0.1546673745173742,0.0151708494208493,-1.090904536679538,0.008655639426353319,0.007006199657547499,0.010515225616506196,0.008655639426353319,0.007006199657547499,0.010515225616506196,-0.1833,-0.0078,-1.1232,-0.1248,0.0429,-1.0334999999999999,0.015315903410719483,0.010335822044633663,1.1019187173109664
B50_1,50.0,5,10,1034,206.9835981902836,-0.15442717601547395,0.015200193423597552,-1.091558704061898,0.008375489613215962,0.006617645361959839,0.009660013829148684,0.008375489613215962,0.006617645361959839,0.009660013829148684,-0.1911,-0.011699999999999999,-1.1232,-0.12869999999999998,0.039,-1.0569,0.014396455243465358,0.009470985401409752,1.1025330847577859
B50_1,50.0,10,15,1035,206.95187146531336,-0.15454550724637686,0.015381449275362205,-1.0911860869565235,0.00854106797385467,0.006611799131452308,0.009209096513835342,0.00854106797385467,0.006611799131452308,0.009209096513835342,-0.1833,-0.0039,-1.1232,-0.1248,0.039,-1.0647,0.014194125139994091,0.009043413668580467,1.1021832783885537
B50_1,50.0,15,20,1035,206.96290269451762,-0.15455304347826077,0.015517101449275268,-1.0914084057971047,0.008320998286045407,0.006484757848372392,0.009359673849016604,0.008320998286045407,0.006484757848372392,0.009359673849016604,-0.1794,-0.011699999999999999,-1.1271,-0.12869999999999998,0.0429,-1.0608,0.014102999375606703,0.00922199522473869,1.1024063370329282
B50_1,50.0,20,25,1034,206.924184851004,-0.15434419729206958,0.015109671179883839,-1.09102688588008,0.008272808000229327,0.00670654168996707,0.00919013181610695,0.008272808000229327,0.00670654168996707,0.00919013181610695,-0.1794,-0.011699999999999999,-1.131,-0.1248,0.0351,-1.0569,0.014066825386182376,0.008986102869765845,1.1019936928649285
B50_1,50.0,25,30,1033,206.9414605518373,-0.15489380445304934,0.015097870280735608,-1.0913695062923556,0.00824943896995267,0.006400049560751462,0.009856453232649366,0.00824943896995267,0.006400049560751462,0.009856453232649366,-0.1833,-0.0156,-1.1232,-0.12869999999999998,0.039,-1.0608,0.014358396429492137,0.00971391062471201,1.102409831056388
B50_2,50.0,0,5,1035,206.94158666057592,-0.15480173913043435,0.015400289855072337,-1.091464927536236,0.008817275361556558,0.006906973995249783,0.009960083467316357,0.008817275361556558,0.006906973995249783,0.009960083467316357,-0.1833,-0.011699999999999999,-1.1232,-0.12869999999999998,0.039,-1.0373999999999999,0.014988458801640564,0.009790433363602503,1.1024955489284791
B50_2,50.0,5,10,1035,206.9530318332952,-0.15463971014492742,0.015208115942028885,-1.0908394202898548,0.008390955443173167,0.006711948522751392,0.010448174916425586,0.008390955443173167,0.006711948522751392,0.010448174916425586,-0.1794,-0.011699999999999999,-1.1271,-0.12869999999999998,0.0351,-1.0569,0.014987419567944549,0.010198906865003285,1.1018508826526936
B50_2,50.0,10,15,1035,207.0129470974338,-0.15444376811594188,0.015486956521739027,-1.0912991304347823,0.008153898169987133,0.006641051799083475,0.009463812042421943,0.008153898169987133,0.006641051799083475,0.009463812042421943,-0.1833,-0.0078,-1.1271,-0.1326,0.0429,-1.0647,0.014147556776310162,0.00928644813110095,1.1022824118255128
B50_2,50.0,15,20,1034,206.97354552380375,-0.15438945841392676,0.01522282398452601,-1.0913399419729228,0.008660293966309287,0.006596712544630429,0.009703785996500456,0.008660293966309287,0.006596712544630429,0.009703785996500456,-0.18719999999999998,-0.011699999999999999,-1.1232,-0.12869999999999998,0.039,-1.0608,0.014583578801009573,0.009513596416027904,1.1023115295527268
B50_2,50.0,20,25,1035,206.9963681810562,-0.15462840579710121,0.015339999999999895,-1.0910240579710155,0.008689420791422245,0.007035682964901783,0.00991843990754279,0.008689420791422245,0.007035682964901783,0.00991843990754279,-0.18719999999999998,-0.0078,-1.1232,-0.11699999999999999,0.0429,-1.053,0.014945980017133268,0.009749395091030264,1.102033917150872
B50_2,50.0,25,30,1033,206.93303429189228,-0.1550674733785092,0.01506011616650521,-1.0913732817037782,0.008537179498548316,0.006571819092310129,0.009520065047276703,0.008537179498548316,0.006571819092310129,0.009520065047276703,-0.1833,-0.0078,-1.1232,-0.12869999999999998,0.039,-1.0647,0.014377199952593858,0.00935134727839915,1.102437466895886
