timestamp_s,signal,x_g,y_g,z_g,label,anomaly_type,source,profile_name,recording_index
4.069988790433854e-07,1.0478306447131616,-0.0741,-0.0039,-1.0452,0,normal,profile_calibration,home_v001,3
0.002079218000289984,1.0478306447131616,-0.0741,-0.0039,-1.0452,0,normal,profile_calibration,home_v001,3
0.004068881000421243,1.0478306447131616,-0.0741,-0.0039,-1.0452,0,normal,profile_calibration,home_v001,3
0.006064173998311162,1.0512001284246497,-0.0663,-0.0039,-1.0491,0,normal,profile_calibration,home_v001,3
0.008092615000350634,1.0512001284246497,-0.0663,-0.0039,-1.0491,0,normal,profile_calibration,home_v001,3
0.01005505599823664,1.0512001284246497,-0.0663,-0.0039,-1.0491,0,normal,profile_calibration,home_v001,3
0.01206168199860258,1.0512001284246497,-0.0663,-0.0039,-1.0491,0,normal,profile_calibration,home_v001,3
0.014053438000701135,1.0512001284246497,-0.0663,-0.0039,-1.0491,0,normal,profile_calibration,home_v001,3
0.01605591499901493,1.0575977401640002,-0.0351,-0.0156,-1.0569,0,normal,profile_calibration,home_v001,3
0.018062338000163436,1.0575977401640002,-0.0351,-0.0156,-1.0569,0,normal,profile_calibration,home_v001,3
0.02005474199904711,1.0575977401640002,-0.0351,-0.0156,-1.0569,0,normal,profile_calibration,home_v001,3
0.022052848999010166,1.0575977401640002,-0.0351,-0.0156,-1.0569,0,normal,profile_calibration,home_v001,3
0.02405338300013682,1.0420081861482662,-0.0351,-0.0156,-1.0413,0,normal,profile_calibration,home_v001,3
0.026056471997435438,1.0420081861482662,-0.0351,-0.0156,-1.0413,0,normal,profile_calibration,home_v001,3
0.028055652997863945,1.0420081861482662,-0.0351,-0.0156,-1.0413,0,normal,profile_calibration,home_v001,3
0.030053390997636598,1.0420081861482662,-0.0351,-0.0156,-1.0413,0,normal,profile_calibration,home_v001,3
0.0320528310003283,1.0420081861482662,-0.0351,-0.0156,-1.0413,0,normal,profile_calibration,home_v001,3
0.034052531998895574,1.0610938931121978,-0.0156,-0.0195,-1.0608,0,normal,profile_calibration,home_v001,3
0.03605597199930344,1.0610938931121978,-0.0156,-0.0195,-1.0608,0,normal,profile_calibration,home_v001,3
0.038055338998674415,1.0610938931121978,-0.0156,-0.0195,-1.0608,0,normal,profile_calibration,home_v001,3
0.04005296499963151,1.0610938931121978,-0.0156,-0.0195,-1.0608,0,normal,profile_calibration,home_v001,3
0.04205266599819879,1.0610938931121978,-0.0156,-0.0195,-1.0608,0,normal,profile_calibration,home_v001,3
0.04405290299837361,1.112081426874849,-0.0351,0.0078,-1.1115,0,normal,profile_calibration,home_v001,3
0.04605701000036788,1.112081426874849,-0.0351,0.0078,-1.1115,0,normal,profile_calibration,home_v001,3
0.048055506998935016,1.112081426874849,-0.0351,0.0078,-1.1115,0,normal,profile_calibration,home_v001,3
0.05005285500010359,1.112081426874849,-0.0351,0.0078,-1.1115,0,normal,profile_calibration,home_v001,3
0.05205329599994002,1.112081426874849,-0.0351,0.0078,-1.1115,0,normal,profile_calibration,home_v001,3
0.05405264399814769,1.117205357130013,-0.0624,0.011699999999999999,-1.1154,0,normal,profile_calibration,home_v001,3
0.05605734399796347,1.117205357130013,-0.0624,0.011699999999999999,-1.1154,0,normal,profile_calibration,home_v001,3
0.05805606300054933,1.117205357130013,-0.0624,0.011699999999999999,-1.1154,0,normal,profile_calibration,home_v001,3
0.060053725999750895,1.117205357130013,-0.0624,0.011699999999999999,-1.1154,0,normal,profile_calibration,home_v001,3
0.06205264799791621,1.117205357130013,-0.0624,0.011699999999999999,-1.1154,0,normal,profile_calibration,home_v001,3
0.06405308899775264,1.1422340346881632,-0.12869999999999998,-0.011699999999999999,-1.1349,0,normal,profile_calibration,home_v001,3
0.06605619699985255,1.1422340346881632,-0.12869999999999998,-0.011699999999999999,-1.1349,0,normal,profile_calibration,home_v001,3
0.06805550799981575,1.1422340346881632,-0.12869999999999998,-0.011699999999999999,-1.1349,0,normal,profile_calibration,home_v001,3
0.07005337499867892,1.1422340346881632,-0.12869999999999998,-0.011699999999999999,-1.1349,0,normal,profile_calibration,home_v001,3
0.07205337099730968,1.1422340346881632,-0.12869999999999998,-0.011699999999999999,-1.1349,0,normal,profile_calibration,home_v001,3
0.0740527009984362,1.165741249162952,-0.1599,0.027299999999999998,-1.1543999999999999,0,normal,profile_calibration,home_v001,3
0.07605719799903454,1.165741249162952,-0.1599,0.027299999999999998,-1.1543999999999999,0,normal,profile_calibration,home_v001,3
0.078055250000034,1.165741249162952,-0.1599,0.027299999999999998,-1.1543999999999999,0,normal,profile_calibration,home_v001,3
0.08005354199849535,1.165741249162952,-0.1599,0.027299999999999998,-1.1543999999999999,0,normal,profile_calibration,home_v001,3
0.0820526309980778,1.188527799422462,-0.20279999999999998,0.050699999999999995,-1.17,0,normal,profile_calibration,home_v001,3
0.08405270199727966,1.188527799422462,-0.20279999999999998,0.050699999999999995,-1.17,0,normal,profile_calibration,home_v001,3
0.08605555000031018,1.188527799422462,-0.20279999999999998,0.050699999999999995,-1.17,0,normal,profile_calibration,home_v001,3
0.08806952799932333,1.188527799422462,-0.20279999999999998,0.050699999999999995,-1.17,0,normal,profile_calibration,home_v001,3
0.09005241299746558,1.188527799422462,-0.20279999999999998,0.050699999999999995,-1.17,0,normal,profile_calibration,home_v001,3
0.09205296499931137,1.1620036746929847,-0.21059999999999998,0.011699999999999999,-1.1427,0,normal,profile_calibration,home_v001,3
0.09405273999800556,1.1620036746929847,-0.21059999999999998,0.011699999999999999,-1.1427,0,normal,profile_calibration,home_v001,3
0.09605675499915378,1.1620036746929847,-0.21059999999999998,0.011699999999999999,-1.1427,0,normal,profile_calibration,home_v001,3
0.0980565289974038,1.1620036746929847,-0.21059999999999998,0.011699999999999999,-1.1427,0,normal,profile_calibration,home_v001,3
0.1000542099973245,1.1620036746929847,-0.21059999999999998,0.011699999999999999,-1.1427,0,normal,profile_calibration,home_v001,3
0.102052817997901,1.1449672047705122,-0.2379,0.039,-1.1193,0,normal,profile_calibration,home_v001,3
0.10405312899820274,1.1449672047705122,-0.2379,0.039,-1.1193,0,normal,profile_calibration,home_v001,3
0.10605618099725689,1.1449672047705122,-0.2379,0.039,-1.1193,0,normal,profile_calibration,home_v001,3
0.10805415899812942,1.1449672047705122,-0.2379,0.039,-1.1193,0,normal,profile_calibration,home_v001,3
0.110052692998579,1.1449672047705122,-0.2379,0.039,-1.1193,0,normal,profile_calibration,home_v001,3
0.11205630000040401,1.1047606211302066,-0.1911,0.0039,-1.0880999999999998,0,normal,profile_calibration,home_v001,3
