a,b,metric,difference_b_minus_a,largest_within_phase_repeat_difference,difference_to_repeat_range_ratio,recording_ranges_overlap,five_second_ranges_overlap
standstill_before,standstill_after,mean_x_g,8.947910326628783e-06,0.0004953945019273709,0.018062191428883934,True,True
standstill_before,standstill_after,mean_y_g,0.00037152429498884046,0.0001666935483870969,2.2287862882736422,False,True
standstill_before,standstill_after,mean_z_g,1.3224437005465717e-05,0.00030636822884977377,0.04316517105939943,True,True
standstill_before,standstill_after,std_x_g,-1.1624849817950395e-06,0.00015101650132559943,0.007697734827591201,True,True
standstill_before,standstill_after,std_y_g,2.9751787026154053e-05,9.208970934680618e-05,0.3230739594812924,True,True
standstill_before,standstill_after,std_z_g,-3.152261805447129e-05,0.0002900943995619888,0.10866331132923296,True,True
standstill_before,standstill_after,vector_ac_rms_g,-1.0042238820682017e-05,0.0003203119792941928,0.031351430698315065,True,True
standstill_before,standstill_after,magnitude_ac_rms_g,-2.4914668040760743e-05,0.0002868271389596614,0.08686300791176066,True,True
standstill_before,operating50,mean_x_g,-0.0006272422473066197,0.0002541290322580214,2.4682038165154236,False,True
standstill_before,operating50,mean_y_g,0.0013153699426246106,0.0001666935483870969,7.8909469223730815,False,False
standstill_before,operating50,mean_z_g,0.0008030765252031724,0.0002463025616239456,3.260528513825644,False,True
standstill_before,operating50,std_x_g,0.002028082304172389,0.00021126600410603137,9.599662343944953,False,False
standstill_before,operating50,std_y_g,0.0009661457623177635,0.00022978294609113555,4.2046016849943895,False,False
standstill_before,operating50,std_z_g,0.0006193597784060045,8.79043057161414e-05,7.045841194696732,False,True
standstill_before,operating50,vector_ac_rms_g,0.0019900268544248336,0.00028703386038279703,6.933073511852831,False,False
standstill_before,operating50,magnitude_ac_rms_g,0.0007007843191382552,6.444264525105707e-05,10.874543036030323,False,True
standstill_after,operating50,mean_x_g,-0.0006361901576332485,0.0004953945019273709,1.2842091608972266,False,True
standstill_after,operating50,mean_y_g,0.0009438456476357701,8.356694055098972e-05,11.29448608998516,False,False
standstill_after,operating50,mean_z_g,0.0007898520881977067,0.00030636822884977377,2.578113569945293,False,False
standstill_after,operating50,std_x_g,0.002029244789154184,0.00021126600410603137,9.605164814570617,False,False
standstill_after,operating50,std_y_g,0.0009363939752916094,0.00022978294609113555,4.075123899404705,False,False
standstill_after,operating50,std_z_g,0.0006508823964604758,0.0002900943995619888,2.2436916998164658,False,True
standstill_after,operating50,vector_ac_rms_g,0.0020000690932455156,0.0003203119792941928,6.244128295334649,False,False
standstill_after,operating50,magnitude_ac_rms_g,0.0007256989871790159,0.0002868271389596614,2.5300917821485376,False,True
standstill_before,operating75,mean_x_g,-0.0005584408939958985,0.00026703721604640074,2.0912474383303303,False,False
standstill_before,operating75,mean_y_g,0.0019471485796473294,0.0001666935483870969,11.68100744442519,False,False
standstill_before,operating75,mean_z_g,0.0007405584005051313,0.00017172580645175017,4.312446776677134,False,True
standstill_before,operating75,std_x_g,0.016996457394260214,2.708794083757307e-05,627.4547591555875,False,False
standstill_before,operating75,std_y_g,0.007577194761644007,0.00010191103462495014,74.35107286987486,False,False
standstill_before,operating75,std_z_g,0.0021160538275485606,0.00012801472282394574,16.52976923957955,False,False
standstill_before,operating75,vector_ac_rms_g,0.016629827478021796,7.155104493769895e-05,232.41907218129026,False,False
standstill_before,operating75,magnitude_ac_rms_g,0.001419913950923413,5.50826895757521e-05,25.77786164509425,False,False
standstill_after,operating75,mean_x_g,-0.0005673888043225273,0.0004953945019273709,1.1453272131908145,False,True
standstill_after,operating75,mean_y_g,0.001575624284658489,2.513291445142493e-05,62.69166624920245,False,False
standstill_after,operating75,mean_z_g,0.0007273339634996656,0.00030636822884977377,2.374051533445103,False,True
standstill_after,operating75,std_x_g,0.01699761987924201,0.00015101650132559943,112.55471905414004,False,False
standstill_after,operating75,std_y_g,0.007547442974617853,0.00010191103462495014,74.05913405151583,False,False
standstill_after,operating75,std_z_g,0.002147576445603032,0.0002900943995619888,7.403026217829921,False,False
standstill_after,operating75,vector_ac_rms_g,0.016639869716842476,0.0003203119792941928,51.94894600416886,False,False
standstill_after,operating75,magnitude_ac_rms_g,0.0014448286189641737,0.0002868271389596614,5.037280029374663,False,False
operating50,operating75,mean_x_g,6.880135331072124e-05,0.00026703721604640074,0.2576470588233148,True,True
operating50,operating75,mean_y_g,0.0006317786370227188,8.356694055098972e-05,7.560150375939979,False,False
operating50,operating75,mean_z_g,-6.251812469804108e-05,0.0002463025616239456,0.25382653061275773,True,True
operating50,operating75,std_x_g,0.014968375090087825,0.00021126600410603137,70.85084584917605,False,False
operating50,operating75,std_y_g,0.006611048999326244,0.00022978294609113555,28.77084270955512,False,False
operating50,operating75,std_z_g,0.0014966940491425561,0.00012801472282394574,11.691577469576746,False,False
operating50,operating75,vector_ac_rms_g,0.01463980062359696,0.00028703386038279703,51.00374082720722,False,False
operating50,operating75,magnitude_ac_rms_g,0.0007191296317851578,6.444264525105707e-05,11.159219628299814,False,True
