name,axis,frequency_hz,psd_g2_per_hz
PRE_1,x_g,0.0,8.882696851050505e-08
PRE_1,x_g,0.4036858724758334,5.74749757920825e-07
PRE_1,x_g,0.8073717449516667,5.893128959473529e-07
PRE_1,x_g,1.2110576174275,4.5248061441290595e-07
PRE_1,x_g,1.6147434899033335,4.467432022175148e-07
PRE_1,x_g,2.018429362379167,5.389316425173383e-07
PRE_1,x_g,2.422115234855,6.438429523393334e-07
PRE_1,x_g,2.825801107330834,5.471315210321154e-07
PRE_1,x_g,3.229486979806667,4.4606471069219336e-07
PRE_1,x_g,3.6331728522825,4.622306596765427e-07
PRE_1,x_g,4.036858724758334,4.580390015706859e-07
PRE_1,x_g,4.440544597234167,3.1451416897564157e-07
PRE_1,x_g,4.84423046971,4.135883182282271e-07
PRE_1,x_g,5.2479163421858335,4.740528029805608e-07
PRE_1,x_g,5.651602214661668,4.122573880068937e-07
PRE_1,x_g,6.055288087137501,3.38667506178219e-07
PRE_1,x_g,6.458973959613334,4.192048183205271e-07
PRE_1,x_g,6.862659832089167,4.7062294919774627e-07
PRE_1,x_g,7.266345704565,4.565804819237509e-07
PRE_1,x_g,7.6700315770408345,3.614721524209448e-07
PRE_1,x_g,8.073717449516668,4.828639433437421e-07
PRE_1,x_g,8.477403321992501,3.1318301653883406e-07
PRE_1,x_g,8.881089194468334,2.309196992727873e-07
PRE_1,x_g,9.284775066944167,3.0367299771797905e-07
PRE_1,x_g,9.68846093942,4.1390340193645503e-07
PRE_1,x_g,10.092146811895834,4.729577639865703e-07
PRE_1,x_g,10.495832684371667,5.181208542072102e-07
PRE_1,x_g,10.899518556847502,4.2223511826955185e-07
PRE_1,x_g,11.303204429323335,4.2310882358119933e-07
PRE_1,x_g,11.706890301799168,4.973449590009653e-07
PRE_1,x_g,12.110576174275002,6.721028363101506e-07
PRE_1,x_g,12.514262046750835,5.532369715966772e-07
PRE_1,x_g,12.917947919226668,4.1737652509421224e-07
PRE_1,x_g,13.321633791702501,4.5506560545095203e-07
PRE_1,x_g,13.725319664178334,5.442264011856985e-07
PRE_1,x_g,14.129005536654168,5.002914871704296e-07
PRE_1,x_g,14.53269140913,3.408171851700243e-07
PRE_1,x_g,14.936377281605834,3.4312452352609837e-07
PRE_1,x_g,15.340063154081669,4.7081547991009576e-07
PRE_1,x_g,15.743749026557502,3.345681418185473e-07
PRE_1,x_g,16.147434899033335,3.4934275712586065e-07
PRE_1,x_g,16.55112077150917,3.8906758253295736e-07
PRE_1,x_g,16.954806643985002,5.738331242367809e-07
PRE_1,x_g,17.358492516460835,4.5720327722124185e-07
PRE_1,x_g,17.76217838893667,4.3840487172080433e-07
PRE_1,x_g,18.1658642614125,4.676219687397601e-07
PRE_1,x_g,18.569550133888335,4.859966260091956e-07
PRE_1,x_g,18.973236006364168,3.8422465380146954e-07
PRE_1,x_g,19.37692187884,3.581656868973717e-07
PRE_1,x_g,19.780607751315834,3.8730707638699657e-07
PRE_1,x_g,20.184293623791667,4.858029082634621e-07
PRE_1,x_g,20.5879794962675,5.989688531041987e-07
PRE_1,x_g,20.991665368743334,4.6001502998145647e-07
PRE_1,x_g,21.395351241219167,4.414197207242486e-07
PRE_1,x_g,21.799037113695004,3.869369639824035e-07
PRE_1,x_g,22.202722986170837,3.5180257893222905e-07
