window,window_start_ns,window_complete_ns,decision_ns,elapsed_s,score,threshold,prediction,error,processing_ms,window_to_decision_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
1,4919155180020,4919766643788,4919767620103,0.625094709,0.19911381503318162,0.47720259914362284,0,,0.477241,0.976315,6.420189389813863,51118080,114360320,55.1,2400000.0,0
2,4919772844231,4920384937649,4920385911389,1.243385995,0.18284242871436382,0.47720259914362284,0,,0.466963,0.97374,9.704161598160127,51150848,114360320,56.2,2400000.0,0
3,4920389233425,4921002256881,4921003160491,1.860635097,0.18691782873407625,0.47720259914362284,0,,0.462166,0.90361,9.720626347392418,51167232,114360320,54.55,2400000.0,0
4,4921006620213,4921619791705,4921620605761,2.478080367,0.16926241324367078,0.47720259914362284,0,,0.433334,0.814056,4.8587306727401645,51167232,114360320,54.55,2400000.0,0
