name,start_s,end_s,xyz_points,observed_span_s,observed_rate_xyz_per_s,host_interval_max_ms,host_intervals_over_10ms,quality_flags_clear,gap_flagged_points,overrun_flagged_points,saturated_flagged_points,vector_ac_rms_g,mean_x_g,std_x_g,ac_rms_x_g,mean_y_g,std_y_g,ac_rms_y_g,mean_z_g,std_z_g,ac_rms_z_g
S_vor_1,0,5,1035,4.996091683,206.96177444428216,5.816281,0,True,0,0,0,0.014210844680462928,-0.2218855072463762,0.006991586566274879,0.006991586566274879,-0.023219130434782565,0.0072226202116764514,0.0072226202116764514,-1.0702843478260835,0.010044878351498763,0.010044878351498763
S_vor_1,5,10,1035,4.993603338,207.06490484166687,5.975595,0,True,0,0,0,0.012910695822637097,-0.22200985507246282,0.006199445158145309,0.006199445158145309,-0.023381159420289777,0.006768012474770041,0.006768012474770041,-1.0700017391304295,0.009080030478867601,0.009080030478867601
S_vor_1,10,15,1035,4.994925884,207.01007863042798,5.839188,0,True,0,0,0,0.01255965669377514,-0.22177246376811516,0.006201567919041468,0.006201567919041468,-0.02323043478260866,0.006667457294012888,0.006667457294012888,-1.0706536231884012,0.00865046500735772,0.00865046500735772
S_vor_1,15,20,1035,4.995056523,207.00466455962865,5.876817,0,True,0,0,0,0.012694204907250529,-0.22218695652173842,0.00609166960392035,0.00609166960392035,-0.023961449275362267,0.006518681576346842,0.006518681576346842,-1.070725217391299,0.009030016066991935,0.009030016066991935
S_vor_1,20,25,1035,4.995151921,207.00071116015212,13.295968,3,True,0,0,0,0.013526285033574226,-0.222107826086956,0.0066822561645012695,0.0066822561645012695,-0.02314376811594197,0.006878453883707236,0.006878453883707236,-1.0702843478260833,0.009539114819058978,0.009539114819058978
S_vor_1,25,30,1034,4.989272354,207.0442194184535,5.811447,0,True,0,0,0,0.01394105465466034,-0.22207369439071478,0.006222860183708461,0.006222860183708461,-0.02333965183752412,0.007092537983204077,0.007092537983204077,-1.0700596711798804,0.010262793039667576,0.010262793039667576
S_vor_2,0,5,1035,4.996949913,206.92622859996234,5.839151,0,True,0,0,0,0.01305673868945799,-0.2220475362318833,0.006220023860757891,0.006220023860757891,-0.023132463768115893,0.00672570591215546,0.00672570591215546,-1.0708194202898509,0.00930347291926992,0.00930347291926992
S_vor_2,5,10,1035,4.996603054,206.94059320406444,6.040188,0,True,0,0,0,0.012965925433544898,-0.22179130434782562,0.006232684748023234,0.006232684748023234,-0.023279420289855038,0.0066784324907497115,0.0066784324907497115,-1.0706913043478221,0.009201489153745902,0.009201489153745902
S_vor_2,10,15,1035,4.994969324,207.00827831550464,5.860391,0,True,0,0,0,0.013060961706127585,-0.22203623188405727,0.006113505387267048,0.006113505387267048,-0.02369391304347822,0.007066655158055594,0.007066655158055594,-1.0705292753623157,0.009125577102074985,0.009125577102074985
S_vor_2,15,20,1035,4.996703707,206.9364246175824,5.791836,0,True,0,0,0,0.013438071445233206,-0.22210782608695592,0.006366927425322137,0.006366927425322137,-0.024036811594202873,0.007123905965892597,0.007123905965892597,-1.0702918840579674,0.009449548302273094,0.009449548302273094
S_vor_2,20,25,1035,4.997184016,206.91653473022714,6.18878,0,True,0,0,0,0.01688632969477994,-0.22229246376811523,0.008582223016262245,0.008582223016262245,-0.02277449275362313,0.0077369835593578745,0.0077369835593578745,-1.0712828985507217,0.012313921554978817,0.012313921554978817
S_vor_2,25,30,1033,4.986089803,206.97581487182052,5.82178,0,True,0,0,0,0.012630551879578652,-0.22184317521781144,0.006063294289663347,0.006063294289663347,-0.023690706679574035,0.006897638440388936,0.006897638440388936,-1.0708388189738578,0.00867121024340503,0.00867121024340503
B75_300s,0,5,1036,4.999530214,207.01945096795848,5.818021,0,True,0,0,0,0.02073362540170955,-0.22127606177606177,0.013499443944362852,0.013499443944362852,-0.023324710424710418,0.009232276530490798,0.009232276530490798,-1.0701961389961376,0.012744147894463917,0.012744147894463917
B75_300s,5,10,1034,4.989315577,207.04242577117708,5.856594,0,True,0,0,0,0.2046152527203945,-0.21873945841392614,0.1689049224674911,0.1689049224674911,-0.024938878143133426,0.029603542790405522,0.029603542790405522,-1.0727300773694408,0.11163404080448884,0.11163404080448884
B75_300s,10,15,1036,4.999366816,207.0262171376544,5.790484,0,True,0,0,0,0.20408933244054583,-0.21916418918918915,0.16966662446388206,0.16966662446388206,-0.026140540540540567,0.033088256517969296,0.033088256517969296,-1.0726468146718136,0.1084935916985913,0.1084935916985913
B75_300s,15,20,1035,4.993978886,207.04933352815942,5.901946,0,True,0,0,0,0.2049817649328043,-0.2190066666666665,0.17204346328734327,0.17204346328734327,-0.026143188405797088,0.032886333291662295,0.032886333291662295,-1.07160695652174,0.10647562997087065,0.10647562997087065
B75_300s,20,25,1035,4.993654902,207.06276670938445,5.953909,0,True,0,0,0,0.20298353215942003,-0.2188144927536228,0.17037882350839562,0.17037882350839562,-0.02638811594202893,0.032341446521715674,0.032341446521715674,-1.0715692753623203,0.10548649991677736,0.10548649991677736
B75_300s,25,30,1035,4.994461881,207.02931059170896,5.831613,0,True,0,0,0,0.20141215648099267,-0.21979420289855056,0.16916912100801804,0.16916912100801804,-0.02581159420289856,0.032220542264762196,0.032220542264762196,-1.0711698550724662,0.10445334811226986,0.10445334811226986
B75_300s,30,35,1035,4.995263842,206.99607322163143,5.848631,0,True,0,0,0,0.2015186386457965,-0.21973391304347786,0.16945213092785957,0.16945213092785957,-0.025359420289855068,0.03233720394660348,0.03233720394660348,-1.072692173913045,0.10416353626187268,0.10416353626187268
B75_300s,35,40,1035,4.994585173,207.02420004561208,5.81728,0,True,0,0,0,0.20002588200772384,-0.21852811594202853,0.16850374457005826,0.16850374457005826,-0.026244927536231834,0.03125041697684422,0.03125041697684422,-1.071591884057969,0.10315160191489862,0.10315160191489862
B75_300s,40,45,1035,4.993310616,207.07704357240812,5.805779,0,True,0,0,0,0.19943738652362358,-0.21929304347826045,0.16807611511855566,0.16807611511855566,-0.02647855072463762,0.03171761003457537,0.03171761003457537,-1.0707327536231894,0.10256551020553596,0.10256551020553596
B75_300s,45,50,1036,4.998943783,207.04373662287293,6.070649,0,True,0,0,0,0.20022001273681367,-0.21945781853281815,0.16859725681765433,0.16859725681765433,-0.026257239382239363,0.0323679356524656,0.0323679356524656,-1.0703881274131264,0.10303074898053283,0.10303074898053283
B75_300s,50,55,1035,4.995410634,206.98999056500787,6.168224,0,True,0,0,0,0.19945379828861076,-0.21922521739130443,0.16755875275542217,0.16755875275542217,-0.02647101449275362,0.031552968584699546,0.031552968584699546,-1.0711171014492769,0.10349054159822549,0.10349054159822549
B75_300s,55,60,1035,4.993894818,207.05281902875672,5.885354,0,True,0,0,0,0.19928275025166653,-0.218705217391304,0.16769314981393244,0.16769314981393244,-0.026316521739130423,0.03127132018579597,0.03127132018579597,-1.0720779710144928,0.10302779521657052,0.10302779521657052
B75_300s,60,65,1035,4.993917725,207.05186928164701,6.237539,0,True,0,0,0,0.19871277608089968,-0.21908956521739117,0.1673147559042216,0.1673147559042216,-0.02661420289855071,0.03167539896713137,0.03167539896713137,-1.070970144927535,0.10241683911721551,0.10241683911721551
B75_300s,65,70,1036,4.997778949,207.09199237535145,5.851335,0,True,0,0,0,0.19939425917192904,-0.2189797297297296,0.16781390718965752,0.16781390718965752,-0.02661110038610035,0.033044354221158576,0.033044354221158576,-1.0705537644787644,0.10249211578736216,0.10249211578736216
B75_300s,70,75,1035,4.993672079,207.06205446454987,5.904816,0,True,0,0,0,0.20006592351035823,-0.21956811594202846,0.16787806504286756,0.16787806504286756,-0.026105507246376773,0.032197651347247835,0.032197651347247835,-1.0720817391304347,0.1039549915840326,0.1039549915840326
B75_300s,75,80,1035,4.993904284,207.05242655788155,5.82289,0,True,0,0,0,0.1998770297530318,-0.21947391304347807,0.1681771499171435,0.1681771499171435,-0.02625623188405797,0.03261101481479191,0.03261101481479191,-1.070864637681158,0.10297472981945845,0.10297472981945845
B75_300s,80,85,1035,4.993758971,207.05845156017642,5.819205,0,True,0,0,0,0.1992083061447264,-0.21876550724637672,0.16765884840333087,0.16765884840333087,-0.026026376811594178,0.03141442712831229,0.03141442712831229,-1.072108115942028,0.10289603275792474,0.10289603275792474
B75_300s,85,90,1036,4.9986799,207.05466657306863,5.788464,0,True,0,0,0,0.1994064840278058,-0.21924324324324304,0.16745660160052558,0.16745660160052558,-0.02612548262548262,0.03200601908972284,0.03200601908972284,-1.0717960424710435,0.10342556354578239,0.10342556354578239
B75_300s,90,95,1035,4.995334605,206.99314095296725,5.86189,0,True,0,0,0,0.19850473436516675,-0.21953043478260853,0.1674492785885055,0.1674492785885055,-0.026146956521739137,0.03138117497658677,0.03138117497658677,-1.0716559420289855,0.10188272926587363,0.10188272926587363
B75_300s,95,100,1035,4.994360144,207.03352785685692,5.80202,0,True,0,0,0,0.1960368609646635,-0.2194060869565218,0.16634064696433665,0.16634064696433665,-0.026926956521739098,0.03097961832571231,0.03097961832571231,-1.0717162318840587,0.09900254174897644,0.09900254174897644
B75_300s,100,105,1035,4.994091628,207.04465937363855,5.972186,0,True,0,0,0,0.19625767604866698,-0.21931188405797059,0.16589723098977127,0.16589723098977127,-0.026120579710144906,0.030789004431238647,0.030789004431238647,-1.0716747826086972,0.1002358287444323,0.1002358287444323
B75_300s,105,110,1035,4.992966798,207.091302993279,5.76776,0,True,0,0,0,0.1959146450429958,-0.21927797101449242,0.16612504834803438,0.16612504834803438,-0.026327826086956514,0.030959251052131143,0.030959251052131143,-1.071742608695652,0.09912891216984747,0.09912891216984747
B75_300s,110,115,1036,4.997683229,207.09595878230482,5.908316,0,True,0,0,0,0.19491333090494667,-0.21924700772200767,0.16532913434961002,0.16532913434961002,-0.026422876447876442,0.030523193090443077,0.030523193090443077,-1.071419594594595,0.09861956491099186,0.09861956491099186
