minute,start_since_first_xyz_s,end_since_first_xyz_s,linear_slope_g_per_minute,flagged_blocks,n,mean,min,max,range,population_std,descriptive_cv_percent
1,0,60,0.005659480204932228,0,12,0.02810119550972469,0.015068403212739646,0.03124263867324677,0.016174235460507124,0.004004946735434368,14.251873142010693
2,60,120,-0.002347947104890443,0,12,0.028970190057692666,0.02811486477840656,0.03167750596730658,0.0035626411889000155,0.0009404194139465533,3.246162389938608
3,120,180,0.0005083918615930415,0,12,0.02886845562443315,0.028306656783015954,0.02992780583378581,0.0016211490507698559,0.00038514364550446987,1.3341331816119015
4,180,240,-0.00026277991959362525,0,12,0.030622131421183505,0.029042724228691388,0.03424646748222059,0.005203743253529205,0.0013733396355035084,4.484794401194007
5,240,300,8.662839003971665e-05,0,12,0.03052076399078571,0.029221507114637824,0.032210255333111504,0.0029887482184736795,0.0008593494010839206,2.815622182142492
