window,window_start_ns,window_complete_ns,decision_ns,elapsed_s,score,threshold,prediction,error,processing_ms,window_to_decision_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
32,6608239401648,6608851455602,6608852500548,19.771209363,0.43613510332458155,1.296361072562011,0,,0.318093,1.044946,11.316689609568728,41205760,153812992,56.2,1700000.0,0
33,6608855896147,6609468929936,6609469967679,20.388676494,0.43684403811186573,1.296361072562011,0,,0.292223,1.037743,11.336695002422863,41205760,153812992,57.3,2400000.0,0
34,6609473349926,6610086720936,6610087820346,21.006529161,0.43727935806908486,1.296361072562011,0,,0.321667,1.09941,16.184989850392235,41205760,153812992,57.85,2400000.0,0
35,6610091346167,6610703728046,6610704549455,21.62325827,0.4360134449367084,1.296361072562011,0,,0.294389,0.821409,11.350260321375991,41205760,153812992,57.85,2400000.0,0
36,6610708102888,6611320984933,6611321816305,22.24052512,0.4387739821414565,1.296361072562011,0,,0.28626,0.831372,8.10021395485024,41205760,153812992,57.85,2400000.0,0
37,6611327250797,6611938710691,6611939574415,22.85828323,0.44501813330681106,1.296361072562011,0,,0.312389,0.863724,9.712557476602296,41205760,153812992,58.4,2400000.0,0
38,6611943163644,6612555917374,6612556760227,23.475469042,0.43520868908487637,1.296361072562011,0,,0.285871,0.842853,8.101289686106167,41205760,153812992,56.75,2400000.0,0
39,6612562112644,6613174897022,6613175595893,24.094304708,0.4117272556409083,1.296361072562011,0,,0.242796,0.698871,9.695607595338261,41205760,153812992,57.85,2400000.0,0
40,6613179246215,6613791722017,6613792458815,24.71116763,0.42797234916825166,1.296361072562011,0,,0.277964,0.736798,8.105546286670004,41205760,153812992,57.3,2400000.0,0
41,6613795909506,6614409820718,6614410803090,25.329511905,0.4362032316212118,1.296361072562011,0,,0.293501,0.982372,9.703332621071153,41205760,153812992,56.2,1700000.0,0
42,6614414245411,6615027261731,6615028120474,25.946829289,0.4156715200084683,1.296361072562011,0,,0.343353,0.858743,9.719445878259293,41205760,153812992,56.75,1700000.0,0
43,6615031477813,6615643727761,6615644619096,26.563327911,0.4352868812055638,1.296361072562011,0,,0.30763,0.891335,9.732380382989206,41205760,153812992,57.3,1700000.0,0
44,6615650091310,6616262181609,6616263386278,27.182095093,0.42726743739252604,1.296361072562011,0,,0.333019,1.204669,9.696680998366434,41205760,153812992,56.75,1700000.0,0
45,6616266927229,6616879411454,6616880521937,27.799230752,0.43629853363614873,1.296361072562011,0,,0.3255,1.110483,11.342771501185842,41205760,153812992,56.2,1600000.0,0
46,6616883942851,6617497297095,6617498417190,28.417126005,0.45461744762621387,1.296361072562011,0,,0.302723,1.120095,9.710349955009152,41205760,153812992,57.3,1700000.0,0
47,6617501844289,6618115526959,6618116150553,29.034859368,0.42974489843753677,1.296361072562011,0,,0.236797,0.623594,9.712965503028688,41205760,153812992,56.2,1700000.0,0
48,6618119855690,6618733641564,6618734860103,29.653568918,0.42087350551501324,1.296361072562011,0,,0.338982,1.218539,9.69754620532631,41205760,153812992,56.75,1800000.0,0
49,6618738776666,6619350359220,6619351428037,30.270136852,0.42631700254192434,1.296361072562011,0,,0.322445,1.068817,9.731323431198916,41205760,153812992,57.3,1700000.0,0
50,6619354854617,6619967991174,6619969193268,30.887902083,0.4134174083844652,1.296361072562011,0,,0.327093,1.202094,11.331194234792973,41205760,153812992,56.75,1700000.0,0
51,6619972582182,6620585817535,6620586487295,31.50519611,0.4290960221245365,1.296361072562011,0,,0.224222,0.66976,8.099873382775755,41205760,153812992,56.75,1700000.0,0
52,6620590096894,6621202662041,6621203583839,32.122292654,0.4289231077251966,1.296361072562011,0,,0.326167,0.921798,11.343439075734103,41205760,153812992,57.85,1700000.0,0
53,6621209011294,6621821012198,6621821999793,32.740708608,0.4244284287428758,1.296361072562011,0,,0.321093,0.987595,11.319250074387565,41205760,153812992,56.2,1700000.0,0
54,6621825395521,6622438629983,6622439694800,33.358403615,0.43773676195610156,1.296361072562011,0,,0.316167,1.064817,8.094595869230371,41205760,153812992,56.2,1700000.0,0
55,6622443107417,6623057125028,6623058249178,33.976957993,0.41788599643336194,1.296361072562011,0,,0.373945,1.12415,11.31668849355578,41205760,153812992,57.85,1700000.0,0
56,6623061691222,6623673558439,6623674506422,34.593215237,0.42247681321939007,1.296361072562011,0,,0.323185,0.947983,9.736196205999255,41205760,153812992,56.2,1600000.0,0
57,6623680079173,6624292408669,6624293430356,35.212139171,0.4343480045980472,1.296361072562011,0,,0.330464,1.021687,9.694256495880072,41205760,153812992,56.2,1700000.0,0
58,6624296846047,6624909885321,6624910970879,35.829679694,0.436598866905519,1.296361072562011,0,,0.310297,1.085558,9.715963333580756,41205760,153812992,57.3,1700000.0,0
59,6624914377885,6625527832956,6625528839698,36.447548513,0.4251604727445642,1.296361072562011,0,,0.287889,1.006742,11.329238496607374,41205760,153812992,57.3,2400000.0,0
60,6625532271612,6626144234123,6626145002347,37.063711162,0.44776599725383687,1.296361072562011,0,,0.295167,0.768224,8.114779031094425,41205760,153812992,56.75,2400000.0,0
61,6626150439783,6626762319479,6626763150925,37.68185974,0.4234101689966805,1.296361072562011,0,,0.277908,0.831446,8.088651085275826,41205760,153812992,58.95,2400000.0,0
62,6626766530654,6627380809150,6627381790448,38.300499263,0.44917006532696074,1.296361072562011,0,,0.302908,0.981298,9.698719102940256,41205760,153812992,57.3,2400000.0,0
63,6627385151232,6627996729315,6627997698780,38.916407595,0.44588960391181426,1.296361072562011,0,,0.339445,0.969465,8.118033584570396,41205760,153812992,56.2,2400000.0,0
64,6628003122660,6628614259834,6628615037836,39.533746651,0.4562139720955784,1.296361072562011,0,,0.294834,0.778002,8.099331143138473,41205760,153812992,57.85,2400000.0,0
65,6628620510846,6629233144078,6629233976987,40.152685802,0.4315352236730808,1.296361072562011,0,,0.287056,0.832909,9.693991749706333,41205760,153812992,57.85,2400000.0,0
